lang	sentence
kn	ಈ ಪ್ರದೇಶವು ಮಾರ್ಕೆಟ್ನಂತೆ ಜನನಿಬಿಡವಾಗಿದೆ
kn	ಈ ಪ್ರದೇಶವು ಗ್ರಂಥಾಲಯದಂತೆ ಜನನಿಬಿಡವಾಗಿದೆ
kn	ಆಟದ ಅವಧಿಯು ಕ್ರಿಕೆಟ್ನಂತೆ  ದೀರ್ಘವಾಗಿದೆ
kn	ಆಟದ ಅವಧಿಯು ಫುಟ್ಬಾಲ್ ನಂತೆ ದೀರ್ಘವಾಗಿದೆ
kn	ನನ್ನ ಹೊಸ ಬಟ್ಟೆಯೂ ವುಲನ್ ನಂತೆ ಮೃದುವಾಗಿದೆ
kn	ನನ್ನ ಹೊಸ ಬಟ್ಟೆಯೂ  ಕಲ್ಲಿನಂತೆ ಮೃದುವಾಗಿದೆ
kn	ನಿಂಬೆಹಣ್ಣು ಹುಣಸೇ ಹಣ್ಣಿನಂತೆ ಹುಳಿಯಾಗಿದೆ
kn	ನಿಂಬೆಹಣ್ಣು ಸೇಬಿನಂತೆ ಹುಳಿಯಾಗಿದೆ
kn	ನನ್ನ ತಮ್ಮ ಮೈಕಲ್ ಜಾಕ್ಸನ್ ಡ್ಯಾನ್ಸ್ ಮಾಡುತ್ತಾನೆ
kn	ನನ್ನ ತಮ್ಮ ಮಿಸ್ಟರ್ ಬೀನ್ ನಂತೆ ಡ್ಯಾನ್ಸ್ ಮಾಡುತ್ತಾನೆ
kn	ಅವನು ಹದ್ದಿನಂತೆ ತೀಕ್ಷ್ಣವಾದ ದೃಷ್ಟಿ ಹೊಂದಿದ್ದಾನೆ
kn	ಅವನು ಕಾಗೆಯಂತೆ ತೀಕ್ಷ್ಣವಾದ ದೃಷ್ಟಿ ಹೊಂದಿದ್ದಾನೆ
kn	ಆ ಪ್ರಾಣಿಯು ನರಿಯಂತೆ ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ
kn	ಆ ಪ್ರಾಣಿಯು ನಾಯಿಯಂತೆ ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ
kn	ನನ್ನ ಮುದ್ದಿನ ಬೆಕ್ಕು ನಾಯಿಯಂತೆ ಪ್ರಾಮಾಣಿಕವಾಗಿದೆ
kn	ನನ್ನ ಮುದ್ದಿನ ಬೆಕ್ಕು ನರಿಯಂತೆ ಪ್ರಾಮಾಣಿಕವಾಗಿದೆ
kn	ಅವನು ಸಿಂಹದಂತೆ ಧೈರ್ಯಶಾಲಿಯಾಗಿದ್ದಾನೆ
kn	ಅವನು ನರಿಯಂತೆ ಧೈರ್ಯಶಾಲಿಯಾಗಿದ್ದಾನೆ
kn	ಆ ಪ್ರಾಣಿಯು ಎತ್ತಿನಂತೆ ಶಕ್ತಿಶಾಲಿಯಾಗಿದೆ
kn	ಆ ಪ್ರಾಣಿಯು ಜಿಂಕೆಯಂತೆ ಶಕ್ತಿಶಾಲಿಯಾಗಿದೆ
kn	ಅವನು ಗೂಬೆಯಂತೆ ರಾತ್ರಿ ಇಡೀ ಎಚ್ಚರ ಇರುತ್ತಾನೆ
kn	ಅವನು ಗಿಣಿಯಂತೆ ರಾತ್ರಿ ಇಡೀ ಎಚ್ಚರ ಇರುತ್ತಾನೆ
kn	ಅವನು ಕೋಪದಲ್ಲಿ ಜ್ವಾಲಾಮುಖಿಯಂತೆ ಉರಿಯುತ್ತಿದ್ದ
kn	ಅವನು ಕೋಪದಲ್ಲಿ ಐಸ್ನಂತೆ ಉರಿಯುತ್ತಿದ್ದ
kn	ಅವಳು ಪಕ್ಷಿಯಂತೆ ಬಹು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ
kn	ಅವಳು ಪ್ರಾಣಿಯಂತೆ ಬಹು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ
kn	ಈ ಪ್ರಾಣಿಯು ಸಿಂಹದಂತೆ ಗರ್ಜಿಸುತ್ತದೆ
kn	ಈ ಪ್ರಾಣಿಯು ನಾಯಿ ಅಂತೆ ಗರ್ಜಿಸುತ್ತದೆ
kn	ದೋಸೆಯು ಇಡ್ಲಿಯಷ್ಟೇ ಪ್ರಸಿದ್ಧ ಉಪಹಾರವಾಗಿದೆ
kn	ದೋಸೆಯು ಸ್ಯಾಂಡ್ವಿಚ್ನಷ್ಟೇ ಪ್ರಸಿದ್ಧ ಉಪಹಾರವಾಗಿದೆ
kn	ಈ ಪ್ರದೇಶವು ಡ್ಯಾಮ್ ನಂತೆ ಜಾಸ್ತಿ ನೀರನ್ನು ಹಿಡಿಯಬಲ್ಲದು
kn	ಈ ಪ್ರದೇಶವು ಟ್ಯಾಂಕ್ ನಂತೆ ಜಾಸ್ತಿ ನೀರನ್ನು ಹಿಡಿಯಬಲ್ಲದು
kn	ಜೀವಿಗಳು ಸಮುದ್ರದಲ್ಲಿ ಹೆಚ್ಚು ವಾಸಿಸುತ್ತವೆ.
kn	ಜೀವಿಗಳು ಬಾವಿಯಲ್ಲಿ ಹೆಚ್ಚು ವಾಸಿಸುತ್ತವೆ.
kn	ಆ ನೀರು ಸಮುದ್ರದಂತೆ ಉಪ್ಪಾಗಿದೆ
kn	ಆ ನೀರು ನಲ್ಲಿ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿದೆ
kn	ಆ ಹುಡುಗನು ಕೋತಿಯಂತೆ ಹಾರುತ್ತಾನೆ
kn	ಆ ಹುಡುಗನು ಆನೆಯಂತೆ ಹಾರುತ್ತಾನೆ
kn	ಗಾತ್ರದಲ್ಲಿ ಆನೆಯಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ
kn	ಗಾತ್ರದಲ್ಲಿ ಕೋತಿಯಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ
kn	ಅವನು ಕಂಪ್ಯೂಟರ್ನಂತೆ ತುಂಬಾ ವೇಗ
kn	ಅವನು ಕೈಲೆಕ್ಕದಂತೆ ತುಂಬಾ ವೇಗ
kn	ಆ ಜಾಗವು ಫ್ಲೈ ಓವರ್ ನಂತೆ ಎತ್ತರವಾಗಿತ್ತು
kn	ಆ ಜಾಗವು ಸುರಂಗದಂತೆ ಎತ್ತರವಾಗಿತ್ತು
kn	ಈ ತಿನಿಸು ಡೊನಟ್ ನಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು
kn	ಈ ತಿನಿಸು ಕೇಕ್ನಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು
kn	ಅದು ಸೋಪ್ ನಂತೆ ನಯವಾಗಿತ್ತು
kn	ಅದು ಸೀಗೆಕಾಯಿಯಂತೆ ನಯವಾಗಿತ್ತು
kn	ಆತನನ್ನು ಕಂಡಾಗ ಸೈನಿಕನನ್ನು ನೋಡಿದಷ್ಟು ಹೆಮ್ಮೆಯಾಗುತಿತ್ತು
kn	ಆತನನ್ನು ಕಂಡಾಗ ಉಗ್ರಗಾಮಿಯನ್ನುನೋಡಿದಷ್ಟು ಹೆಮ್ಮೆಯಾಗುತಿತ್ತು
kn	ಆ ವಸ್ತುವು ಗಾಜಿನಂತೆ ಸೂಕ್ಷ್ಮವಾಗಿತ್ತು
kn	ಆ ವಸ್ತುವು ತಾಮ್ರದಂತೆ ಸೂಕ್ಷ್ಮವಾಗಿತ್ತು
kn	ಆ ಖಾದ್ಯವು ಮನೆಯಲ್ಲಿ ಮಾಡಿರುವ ತಿಂಡಿಯಂತೆ ಶುಚಿಯಾಗಿತ್ತು
kn	ಆ ಖಾದ್ಯವು ರಸ್ತೆ ಬದಿಯ ತಿಂಡಿಯಂತೆ ಶುಚಿಯಾಗಿತ್ತು
kn	ಆ ಅಡುಗೆಯು ಸೇಬಿನಂತೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು
kn	ಆ ಅಡುಗೆಯು ಪಾಸ್ತದಂತೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು
kn	ಈ ತಿನಿಸು ಹಾಗಲಕಾಯಿಯಂತೆ ಸಿಹಿಯಾಗಿದೆ
kn	ಈ ತಿನಿಸು ಮಾವಿನ ಹಣ್ಣಿನಂತೆ ಸಿಹಿಯಾಗಿದೆ
kn	ಈ ಜಾಗವು ಬೋರ್ ವೆಲ್ ನಂತೆ ಆಳವಾಗಿದೆ
kn	ಈ ಜಾಗವು ಮನೆಯ ಟ್ಯಾಂಕ್ ನಂತೆ ಆಳವಾಗಿದೆ
kn	ಈ ಮೀನು ಸ್ಟಾರ್ ಮೀನಿನಂತೆ ಬೃಹದಾಕಾರವಾಗಿದೆ
kn	ಈ ಮೀನು ತಿಮಿಂಗಲದಂತೆ ಬೃಹದಾಕಾರವಾಗಿದೆ
kn	ಅವನ ಗೆಲುವು ಬೆಲ್ಲದಂತೆ ಇತ್ತು
kn	ಅವನ ಗೆಲುವು ಬೇವಿನಂತೆ ಇತ್ತು
kn	ಅವನ ಧೈರ್ಯವು ಉತ್ತರಕುಮಾರನಂತೆ ಇತ್ತು
kn	ಅವನ ಧೈರ್ಯವು ರಾಣಿ ಚೆನ್ನಮ್ಮನಂತೆ ಇತ್ತು
kn	ಆ ತಿಂಡಿಯು ಬ್ರೆಡ್ ನಂತೆ ಚಪ್ಪಟ್ಟೆಯಾಗಿತ್ತು
kn	ಆ ತಿಂಡಿಯು ಪಫ್ ನಂತೆ ಚಪ್ಪಟ್ಟೆಯಾಗಿತ್ತು
kn	ಅವರು ನೀಡಿದ್ದ ನೀರು ಸಮುದ್ರದ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿತ್ತು
kn	ಅವರು ನೀಡಿದ್ದ ನೀರು ಬಾವಿಯ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿತ್ತು
kn	ಅವಳು ಹುಣ್ಣಿಮೆಯ ಚಂದ್ರನಂತೆ ಹೊಳೆಯುತ್ತಿದ್ದಳು
kn	ಅವಳು ಅಮಾವಾಸ್ಯೆಯ ಕತ್ತಲೆಯಂತೆ ಹೊಳೆಯುತ್ತಿದ್ದಳು
kn	ಅದು ತಣ್ಣನೆಯ ತಂಗಾಳಿಯಂತೆ  ಬಿಸಿಯಾಗಿತ್ತು
kn	ಅದು ಬಿರುಗಾಳಿಯಂತೆ ಬಿಸಿಯಾಗಿತ್ತು
kn	ಆಕೆ ಮಾಡೆಲ್ ನಂತೆ ಆಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು
kn	ಆಕೆ ಹಳ್ಳಿ ಹೆಂಗಸಿನಂತೆ ಆಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು
kn	ಆ ಊಟವು ರಾಗಿಮುದ್ದೆಯಂತೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು
kn	ಆ ಊಟವು ಬರ್ಗರ್ ನಂತೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು
kn	ಆ ಪ್ರಾಣಿಯು ಕೋಲಾನಂತೆ ಅತಿಯಾದ ನಿದ್ರೆ ಮಾಡುತ್ತಿತ್ತು
kn	ಆ ಪ್ರಾಣಿಯು  ಕಪ್ಪೆಯಂತೆ ಅತಿಯಾದ ನಿದ್ರೆ ಮಾಡುತ್ತಿತ್ತು
kn	ಆ ಹೆಂಗಸು ರಂಬೆಯಂತೆ ಸುಂದರವಾಗಿದ್ದಳು
kn	ಆ ಹೆಂಗಸು ಶೂರ್ಪಣಕಿಯಂತೆ ಸುಂದರವಾಗಿದ್ದಳು
kn	ಆ ಚಾದರವು ಹಾಸಿಗೆಯಂತೆ ಮೃದುವಾಗಿತ್ತು
kn	ಆ ಚಾದರವು ಗಟ್ಟಿ ನೆಲದಂತೆ ಮೃದುವಾಗಿತ್ತು
kn	ಅದು ಕೆರೆಯಂತೆ ಅಗಲವಾಗಿತ್ತು
kn	ಅದು ನದಿಯಂತೆ  ಅಗಲವಾಗಿತ್ತು
kn	ಆ ಆಟವು ಸ್ಕೈ ಡ್ರೈವ್ ನಂತೆ ರೋಚಕವಾಗಿತ್ತು
kn	ಆ ಆಟವು  ನಡಿಗೆಯಂತೆ ರೋಚಕವಾಗಿತ್ತು
kn	ಆ ವ್ಯಕ್ತಿಯು ಬರಹಗಾರನಂತೆ ತಮಾಷೆಯಾಗಿದ್ದನು
kn	ಆ ವ್ಯಕ್ತಿಯು ಹಾಸ್ಯಗಾರನಂತೆ ತಮಾಷೆಯಾಗಿದ್ದನು
kn	ಇದು ಐಸ್ ಕ್ರೀಮ್ ನಂತೆ ತಣ್ಣಗಿತ್ತು
kn	ಇದು  ಸೂಪ್ ನಂತೆ ತಣ್ಣಗಿತ್ತು
kn	ಅದು ಇಡ್ಲಿಯಂತೆ ಗರಿಗರಿಯಾಗಿತ್ತು
kn	ಅದು ದೋಸೆಯಂತೆ ಗರಿಗರಿಯಾಗಿತ್ತು
kn	ಅವಳು ಹಾಕಿದ್ದ ಒಡವೆಯು ಚಿನ್ನದಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು
kn	ಅವಳು ಹಾಕಿದ್ದ ಒಡವೆಯು ವಜ್ರದಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು
kn	ಆಕೆಯ ಉಡುಪು ಕಾಮನ ಬಿಲ್ಲಿನಂತೆ ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು
kn	ಆಕೆಯ ಉಡುಪು ಬಿಳಿ ಹಲಗೆಯಂತೆ ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು
kn	ಈ ಮನೆಯು ಹೊಸ ಕಟ್ಟಡದಂತೆ ಹಳೆಯದು
kn	ಈ ಮನೆಯು ಹಳೆಯ ಸ್ಮಾರಕದಂತೆ ಹಳೆಯದು
kn	ಆತ ಮಾತನಾಡುವುದು ಪಿಸುಮಾತಿನಂತೆ ಕರ್ಕಶವಾಗಿದೆ
kn	ಆತ ಮಾತನಾಡುವುದು ಜೋರುಮಾತಿನಂತೆ ಕರ್ಕಶವಾಗಿದೆ
kn	ಇವನು ಅಜ್ಜಿಯಂತೆ ಮುದ್ದಾಗಿದ್ದಾನೆ
kn	ಇವನು ನವಜಾತ ಶಿಶುವಿನಂತೆ ಮುದ್ದಾಗಿದ್ದಾನೆ
kn	ಅಂದು ಹುಣ್ಣಿಮೆಯ ದಿನದಂತೆ ಕಗ್ಗತ್ತಲು ಕವಿದಿತ್ತು
kn	ಅಂದು ಅಮಾವಾಸ್ಯೆಯ ದಿನದಂತೆ ಕಗ್ಗತ್ತಲು ಕವಿದಿತ್ತು
kn	ಅವನು  ಶಿಶುವಿನಂತೆ ಕಿರಿಯವನಾಗಿದ್ದಾನೆ
kn	ಅವನು ಅಜ್ಜನಂತೆ ಕಿರಿಯವನಾಗಿದ್ದಾನೆ
kn	ಆತನ ದಿರಿಸು ಅಧಿಕಾರಿಯಂತೆ ಶುಚಿಯಾಗಿತ್ತು
kn	ಆತನ ದಿರಿಸು ಭಿಕ್ಷುಕನಂತೆ ಶುಚಿಯಾಗಿತ್ತು
kn	ಆ ತಿಂಡಿಯು ಬ್ರೆಡ್ ನಂತೆ ತೆಳುವಾಗಿತ್ತು
kn	ಆ ತಿಂಡಿಯು ಬ್ರೆಡ್ ನಂತೆ ತೆಳುವಾಗಿತ್ತು
kn	ಆ ಜಾಗವು ಆಕಾಶದಂತೆ ಎತ್ತರವಾಗಿತ್ತು
kn	ಆ ಜಾಗವು  ಭೂಮಿಯಂತೆ ಎತ್ತರವಾಗಿತ್ತು
kn	ಅದರ ಆಕಾರವು ಚೌಕದಂತೆ ವಕ್ರವಾಗಿದೆ
kn	ಅದರ ಆಕಾರವು ವೃತ್ತದಂತೆ ವಕ್ರವಾಗಿದೆ
kn	ಅದು ಹಡಗಿನಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ
kn	ಅದು ದೋಣಿಯಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ
kn	ಆಕೆಯ ರಾಗವು ಹಾಡುಗಾರ್ತಿಯಷ್ಟು ಇಂಪಾಗಿದೆ
kn	ಆಕೆಯ ರಾಗವುನೃತ್ಯಗಾರನಷ್ಟುಇಂಪಾಗಿದೆ
kn	ಆತನ ಅರಿವು ದ್ವಾರಪಾಲಕನಷ್ಟು ಇದೆ
kn	ಆತನ ಅರಿವು ಪ್ರಾಧ್ಯಾಪಕನಷ್ಟು ಇದೆ
kn	ಈ ವಾಹನವು ಎತ್ತಿನಗಾಡಿಯಂತೆ ವೇಗವಾಗಿದೆ
kn	ಈ ವಾಹನವು ಜೆಟ್ ನಂತೆ ವೇಗವಾಗಿದೆ
kn	ಇವನು ಮಗುವಿನಷ್ಟು ಖುಷಿಯಾಗಿದ್ದಾನೆ
kn	ಇವನು  ವಯಸ್ಕನಷ್ಟು ಖುಷಿಯಾಗಿದ್ದಾನೆ
kn	ಅವನು ಆನೆಯಂತೆ ದೊಡ್ಡದಾಗಿದ್ದಾನೆ
kn	ಅವನು ಇರುವೆಯಂತೆ ದೊಡ್ಡದಾಗಿದ್ದಾನೆ
kn	ಆಕೆ ದೇವತೆಯಂತೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು
kn	ಆಕೆ ದೆವ್ವದಂತೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು
kn	ಆ ಕಟ್ಟಡವು ಬಂಗಲೆಯಂತೆ ಐಷಾರಾಮಿಯಾಗಿದೆ
kn	ಆ ಕಟ್ಟಡವು ಗುಡಿಸಲಿನಂತೆ ಐಷಾರಾಮಿಯಾಗಿದೆ
kn	ಈ ಹಣ್ಣು ಕಬ್ಬಿನಂತೆ ರಸಮಯವಾಗಿದೆ
kn	ಈ ಹಣ್ಣು ಸೀಬೆಯಂತೆ ರಸಮಯವಾಗಿದೆ
kn	ಅವನು ಅಂಬಾನಿಯಂತೆ ಶ್ರೀಮಂತ
kn	ಅವನು ಭಿಕ್ಷುಕನಂತೆ ಶ್ರೀಮಂತ
kn	ಆ ಎಣ್ಣೆ ತೆಂಗಿನ ಎಣ್ಣೆಯಷ್ಟು ಸ್ನಿಗ್ಧವಾಗಿದೆ
kn	ಆ ಎಣ್ಣೆ ಹರಳೆಣ್ಣೆಯಷ್ಟು ಸ್ನಿಗ್ಧವಾಗಿದೆ
kn	ಶಕ್ತಿಯು ಸೂರ್ಯನ ಶಕ್ತಿಯಂತೆ ಅನಿಯಮಿತವಾಗಿದೆ
kn	ಶಕ್ತಿಯು ವಿದ್ಯುತ್ ಶಕ್ತಿಯಂತೆ ಅನಿಯಮಿತವಾಗಿದೆ
kn	ಅವನು ನಾಯಿಯಂತೆ ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.
kn	ಅವನು ನರಿಯಂತೆ ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.
kn	ಆಕೆ ಟಾಪರ್ ನಷ್ಟು ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ
kn	ಆಕೆ ಸಾಮಾನ್ಯ ವಿದ್ಯಾರ್ಥಿಯಷ್ಟು ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ
kn	ಅವನು ವಿಜ್ನಾನಿಯಷ್ಟು ಪ್ರಾಯೋಗಿಕ ವ್ಯಕ್ತಿ
kn	ಅವನು ಕವಿಯಷ್ಟು ಪ್ರಾಯೋಗಿಕ ವ್ಯಕ್ತಿ
kn	ಆ ಹರಳು ರತ್ನದಂತೆ ಬೆಲೆಬಾಳುವಂತದ್ದು
kn	ಆ ಹರಳು ಕಲ್ಲಿನಂತೆ ಬೆಲೆಬಾಳುವಂತದ್ದು
kn	ಅದು ಬೆಳ್ಳನೆಯ ಮೋಡದಂತೆ ಬಿಳುಪಾಗಿತ್ತು
kn	ಅದು ಕಪ್ಪು ಹಲಗೆಯಂತೆ ಬಿಳುಪಾಗಿತ್ತು
kn	ಅವಳು ಹೂವಿನಷ್ಟು ತಾಜಾವಾಗಿದ್ದಾಳೆ
kn	ಅವಳು ಒಣಗಿದ ಎಲೆಯಷ್ಟು ತಾಜಾವಾಗಿದ್ದಾಳೆ
kn	ಅವನು ಜಿಮ್ ವ್ಯಕ್ತಿಯಂತೆ ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿದ್ದಾನೆ
kn	ಅವನು ಸ್ಥೂಲಕಾಯನಂತೆ ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿದ್ದಾನೆ
kn	ಅವಳು ಬಾರ್ಬಿಯಂತೆ ಸುಂದರವಾಗಿರುವಳು
kn	ಅವಳು ಮಿಕ್ಕಿಯಂತೆ ಸುಂದರವಾಗಿರುವಳು
kn	ಆ ನೀರು ಫಿಲ್ಟರ್ ನೀರಿನಂತೆ ಶುಚಿಯಾಗಿದೆ
kn	ಆ ನೀರು ಕೊಚ್ಚೆ ನೀರಿನಂತೆ ಶುಚಿಯಾಗಿದೆ
kn	ಆತನು ಮಗುವಿನಂತೆ ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನು
kn	ಆತನು ವಯಸ್ಕನಂತೆ ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನು
kn	ಅವನು ಹಾಸ್ಯಗಾರನಂತೆ ಹಾಸ್ಯಾಸ್ಪದವಾಗಿದ್ದನು
kn	ಅವನು ಪ್ರಾಧ್ಯಾಪಕನಂತೆ ಹಾಸ್ಯಾಸ್ಪದವಾಗಿದ್ದನು
kn	ಆ ತಿಂಡಿ ಡೊನಟ್ ನಂತೆ ಮೃದುವಾಗಿದೆ
kn	ಆ ತಿಂಡಿ ಸ್ಮೂತಿಯಂತೆ ಮೃದುವಾಗಿದೆ
kn	ಆ ಸಂಗೀತವು ಕೇಳಲು ಇಂಪಾಗಿದೆ
kn	ಆ ಸಂಗೀತವು ಕೇಳಲು ಕರ್ಕಶವಾಗಿದೆ
kn	ಅವನು ತೆಳ್ಳಗಿನ ಮನುಷ್ಯನಂತೆ ಸಣ್ಣಗಿದ್ದಾನೆ
kn	ಅವನು ಬೊಜ್ಜಿನ ಮನುಷ್ಯನಂತೆ ಸಣ್ಣಗಿದ್ದಾನೆ
kn	ಈ ಆಟವು ಸ್ಕೂಬಾ ದಂತೆ ಸಾಹಸಮಯವಾಗಿದೆ
kn	ಈ ಆಟವು ಈಜಿನಂತೆ ಸಾಹಸಮಯವಾಗಿದೆ
kn	ಆಕೆಯು ಗೃಹಿಣಿಯಂತೆ ಸರಳವಾಗಿರುವಳು
kn	ಆಕೆಯು ಮಾಡೆಲ್ ನಂತೆಸರಳವಾಗಿರುವಳು
kn	ಆ ಪ್ರಾಣಿಯು ಹಾವಿನಂತೆ  ಉದ್ದವಾಗಿದೆ
kn	ಆ ಪ್ರಾಣಿಯು ಹಲ್ಲಿಯಂತೆ ಉದ್ದವಾಗಿದೆ
kn	ಅದು ಮೋಡದಂತೆ ತಟಸ್ತವಾಗಿದೆ
kn	ಅದು ಬಂಡೆಯಂತೆ ತಟಸ್ತವಾಗಿದೆ
kn	ವಾತಾವರಣವೂ  ಚಳಿಗಾಲದಂತೆ ತಣ್ಣಗಿದೆ
kn	ವಾತಾವರಣವೂ  ಬೇಸಿಗೆಯಂತೆ ತಣ್ಣಗಿದೆ
kn	ವಾತಾವರಣವೂ ಬೇಸಿಗೆಯಂತೆ ಬೆಚ್ಚಗಿದೆ
kn	ವಾತಾವರಣವೂ ಮಳೆಗಾಲದಂತೆ ಬೆಚ್ಚಗಿದೆ.
kn	ಆ ಹುಡುಗ ಜಿರಾಫೆಯಂತೆ ಉದ್ದವಿದ್ದಾನೆ.
kn	ಆ ಹುಡುಗ ಜಿಂಕೆಯಂತೆ ಉದ್ದವಿದ್ದಾನೆ
kn	ಆ ಸಿನಿಮಾ ಲವ್ ಸ್ಟೋರಿಯಂತೆ  ನೇರವಾದ ಕಥೆಯನ್ನು ಹೊಂದಿದೆ
kn	ಆ ಸಿನಿಮಾ ಸಸ್ಪೆನ್ಸ್ ಥ್ರಿಲ್ಲರ್ನಂತೆ ನೇರವಾದ ಕಥೆಯನ್ನು ಹೊಂದಿದೆ
kn	ಅವನ ಕಣ್ಣುಗಳು ಆಕಾಶದಂತೆ ನೀಲಿ ಆಗಿದೆ
kn	ಅವನ ಕಣ್ಣುಗಳು ಚಂದಿರನಂತೆ ನೀಲಿ ಆಗಿದೆ
kn	ಸೈನಿಕರ ತೋಳು ಕಬ್ಬಿಣದಂತೆ  ಗಟ್ಟಿಯಾಗಿದೆ
kn	ಸೈನಿಕರ ತೋಳು ಪ್ಲಾಸ್ಟಿಕ್ ನಂತೆ ಗಟ್ಟಿಯಾಗಿದೆ
kn	ಈ ವಸ್ತುವೂ ಹೂವಿನಂತೆ ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿದೆ
kn	ಈ ವಸ್ತುವೂ  ಪ್ರಾಣಿಯಂತೆ ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿದೆ
kn	ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ನಕ್ಷತ್ರಗಳನ್ನು ಹೊಂದಿದೆ
kn	ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ಗ್ರಹಗಳನ್ನು ಹೊಂದಿದೆ
kn	ಅವನು ಕೆಲಸದಲ್ಲಿ ಕುದುರೆಯಂತೆ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ
kn	ಅವನು ಕೆಲಸದಲ್ಲಿ ಎಮ್ಮೆಯಂತೆ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ
kn	ಅದರ ಬಣ್ಣ ಹಾಲಿನಂತೆ ಬಿಳಿಯಾಗಿದೆ
kn	ಅದರ ಬಣ್ಣ ನೀರಿನಂತೆ ಬಿಳಿಯಾಗಿದೆ
kn	ಅವರು ಊಸರವಳ್ಳಿಯಂತೆ ಬಣ್ಣ ಬದಲಿಸುತ್ತಾರೆ
kn	ಅವರು ಹಾವಿನಂತೆ ಬಣ್ಣ ಬದಲಿಸುತ್ತಾರೆ
kn	ಆ ಕಟ್ಟಡವು ತಾಜ್ ಮಹಲ್ನಂತೆ ಸುಂದರವಾಗಿದೆ
kn	ಆ ಕಟ್ಟಡವು ಕೆಡವಿದ ಅರಮನೆಯಂತೆ ಸುಂದರವಾಗಿದೆ
kn	ಆ ರಸ್ತೆಯು ಹೆದ್ದಾರಿಯಂತೆ ನೇರವಾಗಿದೆ
kn	ಆ ರಸ್ತೆಯು ಹಿಲ್ ಸ್ಟೇಷನಂತೆ ನೇರವಾಗಿದೆ
kn	ಆ ರಸ್ತೆಯು ಹಿಲ್ ಸ್ಟೇಷನಂತೆ ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ
kn	ಆ ರಸ್ತೆಯು ಹೆದ್ದಾರಿಯಂತೆ ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ
kn	ಹೂಡಿಕೆಯು ಸ್ಟಾಕ್ ಮಾರ್ಕೆಟ್ ನಲ್ಲಿ ಅಪಾಯಕಾರಿ
kn	ಹೂಡಿಕೆಯು ಫಿಕ್ಸಡ್ ಡೆಪಾಸಿಟ್ ನಲ್ಲಿ ಅಪಾಯಕಾರಿ
kn	ಕಾಫಿ ಬಿಸಿಯಾಗಿ ಇತ್ತು
kn	ಕಾಫಿ ತಣ್ಣಗೆ ಇತ್ತು
kn	ಕೋಲಿನ ಎತ್ತರ ಉದ್ದವಾಗಿ ಇತ್ತು
kn	ಕೋಲಿನ ಎತ್ತರ ತುಂಡವಾಗಿ ಇತ್ತು
kn	ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ ದೊಡ್ಡದಾಗಿ ಇದೆ
