startphrase,ending1,ending2,labels,x,y,z
"This morning in Jogja, the weather is like ice in the mountains",The weather in Jogja is hot this morning,The weather in Jogja is cold this morning,1,Jogja,", the weather is like",ice in the mountains
The teacher gave me a task like building a temple,The teacher gave me a task to do,The teacher gave me the task of voting,0,The teacher,gave me,a task like building a temple
The teacher gave me a task like planting rice,The teacher gave me a task to do,The teacher gave me the task of voting,1,The teacher,gave me a task like,planting rice
Menungo is like a thousand-year-old statue,Menungan is a long life,Humans are short-lived,0,Menungo,is like,a thousand - year - old statue
Human life is like a dragonfly,Menungan is a long life,Humans are short-lived,1,Human life,is like,a dragonfly
The athlete runs like a snail,The athlete's running was slow,The athlete ran fast,0,The athlete,runs like,a snail
The athlete runs like a tiger,The athlete's running was slow,The athlete ran fast,1,The athlete,runs like,a tiger
My sister wants to have a house like a thousand tree forest,My sister wants to have a big house,My sister wants to have a small house,0,My sister,wants to have a house like,a thousand tree forest
My sister wants to have a house like a dove house,My sister wants to have a big house,My sister wants to have a small house,1,My sister,wants to have a house like,a dove house
Gani is famous for his voice like a crowing chicken,Gani is famous for his loud voice,Gani is famous for his slow voice,0,Gani,is famous for,his voice like a crowing chicken
Gani is famous because he sounds like a sleeping cat,Gani is famous for his loud voice,Gani is famous for his slow voice,1,Gani,is famous because he sounds like,a sleeping cat
Marni's finger looks like a tip,Marni's fingers are thin,Marni's fingers are not thin,0,Marni 's finger,looks like,a tip
Marni's fingers look like bamboo shoots,Marni's fingers are thin,Marni's fingers are not thin,1,Marni 's fingers,look like,bamboo shoots
"Dinda said, including in the engineering department is like a lizard swallowing a wife","Dinda said, including in the engineering department is a dream that is difficult to come true","Dinda said, including in the engineering department is a dream that is easy to come true",0,Dinda,"said , including in the engineering department is like",a lizard swallowing a wife
"Dinda said, including in the engineering department is like digging gold in a pond","Dinda said, including in the engineering department is a dream that is difficult to come true","Dinda said, including in the engineering department is a dream that is easy to come true",1,Dinda,"said , including in the engineering department is like digging gold in",a pond
"Even though he is rich, Mr. Tomo works as if he is being chased by debt","Although he is rich, Mr. Tomo works diligently","Although he is rich, Mr. Tomo is lazy",0,he,"is rich , Mr. Tomo works as if he is being chased by",debt
"Even though he is rich, Mr. Tomo works like he has a bag of diamonds","Although he is rich, Mr. Tomo works diligently","Although he is rich, Mr. Tomo is lazy",1,he,"is rich , Mr. Tomo works like he has a bag of",diamonds
"If you find a tongo, that child is like holding a diamond","If you meet the tonggo, the child is really angry","If you meet a tongo, that child is really sad",0,you,"find a tongo ,",that child
"If you meet a tongo, that child is like meeting a brother","If you meet the tonggo, the child is really angry","If you meet a tongo, that child is really sad",1,you,"meet a tongo ,",that child
The singer really has a voice like a Chinese song,Sinden has a really good voice,Sinden has a terrible voice,0,The singer,really has a voice like,a Chinese song
The singer really has a voice like a drinking beetle,Sinden has a really good voice,Sinden has a terrible voice,1,The singer,really has a voice like,a drinking beetle
The water in Surabaya is like dew on the top of the glass,The water in Surabaya is clear,The water in Surabaya is murky,0,The water in Surabaya,is like,dew on the top of the glass
The water in Surabaya is like dew mixed with ash,The water in Surabaya is clear,The water in Surabaya is murky,1,The water in Surabaya,is like,dew mixed with ash
Hendra's words are like red lips,Hendra is lying,Hendra meant it,0,Hendra 's words,are like,red lips
Hendra's speech was like being held by the hand once,Hendra is lying,Hendra meant it,1,Hendra 's speech,was like being held by,the hand
Bu Mardi's cooking tastes like sultan's food,Bu Mardi's cooking is delicious,Mrs. Mardi's cooking is not good,0,Bu Mardi 's cooking,tastes like,sultan 's food
Mrs. Mardi's cooking tastes like sick people's food,Bu Mardi's cooking is delicious,Mrs. Mardi's cooking is not good,1,Mrs. Mardi 's cooking,tastes like,sick people 's food
Every day the store is like sugar covered by ants,Every day the shop is busy,Every day the shop is quiet,0,the store,is like,sugar covered by ants
Every day the store is like a graveyard at night,Every day the shop is busy,Every day the shop is quiet,1,the store,is like,a graveyard at night
"On stage, srimpi dancers move like flowers in the wind","On the stage, the srimpi dancer moves gracefully","On the stage, the srimpi dancer moves stiffly",0,stage,", srimpi dancers move like",flowers in the wind
"On stage, srimpi dancers move like dead wood","On the stage, the srimpi dancer moves gracefully","On the stage, the srimpi dancer moves stiffly",1,stage,", srimpi dancers move like",dead wood
"If someone asks where Yuli is, say that the one with eyebrows like the moon is going to the first date","If someone asks where Yuli is from, say that he is the one with thick eyebrows","If someone asks where Yuli is from, say that the one with the rare eyebrows",0,someone,"asks where Yuli is , say that the one with eyebrows like the moon is going to",the first date
"If someone asks where Yuli is, they say that he has eyebrows like a field otter","If someone asks where Yuli is from, say that he is the one with thick eyebrows","If someone asks where Yuli is from, say that the one with the rare eyebrows",1,someone,"asks where Yuli is , they say that he has eyebrows like",a field otter
Umar came back to school walking like a hungry tiger,Umar returned to school walking slowly,Umar came back to school in a hurry,0,Umar,came back to,school walking like a hungry tiger
Umar went back to school like a tiger chasing a deer,Umar returned to school walking slowly,Umar came back to school in a hurry,1,Umar,went back to school like,a tiger chasing a deer
The child's behavior in his family is like a deer in the middle of the forest,The child's behavior in the family is calm,The behavior of the child in the family means,0,The child 's behavior in his family,is like,a deer in the middle of the forest
The child's behavior in his family is like a blind person in the dark,The child's behavior in the family is calm,The behavior of the child in the family means,1,The child 's behavior in his family,is like,a blind person in the dark
Dreaming of becoming president is like Petruk's dream of becoming a queen,The dream of becoming president is impossible,The dream of becoming president is possible,0,Petruk 's dream of becoming a queen,,president
The dream of becoming president is like Semar building a paradise,The dream of becoming president is impossible,The dream of becoming president is possible,1,The dream of becoming president,is like,Semar
Studying history at school is like waiting for a baboon to rest,Studying history at school is boring,Learning history at school is fun,0,school,is like waiting for,a baboon
Studying history at school is like playing at the night market,Studying history at school is boring,Learning history at school is fun,1,school,is like playing at,the night market
Working in a government office is like riding a raft on the Brantas River,Working in a government office has many challenges,Working in a government office is not challenging,0,a government office,is like riding a raft on,the Brantas River
Working in a government office is like riding a donkey in Bengawan Solo,Working in a government office has many challenges,Working in a government office is not challenging,1,a government office,is like riding a donkey in,Bengawan Solo
"In TV today, many officials are like having the reputation of a dry leaf","In TV today, there are many officials who do not have authority",There are many authoritative officials on TV today,0,TV,"today , many officials are like having the reputation of",a dry leaf
"On TV today, there are many officials who act like fair queens","In TV today, there are many officials who do not have authority",There are many authoritative officials on TV today,1,TV,"today , there are many officials who act like",fair queens
"At that time, the price of rice was like buying gilded gold","At that time, the price of rice was expensive","At that time, the price of rice was low",0,that time,",",the price of rice
"At that time, the price of rice was like buying gravel","At that time, the price of rice was expensive","At that time, the price of rice was low",1,that time,",",the price of rice
"Actually, living in a foreign country is like breaking a water bottle","Actually, living abroad is useless","Actually, living abroad is beneficial",0,a foreign country,is like breaking,a water bottle
"Actually, living in a foreign country is like filling a bucket with water","Actually, living abroad is useless","Actually, living abroad is beneficial",1,a foreign country,is like filling a bucket with,water
The story is so heart-wrenching that it feels like a sword,The story is heartbreaking,The story is heart-warming,0,The story,is so heart - wrenching that it feels like,a sword
The story is so heartwarming it feels like being sprinkled with flower water,The story is heartbreaking,The story is heart-warming,1,The story,is so heartwarming it feels like being sprinkled with,flower water
Life in the city is like raining stones and fire,Life in the city is unfortunate,Life in the city is fun,0,Life in the city,,the city
Life in the city is like rain,Life in the city is unfortunate,Life in the city is fun,1,Life in the city,is like,rain
The dream that night is like a sleeping flower,Have a good night's dream,The dream that night was bad,0,The dream,that night is like,a sleeping flower
The dream that night was like being chased by a demon,Have a good night's dream,The dream that night was bad,1,The dream,that night was like being chased by,a demon
The wind in pantura is really the same as the playon bull,The wind in pantura is really strong,The wind is really refreshing,0,The wind in pantura,is really the same as,the playon bull
The wind in the pantura is really the same as the flags blowing in the wind,The wind in pantura is really strong,The wind is really refreshing,1,The wind in the pantura,is really the same as,the flags blowing in the wind
"In my city, people who build factories are like mushrooms when it rains","In my city, there are many people who build factories","In my city, the man who built a small factory",0,my city,", people who build factories are like mushrooms when",it
"In my city, people who build factories can count on the fingers of one hand","In my city, there are many people who build factories","In my city, the man who built a small factory",1,my city,", people who build factories can count on",the fingers of one hand
Working in a factory is like swimming in the sea,Working in a factory is pointless,Working in a factory is productive,0,a factory,is like swimming in,the sea
Working in a factory is like planting chilies in a farm,Working in a factory is pointless,Working in a factory is productive,1,a factory,is like planting chilies in,a farm
So the children of this family are like carrying a stone on a mountain,Being the youngest child in this family is difficult,It's easy to be the bad boy in this family,0,the children of this family,are like carrying a stone on,a mountain
So the children in this family are like carrying cotton in their hands,Being the youngest child in this family is difficult,It's easy to be the bad boy in this family,1,the children in this family,are like carrying cotton in,their hands
"Living life as a santri has its own story, even if it's like the sun in the evening","Living life as a santri has its own story, even if it is comforting",Living life as a santri has its own story even if it's hard work,0,Living life as a santri,"has its own story , even if it 's like the sun in",the evening
"Living life as a santri has its own story, even if it's like getting lost in the jungle","Living life as a santri has its own story, even if it is comforting",Living life as a santri has its own story even if it's hard work,1,Living life as a santri,"has its own story , even if it 's like getting lost in",the jungle
"If his father works, it's like selling hands and feet",His father works until midnight,His father works until he is lazy,0,his father,"works ,",it
"His father, if he works, it's like selling words",His father works until midnight,His father works until he is lazy,1,His father,", if he works ,",it
Following the parents' orders is like holding a ember of fire,Obeying the orders of the parents became doubtful,Follow the orders of the parents to be strong,0,the parents ' orders,is like holding a ember of,fire
Obeying the parents' orders is like holding iron copper,Obeying the orders of the parents became doubtful,Follow the orders of the parents to be strong,1,the parents ' orders,is like holding,iron copper
The man's calmness is like lifting a buffalo,The man's calmness was very strong,The man's composure was very weak,0,The man 's calmness,is like lifting,a buffalo
The man's calmness is like a feather,The man's calmness was very strong,The man's composure was very weak,1,The man 's calmness,is like,a feather
Spending my salary is like following a stream of water,My salary is wasted,Save my salary money,0,my salary,is like following,a stream of water
It's like spending my salary for the third season,My salary is wasted,Save my salary money,1,It,'s like spending my salary for,the third season
Life in the Jakarta village is like finding a blood brother,Living in a busy Jakarta village,Life in the Jakarta village is full of fights,0,Life in the Jakarta village,,the Jakarta village
Living in the Jakarta village is like sacrificing blood,Living in a busy Jakarta village,Life in the Jakarta village is full of fights,1,the Jakarta village,is like sacrificing,blood
"If you work in this office, the decision is like a gong struck","If you work in this office, the decision will have a big impact","If you work in this office, the decision will have little effect",0,you,"work in this office , the decision is like",a gong
"If you work in this office, the decision is like hitting your head","If you work in this office, the decision will have a big impact","If you work in this office, the decision will have a small impact",1,you,"work in this office ,",the decision
The decision made by Mrs. Dwi is like teak wood standing upright,The decision made by Mrs. Dwi is firm,The decision made by Mrs. Dwi is not firm,0,The decision made by Mrs. Dwi,is like,teak wood
The decision made by Mrs. Dwi is like being scared by the sea,The decision made by Mrs. Dwi is firm,The decision made by Mrs. Dwi is not firm,1,The decision made by Mrs. Dwi,is like being scared by,the sea
Lia and her sister like coffee with milk,Lia and her sister get along well,Lia and her sister are hostile,0,coffee,with,milk
Lia and her sister are like oil and water,Lia and her sister get along well,Lia and her sister are hostile,1,Lia and her sister,are like,oil and water
His family's education is like a Japanese soldier going to war,His family was disciplined,Bring up your family as you want,0,His family 's education,is like a Japanese soldier going to,war
His family's upbringing is like a curse,His family was disciplined,Bring up your family as you want,1,His family 's upbringing,is like,a curse
It is true that people here say that Mrs. Lurah's actions are like the tip of a piece of paper,It is true that people here say that Bu Lurah's actions are heartbreaking,It is true that people here say that Bu Lurah's actions are pleasing to the heart,0,It,is true that people here say that Mrs. Lurah 's actions are like,the tip of a piece of paper
It is true that people here say that Bu Lurah's behavior is like pouring honey,It is true that people here say that Bu Lurah's actions are heartbreaking,It is true that people here say that Bu Lurah's actions are pleasing to the heart,1,It,is true that people here say that,Bu Lurah 's behavior
Doni and Yanti are really like Father Sinta in a puppet show,Doni and Yanti are a perfect match,Doni and Yanti really don't match,0,Doni and Yanti,are really like Father Sinta in,a puppet show
Doni and Yanti are really like Ravana Sinta in a puppet show,Doni and Yanti are a perfect match,Doni and Yanti really don't match,1,Doni and Yanti,are really like Ravana Sinta in,a puppet show
Looking at your smile feels like a breeze,Looking at your smile feels cold,Looking at your smile feels hot,0,your smile,feels like,a breeze
Looking at your smile feels like the heat of hell,Looking at your smile feels cold,Looking at your smile feels hot,1,your smile,feels like,the heat of hell
The train sounded like a humming bird,The train is loud,The train is silent,0,The train,sounded like,a humming bird
The train sounds like a bird of prey,The train is loud,The train is silent,1,The train,sounds like,a bird of prey
Your body is like iron,Your body is tough,Your body is soft,0,Your body,is like,iron
Your body is like kapok,Your body is tough,Your body is soft,1,Your body,is like,kapok
The cat moves like a train,The cat moves fast,The cat moves slowly,0,The cat,moves like,a train
The cat moves like a rickshaw,The cat moves fast,The cat moves slowly,1,The cat,moves like,a rickshaw
Sinden dangdut's voice is like a warbler,Sinden dangdut's voice is melodious,Sinden dangdut's voice is terrible,0,Sinden dangdut 's voice,is like,a warbler
Sinden dangdut's voice is like a duck,Sinden dangdut's voice is melodious,Sinden dangdut's voice is terrible,1,Sinden dangdut 's voice,is like,a duck
Your armpits smell like chicken shit,Your armpits smell rotten,Your armpits smell good,0,Your armpits,smell like,chicken shit
Your armpits smell like jasmine flowers,Your armpits smell rotten,Your armpits smell good,1,Your armpits,smell like,jasmine flowers
Pigeons fly like airplanes,Pigeons fly fast,The pigeon flies slowly,0,Pigeons,fly like,airplanes
Pigeons fly like snails,The pigeon flies fast,The pigeon flies slowly,1,Pigeons,fly like,snails
Waiting for your body to come feels like a thousand years,Waiting for you feels like a long time,Waiting for your body feels fast,0,your body,to come feels like,a thousand years
Waiting for your body to come feels like five seconds,Waiting for you feels like a long time,Waiting for your body feels fast,1,your body,to come feels like,five seconds
Make you believe it's like flipping the palm of your hand,Make you believe it's easy,Making you believe is hard,0,you,believe it 's like flipping the palm of,your hand
Make you believe it's like climbing a mountain,Make you believe it's easy,Making you believe is hard,1,you,believe,it
The shop rice is like eating a rock,The rice in the cafe is hard,The rice in the cafe tastes like rice,0,The shop rice,is like eating,a rock
Coffee shop rice is like eating porridge,The rice in the cafe is hard,The rice in the cafe tastes like rice,1,Coffee shop rice,is like eating,porridge
The news was received like a drug,The news is difficult to receive,The news is easy to get,0,The news,was received like,a drug
The news was received like saliva,The news is difficult to receive,The news is easy to get,1,The news,was received like,saliva
The man walked like he was riding an airplane,The man was walking very fast,The man walked very slowly,0,The man,walked like,he
That person walks like a snail,The man was walking very fast,The man walked very slowly,1,That person,walks like,a snail
It looks like it was dark last night,Apparently it was dark yesterday,Looks like yesterday,0,It,looks like,it
It looked like the noon sun yesterday,Apparently it was dark yesterday,Looks like yesterday,1,It,looked like,the noon sun
The teacher's words are like a sharp sword,The teacher's words are sharp,The words of the teacher are good,0,The teacher 's words,are like,a sharp sword
The teacher's words are like blunt rubber,The teacher's words are sharp,The words of the teacher are good,1,The teacher 's words,are like,blunt rubber
In the morning the air was like ice,It was cold in the morning,It was hot in the morning,0,the morning,the air was like,ice
In the morning the air was like fire,It was cold in the morning,It was hot in the morning,1,the morning,the air was like,fire
Last month's flood was as tall as a monas monument,The flood last month was very high,Last month's flood was very short,0,Last month 's flood,was as tall as,a monas monument
Last month's flood was as high as an ankle,The flood last month was very high,Last month's flood was very short,1,Last month 's flood,was as high as,an ankle
His speech is like a gas lighter,His words caused a storm,His words are calm,0,His speech,is like,a gas lighter
His words are like cold water,His words caused a storm,His words are calm,1,His words,are like,cold water
The roof of the house is painted charcoal,The walls of the house are painted dark,The walls of the house are painted in light colors,0,The roof of the house,,the house
The roof of the house is painted the color of pupur,The walls of the house are painted dark,The walls of the house are painted in light colors,1,The roof of the house,is painted the color of,pupur
This pillow feels like kapok,This pillow feels soft,This pillow feels like athos,0,This pillow,feels like,kapok
This pillow feels like a rock,This pillow feels soft,This pillow feels like athos,1,This pillow,feels like,a rock
The apple tastes like sour,The apple tastes sour,Apples taste sweet,0,The apple,tastes like,sour
The apple tastes like sugar cane,The apple tastes sour,Apples taste sweet,1,The apple,tastes like,sugar cane
The future of a person is like the light of the morning,The future is full of hope,The person's future is full of disappointment,0,The future of a person,is like,the light of the morning
People's future is like sunset,The future is full of hope,The person's future is full of disappointment,1,People 's future,is like,sunset
My eyes are like clear glass,My eyes can see clearly,My eyes are blurry when I use them to see,0,My eyes,are like,clear glass
My eyes look like a puddle of water,My eyes can see clearly,My eyes are blurry when I use them to see,1,My eyes,look like,a puddle of water
The color of the cat's fur is like charcoal,The color of the cat's fur is black,The color of the cat's fur is white,0,The color of the cat 's fur,is like,charcoal
The color of the cat's fur is like snow,The color of the cat's fur is black,The color of the cat's fur is white,1,The color of the cat 's fur,is like,snow
The two boys stick together like tluth,The two boys are stubborn,The two girls are separated,0,The two boys,stick together like,tluth
The two boys were separated as if they were fighting,The two boys are stubborn,The two boys are separated,1,The two boys,were separated as if,they
Fahmi ate rice like he hadn't eaten in five days,Fahmi ate rice like a starving man,Fahmi eats rice like a satisfied person,0,Fahmi,ate rice like he had n't eaten in,five days
Fahmi ate rice as if he was satisfied after finishing the buffet,Fahmi ate rice like a starving man,Fahmi eats rice like a satisfied person,1,Fahmi,ate rice as if,he
My family eats three meals a day,My family eats what they have every day,My family eats whatever is there every day,0,My family,eats,three meals a day
My family eats fish every day,My family eats what they have every day,My family eats whatever is there every day,1,My family,eats,fish
Raihan smells like flowers,Rahan smells fragrant,Raihan smelled rotten,0,Raihan,smells like,flowers
Raihan smells like a dead body,Rahan smells fragrant,Raihan smelled rotten,1,Raihan,smells like,a dead body
Jokowi's house is as wide as the south sea,Jokowi's house is very big,Jokowi's house is very narrow,0,Jokowi 's house,is as wide as,the south sea
Jokowi's house is as wide as a rat's alley,Jokowi's house is very big,Jokowi's house is very narrow,1,Jokowi 's house,is as wide as,a rat 's alley
You pray like a sea turtle,I wish you a long life,You pray for a short life,0,You,pray like,a sea turtle
You're like kneeling,I wish you a long life,You pray for a short life,1,,,
Your body smells like sheep,The smell of your body,Your body smells good,0,Your body,smells like,sheep
Your body smells like jasmine flowers,The smell of your body is bronze,Your body smells good,1,Your body,smells like,jasmine flowers
My love for you is like an elephant,My love for you is great,My love for you is small,0,My love for you,is like,an elephant
My love for you is like an ant,My love for you is great,My love for you is small,1,My love for you,is like,an ant
The water in this house tastes like ice water,The water in this house is cold,The water in this house feels warm,0,The water in this house,tastes like,ice water
The water of this house tastes like ronde drink,The water in this house is cold,The water in this house feels warm,1,The water of this house,tastes like,ronde drink
Looking at his ex's smile felt like sugar cane,Looking at his ex's smile was sweet,Looking at his ex's smile was bittersweet,0,his ex 's smile,felt like,sugar cane
Looking at his ex's smile felt like a leaf,Looking at his ex's smile was sweet,Looking at his ex's smile was bittersweet,1,his ex 's smile,felt like,a leaf
The house seems to be made of gold,The house is like luxury,The house is just as cheap,0,The house,seems to be made of,gold
The house seems to be made of wood,The house is like luxury,The house is like cheap,1,The house,seems to be made of,wood
The car is made of iron,The car is powerful,The car is weak,0,The car,is made of,iron
The car is made of wood,The car is powerful,The car is weak,1,The car,is made of,wood
The taste of this food is like chicken,The taste of this food is savory,This food tastes good,0,The taste of this food,is like,chicken
The taste of this food is like boiled tempeh,The taste of this food is savory,This food tastes good,1,The taste of this food,is like,boiled tempeh
My love for you is like the blue sea,My love for you is wide,My love for you is narrow,0,My love for you,is like,the blue sea
My love for you is as narrow as a dom hole,My love for you is wide,My love for you is narrow,1,My love for you,is as narrow as,a dom hole
Waiting for Surya to bathe is like a hundred years,Waiting for Surya to take a bath is a long time,Waiting for Surya to shower is fast,0,Surya,to bathe is like,a hundred years
Waiting for Surya to take a bath was like five minutes,Waiting for Surya to take a bath is a long time,Waiting for Surya to shower is fast,1,Surya,to take a bath was like,five minutes
Cake fever is like a young date,Cake fever is like a rich man,Cake fever is like a tent,0,Cake fever,is like,a young date
Cake fever is like an old date,Cake fever is like a rich man,Cake fever is like a tent,1,Cake fever,is like,an old date
Jaka lives in a walled house,Jaka lives in a reasonable place,Jaka lives in a low place,0,Jaka,lives in,a walled house
Jake lives in a cardboard house,Jaka lives in a reasonable place,Jaka lives in a low place,1,Jake,lives in,a cardboard house
Adi is fussy because her stomach rumbles,Adi is fussy because he is hungry,Adi is fussy because he is satisfied,0,Adi,is fussy because,her stomach
Adi is fussy because his stomach is full,Adi is fussy because he is hungry,Adi is fussy because he is satisfied,1,Adi,is fussy because,his stomach
The picture is like a sky full of stars,The picture is very good,The picture is terrible,0,The picture,is like,a sky full of stars
The picture is like the sky,The picture is very good,The picture is terrible,1,The picture,is like,the sky
People like you are like sand on the beach,There are many people like you,People like you are rare,0,People like you,are like,sand on the beach
People like you are like agate,There are many people like you,People like you are rare,1,People like you,are like,agate
The police are like wild dogs,The police are brutal,The police are gentle,0,The police,are like,wild dogs
The police are like kittens,The police are brutal,The police are gentle,1,The police,are like,kittens
Your face looks like Luna Maya,Your face looks beautiful,Your face looked horrified,0,Your face,looks like,Luna Maya
Your face doesn't look like Mak Lampir,Your face looks beautiful,Your face looked horrified,1,Your face,does n't look like,Mak Lampir
Dad bought peanuts like his wallet was thick,Dad bought peanuts like he had a lot of money,Dad bought peanuts as he had little money,0,Dad,bought peanuts like,his wallet
Dad bought peanuts as his wallet was thin,Dad bought peanuts like he had a lot of money,Dad bought peanuts as he had little money,1,Dad,bought peanuts as,his wallet
My father's desk is made of teak wood,Dad's desk is strong,Father's desk is weak,0,My father 's desk,is made of,teak wood
My father's desk is made of banana peels,Dad's desk is strong,Father's desk is weak,1,My father 's desk,is made of,banana peels
My friend's house is like a palace,My friend's house is luxurious,My friend's house is nearby,0,My friend 's house,is like,a palace
My friend's house is like a boarding school,My friend's house is luxurious,My friend's house is nearby,1,My friend 's house,is like,a boarding school
The parking lot of my uncle's house is like a football field,The parking lot of my uncle's house is really big,The parking lot of uncle's house is narrow,0,The parking lot of my uncle 's house,is like,a football field
The parking lot of your uncle's house is like a terrace,The parking lot of my uncle's house is really big,The parking lot of uncle's house is narrow,1,The parking lot of your uncle 's house,is like,a terrace
Today I feel like I got money,Today I am lucky,I was unlucky today,0,I,,I
Today I am like a burden,Today I am lucky,I was unlucky today,1,I,am like,a burden
"For him, his life was like seeing a beautiful sight",His life is happy,His life was miserable,0,him,",",his life
"For him, his life was like an iron bar",His life is happy,His life was miserable,1,him,", his life was like",an iron bar
He helped his old mother like carrying ten sacks of rice,He was helping his elderly mother,He helps his elderly mother is light,0,He,helped his old mother like carrying ten sacks of,rice
He helped his old mother like a cracker,He was helping his elderly mother,He helps his elderly mother is light,1,He,helped his old mother like,a cracker
He works like a horse when he runs,They work fast,He is slow to work,0,He,works like a horse when,he
He works like a snail when he runs,They work fast,He is slow to work,1,He,works like a snail when,he
When he sleeps his snoring sound is like the exhaust of an old and worn out car,His voice was snoring loudly,His voice was a soft snoring,0,he,sleeps his snoring sound is like,the exhaust of an old and worn out car
"When he sleeps, he snores like a walking thief",His voice was snoring loudly,His voice was a soft snoring,1,he,"sleeps , he snores like",a walking thief
The test of a person's life is like heavy rain that does not stop,The test of life continues,Life's tests are rare,0,The test of a person 's life,is like,heavy rain that does not stop
The test of a person's life is like a bald head with sparse hair,The test of life continues,Life's tests are rare,1,The test of a person 's life,is like,a bald head with sparse hair
Mom carries a large suitcase around the house,His suitcase is big,Small suitcase,0,Mom,carries a large suitcase around,the house
Mom brought a large suitcase with a box of petel,His suitcase is big,Small suitcase,1,Mom,brought a large suitcase with,a box of petel
The mind is like a train track,Think long,Think short,0,The mind,is like,a train track
His mind is like a panty slip,Think long,Think short,1,His mind,is like,a panty slip
An artist's career is like putting a cork in water,The artist's career is rising,The artist's career is sinking,0,An artist 's career,is like putting a cork in,water
An artist's career is like a stone placed in water,The artist's career is rising,The artist's career is sinking,1,An artist 's career,is like,a stone placed in water
His house is like a king's palace,Luxury home,His house is shabby,0,His house,is like,a king 's palace
His house is like a cardboard and plywood house,Luxury home,His house is shabby,1,His house,is like,a cardboard and plywood house
Mr. Rangga's supporters became regents like foam in the ocean,Mr. Rangga's supporter is the regent of Akeh,Mr. Rangga's supporter is a local regent,0,Mr. Rangga 's supporters,became regents like,foam in the ocean
Mr. Rangga's supporters are regents such as the morning prayer congregation in the mosque,Mr. Rangga's supporter is the regent of Akeh,Mr. Rangga's supporter is a local regent,1,Mr. Rangga 's supporters,are regents such as,the morning prayer congregation in the mosque
Living in this house is like heaven,Living in this house is fun,Living in this house is suffering,0,this house,is like,heaven
Living in this house is like hell,Living in this house is fun,Living in this house is suffering,1,this house,is like,hell
The atmosphere of this village is like a market,The atmosphere of this village is crowded,The atmosphere of this village is quiet,0,The atmosphere of this village,is like,a market
The atmosphere of this village is like a graveyard,The atmosphere of this village is crowded,The atmosphere of this village is quiet,1,The atmosphere of this village,is like,a graveyard
His voice when he sings is like Didi's voice,His voice is melodious when he sings,His voice is masked when he sings,0,His voice when he sings,is like,Didi 's voice
The voice of my mask when I sing is like the lid of a pot is stuck,His voice is melodious when he sings,His voice is masked when he sings,1,The voice of my mask when I sing,is like,the lid of a pot
A woman's skin is like a baby's skin,The girl's skin is smooth,The girl's skin is rough,0,A woman 's skin,is like,a baby 's skin
The skin of the girl is like the skin of salak,The girl's skin is smooth,The girl's skin is rough,1,The skin of the girl,is like,the skin of salak
Today the weather outside feels like the north pole,It's cold outside today,It's hot outside today,0,the weather outside,feels like,the north pole
Today the air outside feels like being in a desert of fear,It's cold outside today,It's hot outside today,1,the air outside,feels like being in,a desert of fear
His spirit to face the trials of life is like a lion king in the middle of the forest,His spirit to face the trials of life is Brave,His spirit to face the trials of life is Fear,0,His spirit to face the trials of life,is like,a lion king in the middle of the forest
His spirit to endure the trials of life is like a turtle that often hides in its shell,His spirit to face the trials of life is Brave,His spirit to face the trials of life is Fear,1,His spirit to endure the trials of life,is like,a turtle that often hides in its shell
When solving problems he is like a wave in the middle of the ocean,When solving problems he is restless,"When solving problems he is strong, calm and full of wisdom",0,he,is like,a wave in the middle of the ocean
When solving problems he is like a mountain,When solving problems he is restless,"When solving problems he is strong, calm and full of wisdom",1,he,is like,a mountain
My nephew is like a smart and agile deer at school,My nephew if school is active,My nephew is passive at school,0,My nephew,is like,a smart and agile deer at school
My nephew that school is like a pile of wood,My nephew if school is active,My nephew is passive at school,1,My nephew,that school is like,a pile of wood
His patience is like the ocean,Patience is wide,Patience is narrow,0,His patience,is like,the ocean
His patience is like a hole in a straw,Patience is wide,Patience is narrow,1,His patience,is like,a hole in a straw
His mentality is like steel,Mentally strong,Mentally weak,0,His mentality,is like,steel
Mentally like tempeh,Mentally strong,Mentally weak,1,tempeh,ly like tempe,Mentally
Your smile is like the moon that lights up the dark night,Your smile is beautiful,Your smile is sour,0,Your smile,is like,the moon that lights up the dark night
"Your smile is like an unripe orange, but it has been picked",Your smile is beautiful,Your smile is sour,1,Your smile,"is like an unripe orange , but",it
Ms. Siti divides her time like ducks in a row,Ms. Siti divides her time regularly,Ms. Siti divides her time irregularly,0,Ms. Siti,divides her time like,ducks in a row
Ms. Siti divides her time like a traffic jam in the capital city,Ms. Siti divides her time regularly,Ms. Siti divides her time irregularly,1,Ms. Siti,divides her time like,a traffic jam in the capital city
Voicing your opinion is like roaring a tiger,If you voice your opinion out loud,"If you voice your opinion, don't be loud",0,your opinion,is like roaring,a tiger
If you voice your opinion it's like a rat's tail caught in the door,If you voice your opinion out loud,"If you voice your opinion, don't be loud",1,you,voice your opinion it 's like,a rat 's tail caught in the door
The size of the child's body is like an elephant,Great,small,0,The size of the child 's body,is like,an elephant
The size of the child's body is like an ant,Great,small,1,The size of the child 's body,is like,an ant
The boy's hair was like silk,The child's hair is soft,The boy's hair was stiff,0,The boy 's hair,was like,silk
The boy's hair was like a palm broom,The child's hair is soft,The boy's hair was stiff,1,The boy 's hair,was like,a palm broom
Our friendship is like a chain,Our friendship is strong,Our friendship is fragile,0,Our friendship,is like,a chain
Our friendship is like solid wood that is often touched by water,Our friendship is strong,Our friendship is fragile,1,Our friendship,is like,solid wood that is often touched by water
