startphrase,ending1,ending2,labels
Life is like skydiving,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,0
Life is like cycling.,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,1
Your career is like a flowing river.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,0
Your career is like a roller coaster ride.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,1
He ate like a horse,He ate a lot,He barely ate at all,0
He ate like a bird,He ate a lot,He barely ate at all,1
The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,0
The groups are as separate as strands of yarn.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,1
When you are in a slump focus on first base,just do the first part of your goal,stop and look at life.,0
When you are in a slump focus on the roses,just do the first part of your goal,stop and look at life.,1
The girl's engagement ring sparkled like New Year's Eve confetti,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,0
The girl's engagement ring sparkled like a block of lead,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,1
He's as fun as a party,He's fun,He's boring,0
He's as fun as watching paint dry,He's fun,He's boring,1
He has eyes like a hawk,He sees well,He can't see well,0
He has eyes like a bat,He sees well,He can't see well,1
He's as lenient as a prison guard.,He's not lenient at all.,He's very lenient.,0
He's as lenient as a dad trying to win his kids' love.,He's not lenient at all.,He's very lenient.,1
He keeps time like a stopwatch.,He keeps time really well.,He doesn't keep time that well.,0
He keeps time like a three-year old on sugar.,He keeps time really well.,He doesn't keep time that well.,1
The country has all the enemies of a wounded seal in shark infested waters,The country has many enemies,The country has few enemies,0
The country has all the enemies of Mister Rogers,The country has many enemies,The country has few enemies,1
That dog has the fur of a naked mole rat.,The dog is bald.,The dog is fluffy.,0
That dog has the fur of a lion's mane.,The dog is bald.,The dog is fluffy.,1
The baby is as loud as a whisper.,The baby is quiet.,The baby makes a lot of noise.,0
The baby is as loud as a foghorn.,The baby is quiet.,The baby makes a lot of noise.,1
Honesty is a down comforter for one's conscience.,Honesty creates a clear conscience.,Honesty restricts ambition.,0
Honesty is a burden on one's ambitions.,Honesty creates a clear conscience.,Honesty restricts ambition.,1
The car had the speed of Zeus chasing a pretty young maiden.,Fast like a god hitting on a girl,The car had to be going slow.,0
The car had the speed of a street sign in a school zone.,Fast like a god hitting on a girl,The car had to be going slow.,1
The child worked as hard as a premed student,The child put forth his best effort.,The child was lazy.,0
The child worked as hard as a high school dropout,The child put forth his best effort.,The child was lazy.,1
He roared like a lion,He roared loudly,He roared softly,0
He roared like a kitten,He roared loudly,He roared softly,1
The defenses are as thick as steel,The defenses are strong,The defenses are weak,0
The defenses are as thick as air,The defenses are strong,The defenses are weak,1
The comedian was as funny as a clown,The comedian was funny,The comedian was not funny,0
The comedian was as funny as a corpse,The comedian was funny,The comedian was not funny,1
That city was the heartbeat of California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,0
That city was a blister on California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,1
The writer's work is as inspired as a morning sunrise,The writer's work is totally refreshing.,The writer's work is bland.,0
The writer's work is as inspired as a peanut butter sandwich,The writer's work is totally refreshing.,The writer's work is bland.,1
The movie has the depth of a cookie sheet filled with melted red Jello,The movie is boring,The movie is profound,0
The movie has the depth of the deepest most mysterious part of the Marianna Trench in the darkest black ocean,The movie is boring,The movie is profound,1
The room is as crowded as the beach in the summer,The room is packed.,The room is empty.,0
The room is as crowded as the Arctic,The room is packed.,The room is empty.,1
The kitchen counter looked like a toddler cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,0
The kitchen counter looked like an Army general cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,1
He punches like a gorilla,his punches are heavy,his punches are light,0
He punches like a mosquito,his punches are heavy,his punches are light,1
The horse had the power of a Ferrari.,The horse is very strong.,The horse is weak.,0
The horse had the power of a bicycle.,The horse is very strong.,The horse is weak.,1
The judge had the intelligence of a cricket.,The judge is not smart.,The judge is smart.,0
The judge had the intelligence of a surgeon.,The judge is not smart.,The judge is smart.,1
That wave was as big as everest.,The wave was very big.,The wave wasn't big at all.,0
That wave was as big as a pebble.,The wave was very big.,The wave wasn't big at all.,1
She could eat like a a starved bear.,She ate very ravenously.,She barely ate..,0
She could eat like a an ant.,She ate very ravenously.,She barely ate..,1
The high school athlete has the speed of a jaguar,The high school athlete is fast.,The high school athlete is slow.,0
The high school athlete has the speed of a banana slug,The high school athlete is fast.,The high school athlete is slow.,1
The professor is as engaging as Bill Cosby,The professor is very engaging.,The professor is very dry.,0
The professor is as engaging as a dictionary,The professor is very engaging.,The professor is very dry.,1
Jim is a rusty toolbox.,Jim is useless.,Jim is useful.,0
Jim is a cabinet full of tools.,Jim is useless.,Jim is useful.,1
His eyes move like a hummingbird's wings,His eyes move rapidly,His eyes move slowly,0
His eyes move like a giant sloth,His eyes move rapidly,His eyes move slowly,1
The table is a bed of rocks.,The table is bumpy.,The table is smooth.,0
The table is a sheet of glass.,The table is bumpy.,The table is smooth.,1
This is about as legal as the supreme court.,It's very legal.,It's very illegal.,0
This is about as legal as a bank robbery.,It's very legal.,It's very illegal.,1
This is as fun as a bowl of nachos.,It's very fun.,It's not fun at all.,0
This is as fun as stubbing your toe.,It's very fun.,It's not fun at all.,1
His eyes have the sharpness of an eagle with binoculars,His eyes are very good,His eyesight is poor,0
His eyes have the sharpness of a bat with broken glasses,His eyes are very good,His eyesight is poor,1
He's smart as a whip,He's very smart,He's not smart at all,0
He's smart as a brick,He's very smart,He's not smart at all,1
The stars shined as bright as the sun,The stars were very bright,The stars were dull,0
The stars shined as bright as wood,The stars were very bright,The stars were dull,1
The actor was as famous as Jesus Christ.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,0
The actor was as famous as the local mailman.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,1
The shopping list was as detailed as the Constitution.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,0
The shopping list was as detailed as a toddler's letter to Santa.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,1
The homework assignment was as difficult as an end-of-the-year project.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,0
The homework assignment was as difficult as reciting the ABCs.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,1
She is a porcelain plate.,She is delicate.,She is tough.,0
She is a pizza pan.,She is delicate.,She is tough.,1
The man's ego was the size of a pea,The man's ego was tiny.,The man had a big ego.,0
The man's ego was the size of a boulder,The man's ego was tiny.,The man had a big ego.,1
The blanket was as soft as a marshmallow,The blanket was super soft.,The blanket was not soft at all.,0
The blanket was as soft as a crocodile's armor,The blanket was super soft.,The blanket was not soft at all.,1
The football player a hurricane,The football player is destructive.,The football player is resistant.,0
The football player a brick.,The football player is destructive.,The football player is resistant.,1
The hole goes all the way down to the center of the earth,the hole is deep,the hole is shallow,0
The hole goes all the way down to the tops of my shoes,the hole is deep,the hole is shallow,1
The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,0
The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,1
The letter had the depth of a tide pool.,The letter was superficial.,The letter was profound.,0
The letter had the depth of the bottom of the sea.,The letter was superficial.,The letter was profound.,1
The professor had the depth of a bath tub.,The professor was boring.,The professor was profound.,0
The professor had the depth of the Mariana Trench.,The professor was boring.,The professor was profound.,1
He sang like he'd just been divorced.,He was very emotional while singing.,He was not emotional at all.,0
He sang like a robot in need of an update.,He was very emotional while singing.,He was not emotional at all.,1
The sunset had the hue of a bowl of fresh picked oranges,The sunset was very orange,The sunset was hardly orange at all,0
"The sunset had the hue of a bowl of rotten, six week old oranges",The sunset was very orange,The sunset was hardly orange at all,1
My friend's arrival was a swift as a turtle,My friend was slow to arrive,My friend arrived quickly,0
My friend's arrival was a swift as a formula 1 race car,My friend was slow to arrive,My friend arrived quickly,1
Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,0
Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,1
The rustling was as loud as a power lawn mower,The rustling was obnoxiously loud.,The rustling was very quiet.,0
The rustling was as loud as a library,The rustling was obnoxiously loud.,The rustling was very quiet.,1
"When Billy danced, it was poetry on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,0
"When Billy danced, it was an oil spill on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,1
The man's room looked like a junkyard,The man's room was a mess.,The man's room was well organized.,0
The man's room looked like a classroom on the first day of school,The man's room was a mess.,The man's room was well organized.,1
The football fans at the beginning of the season were as hopeful as people on New Year's Day.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,0
The football fans at the beginning of the season were as hopeful as one of the characters stuck in Dante's inferno.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,1
The priest had the disposition of a dictator.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",0
The priest had the disposition of Christ himself.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",1
The TV show was as easy to understand as one of Hegel's philosophy books.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,0
The TV show was as easy to understand as Dr. Seuss tale.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,1
The movie's excitement level was like that of Watching paint dry,The movie is boring,The movie is exciting,0
The movie's excitement level was like that of A three-ring circus,The movie is boring,The movie is exciting,1
The book had the clarity of glass,The book was clear and easy to understand,The book was confusing and hard to understand,0
The book had the clarity of mud,The book was clear and easy to understand,The book was confusing and hard to understand,1
The phone had all the charge of a nuclear power plant before a meltdown,The phone has a lot of charge,The phone has no charge,0
The phone had all the charge of a Sega Game Gear left in the attic for 25 years,The phone has a lot of charge,The phone has no charge,1
This book has the originality of a copy machine,This book is predictable and overdone,This book has nothing like it,0
This book has the originality of a snowflake,This book is predictable and overdone,This book has nothing like it,1
That flower has the beauty of a peacock sitting in a weeping willow under a rainbow,The flower is beautiful and rare,That flower is disgusting,0
That flower has the beauty of the bottom of an empty dumpster,The flower is beautiful and rare,That flower is disgusting,1
It was as challenging as Mt. Everest,It was difficult.,It was easy.,0
It was as challenging as tying one's shoes,It was difficult.,It was easy.,1
The movie has the speed of a dead chicken.,The movie is slow.,The movie is fast-paced.,0
The movie has the speed of a Lamborghini.,The movie is slow.,The movie is fast-paced.,1
The girl's smile was as bright as a Christmas ornament,The girl's smile was exuberant.,The girl didn't smile very brightly.,0
The girl's smile was as bright as a piece of slate,The girl's smile was exuberant.,The girl didn't smile very brightly.,1
The car is a pile of dog poop.,The car is trash.,The car is wonderful.,0
The car is a treasure chest.,The car is trash.,The car is wonderful.,1
The cat is a  wooly mammoth.,The cat is hairy.,The cat is bald.,0
The cat is a naked mole rat.,The cat is hairy.,The cat is bald.,1
Mornings spent here are nightmares comes to life.,The mornings there are awful.,The mornings there are wonderful.,0
Mornings spent here are dreams come true.,The mornings there are awful.,The mornings there are wonderful.,1
Toddlers are angels in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,0
Toddlers are devils in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,1
That man had all the charm of skunk spray.,He was not charming at all.,He was very charming.,0
That man had all the charm of a chocolate strawberry.,He was not charming at all.,He was very charming.,1
The cat is as small as a hippopotamus.,The cat is very large.,The cat is tiny.,0
The cat is as small as an ant.,The cat is very large.,The cat is tiny.,1
The field is as green as a school bus.,The field is yellow and dying.,The field is bright green.,0
The field is as green as a tree frog.,The field is yellow and dying.,The field is bright green.,1
The car was a cheetah,The car was fast,The car was slow,0
The car was a slug,The car was fast,The car was slow,1
The meaning of life is quantum theory.,The meaning of life is complicated,The meaning of life is simple,0
"The meaning of life is duck, duck, goose",The meaning of life is complicated,The meaning of life is simple,1
He smelled like success,He smelled good.,He smelled bad.,0
He smelled like defeat,He smelled good.,He smelled bad.,1
Her laughter was like a favorite song,The sound of her laughter was pleasant.,The sound of her laughter was unpleasant.,0
Her laughter was like a woodchipper,The sound of her laughter was pleasant.,The sound of her laughter was unpleasant.,1
The girl makes her emotions as easy to read as a geometry textbook,The girl's emotions are hard to read.,The girl's emotions are really easy to figure out.,0
The girl makes her emotions as easy to read as a billboard sign,The girl's emotions are hard to read.,The girl's emotions are really easy to figure out.,1
The lawyer's tenacity was like a bulldog,The lawyer was highly motivated.,The lawyer had no drive.,0
The lawyer's tenacity was like a koala,The lawyer was highly motivated.,The lawyer had no drive.,1
The child swims as well as a salmon,The child swims really expertly.,The child flounders around in the pool.,0
The child swims as well as a peacock,The child swims really expertly.,The child flounders around in the pool.,1
The dog barked as loudly as a cheering audience,The dog yipped wildly.,The dog made no sound.,0
The dog barked as loudly as a sleeping baby,The dog yipped wildly.,The dog made no sound.,1
The chapter has the depth of a bathtub.,The chapter is boring.,The chapter is profound.,0
The chapter has the depth of the sea.,The chapter is boring.,The chapter is profound.,1
The driveway is a ski slope.,The driveway is steep.,The driveway is flat.,0
The driveway is a plain.,The driveway is steep.,The driveway is flat.,1
The sandwich is as thick as a dictionary,the sandwich is huge,the sandwich is thin,0
The sandwich is as thick as a veil,the sandwich is huge,the sandwich is thin,1
The tea tastes like paper,the tea is flavorless,the tea has interesting flavors,0
The tea tastes like the tropics,the tea is flavorless,the tea has interesting flavors,1
The sandwich bread had the thickness of a car tire,The bread was thick,The bread was thin,0
The sandwich bread had the thickness of a wood shaving,The bread was thick,The bread was thin,1
The woman's waistline had the width of a toothpick,The waistline was small,The waistline was large,0
The woman's waistline had the width of the equator,The waistline was small,The waistline was large,1
The conversation was as shallow as a bird bath,The conversation was superficial,The conversation was intriguing,0
The conversation was a deep rabbit hole,The conversation was superficial,The conversation was intriguing,1
Her pillow is a rock,The pillow is hard,The pillow is soft,0
Her pillow is a marshmallow,The pillow is hard,The pillow is soft,1
The air is a warm hug,The air is warm and cozy,The air is cold and irritating,0
The air is a biting fly,The air is warm and cozy,The air is cold and irritating,1
The sandwich was a mother's hug.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,0
The sandwich was a fist to the face.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,1
The shower had the moisture of a greenhouse in a hurricane,The shower was moist,The shower had little moisture,0
The shower had the moisture of a pizza left in the oven for an hour,The shower was moist,The shower had little moisture,1
The ball was a trampoline,The ball was bouncy,The ball was not bouncy,0
The ball was a brick of lead,The ball was bouncy,The ball was not bouncy,1
The teacher graded as harshly as a Navy SEAL,The teacher's grading was very difficult.,The teacher's grading was very relaxed.,0
The teacher graded as harshly as a saint,The teacher's grading was very difficult.,The teacher's grading was very relaxed.,1
She's as cool as Antarctica.,She's very cool.,She's not very cool.,0
She's as cool as the Sahara.,She's very cool.,She's not very cool.,1
Rest is a sky full of clouds.,Rest is very restful.,Rest is restless.,0
Rest is pacing back and forth.,Rest is very restful.,Rest is restless.,1
Her nail polish was as shiny as aluminium foil,Her nail polish was shiny,Her nail polish was dull,0
Her nail polish was as shiny as dull metal,Her nail polish was shiny,Her nail polish was dull,1
This baseball game has the entertainment value watching paint dry,baseball is boring,baseball has action,0
This baseball game has the entertainment value an action movie,baseball is boring,baseball has action,1
The girl is as coordinated as the London symphony,The girl is very well coordinated.,The girl has no coordination at all.,0
The girl is as coordinated as a baby giraffe,The girl is very well coordinated.,The girl has no coordination at all.,1
The movie's star was as well-known as a primary color,The movie star was a household name.,The movie star was totally obsolete.,0
The movie's star was as well-known as the color burlywood,The movie star was a household name.,The movie star was totally obsolete.,1
The doctor is a bigfoot.,The doctor is sloppy.,The doctor is careful.,0
The doctor is an artist.,The doctor is sloppy.,The doctor is careful.,1
The joke is like a ton of concrete.,The joke is terrible.,The joke is hilarious.,0
The joke is like a hit of laughing gas.,The joke is terrible.,The joke is hilarious.,1
He shares as much as scrooge.,He doesn't share much at all.,He shares a lot.,0
He shares as much as Santa Claus.,He doesn't share much at all.,He shares a lot.,1
The basketball player had the height of a giraffe,The player was tall,The player was short,0
The basketball player had the height of an ant,The player was tall,The player was short,1
Spilling secrets to a friend can be a walking disaster down the line,Spilling secrets to a friend is a bad idea,Spilling secrets to a friend is a way to bring people together to talk about things,0
Spilling secrets to a friend can be a a magnetic experience for the group,Spilling secrets to a friend is a bad idea,Spilling secrets to a friend is a way to bring people together to talk about things,1
Cats have the luck of The Irish,They have good fortune,Cats keep trying until they get the results they want,0
Cats have the luck of A compulsive gambler,They have good fortune,Cats keep trying until they get the results they want,1
The mattress was as comfortable as a pile of marshmallows,The mattress was very comfortable.,The mattress was uncomfortable.,0
The mattress was as comfortable as a pile of rocks,The mattress was very comfortable.,The mattress was uncomfortable.,1
The plane ride was as choppy as a knife,The plane ride was very choppy.,The plane ride was smooth.,0
The plane ride was as choppy as a freshwater lake,The plane ride was very choppy.,The plane ride was smooth.,1
This painting makes me feel as if I am home.,The painting makes the speaker feel safe and in a familiar place.,The painting makes the speaker feel out of their element and unsure.,0
This painting makes me feel as if I am lost.,The painting makes the speaker feel safe and in a familiar place.,The painting makes the speaker feel out of their element and unsure.,1
He had the artistic talent of a Renaissance artist,He was artistically talented,He was artistically untalented,0
He had the artistic talent of a finger-painting toddler,He was artistically talented,He was artistically untalented,1
"When it comes to running, I'm practically a cheetah.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",0
"When it comes to running, I'm practically a turtle.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",1
The new product was iPhone like.,The new product was expensive.,The new product was economical.,0
The new product was LG like,The new product was expensive.,The new product was economical.,1
This weeknight meal encompasses as much food as the Last Supper,This weeknight meal is very lavish.,This weeknight meal barely has any food.,0
This weeknight meal encompasses as much food as a few crumbs,This weeknight meal is very lavish.,This weeknight meal barely has any food.,1
She's as gentle as a puppy.,She's very gentle.,She's vicious.,0
She's as gentle as a shark.,She's very gentle.,She's vicious.,1
This food has the flavor of ambrosia,This food tastes good.,This food tastes bad.,0
This food has the flavor of garbage,This food tastes good.,This food tastes bad.,1
The chef's sauce has the taste of A liquid drained through soiled socks.,The chef's sauce was horrible.,The chef's sauce tasted great.,0
The chef's sauce has the taste of A wonderful condiment from heaven.,The chef's sauce was horrible.,The chef's sauce tasted great.,1
The digest's compilation was organized like A rummage sale,The digest's compilation was disorderly and not organized,The digest's compilation was well organized and orderly,0
The digest's compilation was organized like A crack platoon of soldiers,The digest's compilation was disorderly and not organized,The digest's compilation was well organized and orderly,1
The world spins like a roulette wheel,The world operates on chance,The world is determined by what you do,0
The world spins like a like a hula-hoop around your waist,The world operates on chance,The world is determined by what you do,1
This food is as rich as a tech billionaire,This is food is very rich/flavorful,This food is not at all rich/has bad flavor,0
This food is as rich as a a homeless bum,This is food is very rich/flavorful,This food is not at all rich/has bad flavor,1
This wine is like the Sahara,The wine is very dry,The wine is very sweet,0
This wine is like candy,The wine is very dry,The wine is very sweet,1
The casino has the integrity of a priest.,The casino is just and fair.,The casino is ruthless.,0
The casino has the integrity of the devil.,The casino is just and fair.,The casino is ruthless.,1
The gambler is a lumberjack.,The gambler is sloppy.,The gambler is careful.,0
The gambler is a ballerina.,The gambler is sloppy.,The gambler is careful.,1
The diss track was an execution.,The diss track was brutal.,The diss track was weak.,0
The diss track was an a light tickle.,The diss track was brutal.,The diss track was weak.,1
His work ethic was made with steel beams.,He was solid and dependable.,He was not reliable a failure.,0
His work ethic was made with jelly.,He was solid and dependable.,He was not reliable a failure.,1
This couch has all the comfort of a nice cloud.,The couch was very comfortable.,The couch was not very comfortable.,0
This couch has all the comfort of a pile of nails.,The couch was very comfortable.,The couch was not very comfortable.,1
The blanket felt as soft as a brick's surface,The blanket isn't soft at all,The blanket is very soft,0
The blanket felt as soft as rabbit fur,The blanket isn't soft at all,The blanket is very soft,1
Magic is a butterfly.,Magic is beautiful.,Magic is ugly.,0
Magic is a frog.,Magic is beautiful.,Magic is ugly.,1
This hurts as much as Brad Pitt hurt Jennifer Aniston,This hurts a lot,This does not hurt at all,0
This hurts as much as eating chocolate,This hurts a lot,This does not hurt at all,1
She treats him like he's a soft puppy.,She treats him too nicely.,She treats him too harshly.,0
She treats him like he's a rabid wolf.,She treats him too nicely.,She treats him too harshly.,1
She smelled like a trash can.,She stunk.,She smelled nice.,0
She smelled like a rose.,She stunk.,She smelled nice.,1
Our love is deep like the ocean,Our love is strong,Our love is weak,0
Our love is deep like a puddle,Our love is strong,Our love is weak,1
The knife is as shiny as a freshly polished piece of jewelry.,The knife is shiny.,The knife is not shiny.,0
The knife is as shiny as a rusty nail.,The knife is shiny.,The knife is not shiny.,1
The girl is as flighty as a plane,The girl is very flighty.,The girl is very steady.,0
The girl is as flighty as a rock,The girl is very flighty.,The girl is very steady.,1
The bone has the white of the blinding lights of Heaven,The bone is very white,The bone is not white,0
The bone has the white of the La Brea tar pits,The bone is very white,The bone is not white,1
He is as brave as a leopard,he is brave.,he is a coward,0
He is as brave as a cow,he is brave.,he is a coward,1
Traffic is moving at the speed of a turtle,Traffic is slow,Traffic is moving fast,0
Traffic is moving at the speed of a rocket,Traffic is slow,Traffic is moving fast,1
Our enemies have the strength of an army of of hoplites,The enemies are very strong and coordinated,The enemies are weak and helpless,0
Our enemies have the strength of a sleeping koala,The enemies are very strong and coordinated,The enemies are weak and helpless,1
The villain has the brain of Einstein,The villain is a genius,The villain isn't very bright,0
The villain has the brain of a kindergartener,The villain is a genius,The villain isn't very bright,1
The runner has the speed of Usain Bolt,The runner is fast,The runner is slow,0
The runner has the speed of a turtle,The runner is fast,The runner is slow,1
The girl's taste was as rich as champagne,The girl had expensive taste.,The girl had cheap and tacky taste.,0
The girl's taste was as rich as beer,The girl had expensive taste.,The girl had cheap and tacky taste.,1
He's knows as much about science as an enclyclopedia.,He knows a lot about science.,He doesn't know much about science at all.,0
He's knows as much about science as a monkey.,He knows a lot about science.,He doesn't know much about science at all.,1
The dog is a wooly mammoth.,The dog is hairy.,The dog is bald.,0
The dog is a naked mole rat.,The dog is hairy.,The dog is bald.,1
The tree was a gnarled old man.,The tree was old.,The tree was young.,0
The tree was a spry young lad.,The tree was old.,The tree was young.,1
This argument is like a fly spiralling towards a light,the argument is pointless,the argument is meaningful,0
This argument is like looking into a crystal ball,the argument is pointless,the argument is meaningful,1
His torso has the appearance of a stalk of celery.,This torso is skinny.,His torso is obese.,0
His torso has the appearance of great mounds of dough.,This torso is skinny.,His torso is obese.,1
The song is reminiscent of a soft evening breeze.,The song is soothing.,The song is loud and irritating.,0
The song is reminiscent of the blaring of sirens.,The song is soothing.,The song is loud and irritating.,1
"Accepting candy from strangers is as safe as trusting a one-night stand who proclaims they ""tested clean.""",Accepting candy from strangers is dangerous,Accepting candy from strangers is perfectly safe,0
Accepting candy from strangers is as safe as enjoying your mom's freshly-baked cookies.,Accepting candy from strangers is dangerous,Accepting candy from strangers is perfectly safe,1
He's got the muscles of a gorilla.,He's very muscular.,He's not very muscular.,0
He's got the muscles of a skeleton.,He's very muscular.,He's not very muscular.,1
The falling comet was like a firework,The falling comet was over quickly,The falling comet lasted forever,0
The falling comet was like a streetlight,The falling comet was over quickly,The falling comet lasted forever,1
My backyard is like a vast forest,My backyard is overgrown and unkempt.,My backyard is small and confining.,0
My backyard is like a cubicle.,My backyard is overgrown and unkempt.,My backyard is small and confining.,1
Watching kids is as fun as setting yourself on fire,Watching kids is miserable,watching kids is really fun,0
Watching kids is as fun as going through a chocolate factory,Watching kids is miserable,watching kids is really fun,1
Studying math is akin to gouging your eyes out,Studying math can be a really hard subject to grasp and drains your mental energy,Studying math can be a really easy subject to understand,0
Studying math is akin to a walk in the park,Studying math can be a really hard subject to grasp and drains your mental energy,Studying math can be a really easy subject to understand,1
The plot was as intricate as a Set of kid's blocks,The plot was simple,The plot was complicated,0
The plot was as intricate as a The parts of a precision timepiece,The plot was simple,The plot was complicated,1
Her teeth are as shiny as tinsel,Her teeth are sparkling.,Her teeth aren't shiny at all.,0
Her teeth are as shiny as concrete,Her teeth are sparkling.,Her teeth aren't shiny at all.,1
That man has the honesty of a saint.,The man is very honest.,The man is not honest at all.,0
That man has the honesty of a crook.,The man is very honest.,The man is not honest at all.,1
He fought as hard as an attack dog,He fought hard,He didn't put up a fight at all,0
He fought as hard as an opossum,He fought hard,He didn't put up a fight at all,1
this cake tastes like dirt,this cake is very bad,this cake is very good,0
this cake tastes like heaven,this cake is very bad,this cake is very good,1
The chair was as comfortable as A bed of nails,The chair is uncomfortable,The chair is very comfortable,0
The chair was as comfortable as A cloud from heaven,The chair is uncomfortable,The chair is very comfortable,1
The movie's script had the depth of A Sesame Street episode,The script is shallow and simple,The script is deep and mysterious,0
The movie's script had the depth of Sir Arthur Conan Doyle's best novel,The script is shallow and simple,The script is deep and mysterious,1
Studying for a spelling test is a piece of cake,Studying for a spelling test is easy,Studying for a spelling test is hard,0
Studying for a spelling test is akin to fighting a zombie apocalypse with no weapons,Studying for a spelling test is easy,Studying for a spelling test is hard,1
The woman had as much romanticism as an icicle,The woman wasn't romantic at all.,The woman was highly romantic.,0
The woman had as much romanticism as Cupid,The woman wasn't romantic at all.,The woman was highly romantic.,1
His imagination is as small as a peanut,He is uncreative,He has a vivid imagination,0
His imagination is as broad as the sky,He is uncreative,He has a vivid imagination,1
The crowd was as alert as a gazelle on the Serengeti.,The crowd was on edge,The crowd was bored.,0
The crowd was as alert as a grandpa in a rocker.,The crowd was on edge,The crowd was bored.,1
The girl had the laughter of a teakettle's whistle.,The laughter is loud and annoying.,The laughter is haunting.,0
The girl had the laughter of a loon's warble,The laughter is loud and annoying.,The laughter is haunting.,1
Security is tight as a straight jacket,Security is tight.,Security is loose.,0
Security is tight as a loose fitting sweater.,Security is tight.,Security is loose.,1
The house had the appeal of seductive gentleman.,The house was inviting and beautiful to behold.,The house was disinviting and not particularly alluring.,0
The house had the appeal of a haunted house.,The house was inviting and beautiful to behold.,The house was disinviting and not particularly alluring.,1
My mood was like a whirlpool.,My mood was chaotic and turbulent; it was all over the place.,My mood was steady and calm.,0
My mood was like a peaceful mountain river.,My mood was chaotic and turbulent; it was all over the place.,My mood was steady and calm.,1
The cake slice was as soft as a wooden block,The cake slice was very tough.,The cake slice was soft and light.,0
The cake slice was as soft as a sponge,The cake slice was very tough.,The cake slice was soft and light.,1
The acne on the girl's face was as noticeable as Paris on a map of France,The acne on the girl's face was very prominent.,The acne on the girl's face was hidden.,0
The acne on the girl's face was as noticeable as an atom in the universe.,The acne on the girl's face was very prominent.,The acne on the girl's face was hidden.,1
The girl was as knowledgeable about other people's business as a Washington Post reporter,The girl knew everyone's business.,The girl never knew anyone's business.,0
The girl was as knowledgeable about other people's business as a shut-in,The girl knew everyone's business.,The girl never knew anyone's business.,1
This house has the spaciousness of Asia,This house is huge,This house is very small,0
This house has the spaciousness of a jail cell,This house is huge,This house is very small,1
My girlfriend has the smell of roses,My girlfriend smells nice,My girlfriend smells bad,0
My girlfriend has the smell of a garbage can,My girlfriend smells nice,My girlfriend smells bad,1
The girl's hair was as bright as a diamond,The girl's hair was shiny.,The girl's hair was dull.,0
The girl's hair was as bright as an overripe banana peel,The girl's hair was shiny.,The girl's hair was dull.,1
The girl ate as much as an Eagles quarterback,The girl ate everything.,The girl ate nothing.,0
The girl ate as much as a baby robin,The girl ate everything.,The girl ate nothing.,1
Last night was as dark as a black body,last night was pitch black,last night was bright,0
Last night was as dark as a midnight sun,last night was pitch black,last night was bright,1
