ending1,ending2,labels,startphrase,valid,Obj,Vis,Soc,Cul
Masa depane cah kuwi kaya cerah banget,Masa depane cah kuwi kaya peteng,1,Masa depane cah kuwi kaya malam,1,,,1,
Sikapmu ramah banget kaya srengenge,Sikapmu adem banget kaya es,0,Sikapmu kaya srengenge,1,1,,,
Sikapmu ramah banget kaya srengenge,Sikapmu adem banget kaya es,1,Sikapmu kaya es batu,1,1,,,
Adike Doni perawakane gede banget kaya gajah,Adike Doni perawakane cilik banget kaya semut,0,Adike Doni perawakane kaya gajah,1,1,,,
Adike Doni perawakane gede banget kaya gajah,Adike Doni perawakane cilik banget kaya semut,1,Adike Doni perawakane kaya semut,1,1,,,
"Yen didelok, Pak Guru iku sikape gampang berubah","Yen didelok, Pak Guru iku sikape teguh",0,"Yen didelok, Pak Guru iku sikape kaya banyu nang godhong talas",1,,,1,
"Yen didelok, Pak Guru iku sikape gampang berubah","Yen didelok, Pak Guru iku sikape teguh",1,"Yen didelok, Pak Guru iku sikape kaya watu",1,1,,,
Guyune manis kaya gula,Guyune pait kaya kopi,0,Guyune kaya gula jawa,1,1,,,
Guyune manis kaya gula,Guyune pait kaya kopi,1,Guyune kaya kopi,1,1,,,
Pasangan iku yen didelok kaya ora cocok,Pasangan iku yen didelok kaya cocok banget,0,Pasangan iku yen didelok kaya banyu lan minyak,1,1,,,
Pasangan iku yen didelok kaya ora cocok,Pasangan iku yen didelok kaya cocok banget,1,Pasangan iku yen didelok kaya alas lan udan,1,1,,,
Rambute alus lan lurus kaya kain sutra,Rambute bergelombang keriting kaya kain wol,0,Rambute kaya kain sutra,1,1,,,
Rambute alus lan lurus kaya kain sutra,Rambute bergelombang keriting kaya kain wol,1,Rambute kaya kain wol,1,1,,,
Urip iki senajan sedilut,Urip iki senajan suwe,0,Urip iki kaya mampir ngombe,1,,,1,
Urip iki senajan sedilut,Urip iki senajan suwe,1,Urip iki kaya mlaku adoh,1,,,1,
Bocah kuwi nemu omah cocok,Bocah kuwi nemu omah ora cocok,0,Bocah kuwi nemu omah umpama tumbu oleh tutup,1,,,1,
Bocah kuwi nemu omah cocok,Bocah kuwi nemu omah ora cocok,1,Bocah kuwi nemu omah umpama kuthuk marani sunduk,1,,,1,
Rasa ombenan alkohol kuwi legi banget,Rasa ombenan alkohol kuwi pait banget,0,Rasa ombenan alkohol kuwi umpama pait madu,1,1,,,
Rasa ombenan alkohol kuwi legi banget,Rasa ombenan alkohol kuwi pait banget,1,Rasa ombenan alkohol kuwi umpama legi racun,1,1,,,
Bocah kembar iku raine bedho,Bocah kembar iku raine padha,0,Bocah kembar iku raine kaya bhumi karo langit,1,,,,1
Bocah kembar iku raine bedho,Bocah kembar iku raine padha,1,Bocah kembar iku raine kaya pring diparuh,1,,,1,
Pancen dadi polisi kuwi angel,Pancen dadi polisi kuwi gampang,0,Pancen dadi polisi kuwi kaya cebol nggayuh lintang,1,,,1,
Pancen dadi polisi kuwi angel,Pancen dadi polisi kuwi gampang,1,Pancen dadi polisi kuwi kaya nemu mas ing omah dewe,1,,,1,
Dadi anak pak lurah uripe kepenak,Dadi anak pak lurah uripe sara,0,Dadi anak pak lurah uripe kaya kalungan mas,1,,,1,
Dadi anak pak lurah uripe kepenak,Dadi anak pak lurah uripe sara,1,Dadi anak pak lurah uripe kaya kalungan wesi,1,,,1,
Isuk iki Jogja hawane panas,Isuk iki Jogja hawane adem,0,Isuk iki Jogja hawane kaya banyu umup,1,1,,,
Isuk iki Jogja hawane panas,Isuk iki Jogja hawane adem,1,Isuk iki Jogja hawane kaya es ning gunung,1,1,,,
Bapak guru ngewenehi tugas dhadhakan,Bapak guru ngewenehi tugas mipil,0,Bapak guru ngewenehi tugas kaya arep nggawe candi,1,,,,1
Bapak guru ngewenehi tugas dhadhakan,Bapak guru ngewenehi tugas mipil,1,Bapak guru ngewenehi tugas kaya nandur pari,1,,,,1
Menungso kuwi umur e dawa,Menungso kuwi umur e cendhek,0,Menungso kuwi umur e umpama arca sewu tahun,1,1,,,
Menungso kuwi umur e dawa,Menungso kuwi umur e cendhek,1,Menungso kuwi umur e umpama capung sedina,1,1,,,
Mlayune atlet kuwi alon,Mlayune atlet kuwi banter,0,Mlayune atlet kuwi kaya keong mlayu,1,1,,,
Mlayune atlet kuwi alon,Mlayune atlet kuwi banter,1,Mlayune atlet kuwi kaya macan mlaku,1,1,,,
Adhiku pengen duwe omah sing gedhe,Adhiku pengen duwe omah sing cilik,0,Adhiku pengen duwe omah sing kaya alas wit sewu,1,,,1,
Adhiku pengen duwe omah sing gedhe,Adhiku pengen duwe omah sing cilik,1,Adhiku pengen duwe omah sing kaya pagupon dara,1,,,1,
Gani kesohor amarga swarane banter,Gani kesohor amarga swarane alon,0,Gani kesohor amarga swarane kaya pithik kluruk,1,1,,,
Gani kesohor amarga swarane banter,Gani kesohor amarga swarane alon,1,Gani kesohor amarga swarane kaya kucing turu,1,1,,,
Drijine Marni rupane lancip,Drijine Marni rupane ora lancip,0,Drijine Marni rupane kaya mucuk ri,1,1,,,
Drijine Marni rupane lancip,Drijine Marni rupane ora lancip,1,Drijine Marni rupane kaya mucuk pring,1,1,,,
"Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing angel kawujud","Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing gampang kawujud",0,"Jare Dinda, kalebu ing jurusan teknik kuwi kaya cecak nguntal boyo",1,,,,1
"Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing angel kawujud","Jare Dinda, kalebu ing jurusan teknik kuwi mimpi sing gampang kawujud",1,"Jare Dinda, kalebu ing jurusan teknik kuwi kaya ndulang mas ning tambak",1,,,1,
"Senajan sugih, Pak Tomo kerjane sregep","Senajan sugih, Pak Tomo kerjane males",0,"Senajan sugih, Pak Tomo kerjane kaya diuber utang",1,,,1,
"Senajan sugih, Pak Tomo kerjane sregep","Senajan sugih, Pak Tomo kerjane males",1,"Senajan sugih, Pak Tomo kerjane kaya duwe inten sekarung",1,,,1,
"Nek ketemu tonggo, bocah kuwi pancen kemaki","Nek ketemu tonggo, bocah kuwi pancen sumeh",0,"Nek ketemu tonggo, bocah kuwi pancen kaya ngemut inten",1,,,1,
"Nek ketemu tonggo, bocah kuwi pancen kemaki","Nek ketemu tonggo, bocah kuwi pancen sumeh",1,"Nek ketemu tonggo, bocah kuwi pancen kaya temu dulur",1,,,1,
Sinden iku pancen swarane apik,Sinden iku pancen swarane elek,0,Penyanyi iku pancen swarane kaya tembang sinom,1,,,,1
Sinden iku pancen swarane apik,Sinden iku pancen swarane elek,1,Penyanyi iku pancen swarane kaya kumbang nyinom,1,,,,1
Banyu ing Surabaya bening,Banyu ing Surabaya buthek,0,Banyu ing Surabaya umpama embun ning ndhuwur kaca,1,1,0,,
Banyu ing Surabaya bening,Banyu ing Surabaya buthek,1,Banyu ing Surabaya umpama embun kacampur awu,1,1,0,,
Hendra kuwi omongane ngapusi,Hendra kuwi omongane temenan,0,Hendra kuwi omongane kaya abang-abang lambe,1,,,,1
Hendra kuwi omongane ngapusi,Hendra kuwi omongane temenan,1,Hendra kuwi omongane kaya kacekel tangan sepisan,1,,,1,
Masakane Bu Mardi rasane enak,Masakane Bu Mardi rasane ora enak,0,Masakane Bu Mardi rasane kaya dhaharan sultan,1,,,,1
Masakane Bu Mardi rasane enak,Masakane Bu Mardi rasane ora enak,1,Masakane Bu Mardi rasane kaya panganan wong lara,1,,,,1
Saben dina toko kuwi rame,Saben dina toko kuwi sepi,0,Saben dina toko kuwi kaya gula dirubung semut,1,,,1,
Saben dina toko kuwi rame,Saben dina toko kuwi sepi,1,Saben dina toko kuwi kaya kuburan wayah bengi,1,,,1,
"Ning panggung, penari srimpi kae obahe anggun","Ning panggung, penari srimpi kae obahe kaku",0,"Ning panggung, penari srimpi kae obahe umpama kembang kesenggol angin",1,,1,,
"Ning panggung, penari srimpi kae obahe anggun","Ning panggung, penari srimpi kae obahe kaku",1,"Ning panggung, penari srimpi kae obahe umpama kayu mati",1,,1,,
"Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kandhel","Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise arang-arang",0,"Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kaya wulan tumuju tanggal sepisan",1,,1,,
"Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kandhel","Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise arang-arang",1,"Yen ana wong takon Yuli sing endi, omongana yen dekne sing alise kaya merang sawah",1,,1,,
Umar bali sekolah mlakune alon-alon,Umar bali sekolah mlakune kesusu,0,Umar bali sekolah mlakune kaya macan luwe,1,,1,,
Umar bali sekolah mlakune alon-alon,Umar bali sekolah mlakune kesusu,1,Umar bali sekolah mlakune kaya macan nguber kidang,1,,1,,
Lakune bocah kuwi ning keluargane kalem,Lakune bocah kuwi ning keluargane teges,0,Lakune bocah kuwi ning keluargane umpama kidang kencana ning tengah alas,1,,,1,
Lakune bocah kuwi ning keluargane kalem,Lakune bocah kuwi ning keluargane teges,1,Lakune bocah kuwi ning keluargane umpama buta kala ning alengka,1,,,1,
Mimpi dadi presiden pancen ora mungkin,Mimpi dadi presiden pancen mungkin,0,Mimpi dadi presiden pancen kaya Petruk arep dadi ratu,1,,,,1
Mimpi dadi presiden pancen ora mungkin,Mimpi dadi presiden pancen mungkin,1,Mimpi dadi presiden pancen kaya Semar mbangun kayangan,1,,,,1
Sinau sejarah ning sekolah marai bosen,Sinau sejarah ning sekolah marai seneng,0,Sinau sejarah ning sekolah umpama ngenteni babon ngendhok,1,,,1,
Sinau sejarah ning sekolah marai bosen,Sinau sejarah ning sekolah marai seneng,1,Sinau sejarah ning sekolah umpama dolanan ning pasar malem,1,,,1,
Kerja ning kantor pemerintah akeh tantangan,Kerja ning kantor pemerintah ora ono tantangan,0,Kerja ning kantor pemerintah kaya numpak gethek ning Kali Brantas,1,,,1,
Kerja ning kantor pemerintah akeh tantangan,Kerja ning kantor pemerintah ora ono tantangan,1,Kerja ning kantor pemerintah kaya numpak gethek ning Bengawan Solo,1,,,1,
Ning TV saiki akeh pejabat sing ora duwe wibawa,Ning TV saiki akeh pejabat sing duwe wibawa,0,Ning TV saiki akeh pejabat sing umpama duwe ajining godhong garing,1,,,1,
Ning TV saiki akeh pejabat sing ora duwe wibawa,Ning TV saiki akeh pejabat sing duwe wibawa,1,Ning TV saiki akeh pejabat sing umpama lelaku ratu adil,1,,,1,
"Nalika zaman semono, rega beras larang","Nalika zaman semono, rega beras murah",0,"Nalika zaman semono, rega beras kaya tuku emas kang disepuh",1,,,1,
"Nalika zaman semono, rega beras larang","Nalika zaman semono, rega beras murah",1,"Nalika zaman semono, rega beras kaya tuku kerikil",1,,,1,
"Sejatine, urip ning mancanegara sia-sia","Sejatine, urip ning mancanegara nguntungake",0,"Sejatine, urip ning mancanegara kaya mecahke kendhil isi banyu",1,,,1,
"Sejatine, urip ning mancanegara sia-sia","Sejatine, urip ning mancanegara nguntungake",1,"Sejatine, urip ning mancanegara kaya ngisi banyu ning kendhil",1,,,1,
Carita kae marai ati rasa duka,Carita kae marai ati rasa bungah,0,Carita kae marai ati rasa kaya dicacah gaman,1,,,1,
Carita kae marai ati rasa duka,Carita kae marai ati rasa bungah,1,Carita kae marai ati rasa kaya disiram banyu kembang,1,,,1,
Urip ning jobo kutha san saya tinemu apes,Urip ning jobo kutha san saya nyenengake,0,Urip ning jobo kutha san saya umpama udan watu geni,1,,,1,
Urip ning jobo kutha san saya tinemu apes,Urip ning jobo kutha san saya nyenengake,1,Urip ning jobo kutha san saya umpama udan banyu,1,,,1,
Mimpi sing mau bengi apik,Mimpi sing mau bengi elek,0,Mimpi sing mau bengi kaya kembang turu,1,,,1,
Mimpi sing mau bengi apik,Mimpi sing mau bengi elek,1,Mimpi sing mau bengi kaya diuber demit,1,,,1,1
Angin ning pantura pancen banter,Angin ning pantura pancen sumilir,0,Angin ning pantura pancen padha karo banteng playon,1,,,1,
Angin ning pantura pancen banter,Angin ning pantura pancen sumilir,1,Angin ning pantura pancen padha karo umbul-umbul keterak bayu,1,,,1,
"Ning kuthaku, wong kang mbangun pabrik akeh","Ning kuthaku, wong kang mbangun pabrik sitik",0,"Ning kuthaku, wong kang mbangun pabrik kaya jamur wayah udan",1,,,1,
"Ning kuthaku, wong kang mbangun pabrik akeh","Ning kuthaku, wong kang mbangun pabrik sitik",1,"Ning kuthaku, wong kang mbangun pabrik kaya ngitung driji tangan siji",1,,,1,
Ngelakoni kerja ning pabrik kuwi sia-sia,Ngelakoni kerja ning pabrik kuwi ngasilake,0,Ngelakoni kerja ning pabrik kuwi umpama nguyahi segara,1,,,1,
Ngelakoni kerja ning pabrik kuwi sia-sia,Ngelakoni kerja ning pabrik kuwi ngasilake,1,Ngelakoni kerja ning pabrik kuwi umpama nandur lombok ning tegalan,1,,,1,
Dadi anak bontot ning keluarga iki abot,Dadi anak bontot ning keluarga iki enteng,0,Dadi anak bontot ning keluarga iki padha kaya nggendong watu sak gunung,1,,,1,
Dadi anak bontot ning keluarga iki abot,Dadi anak bontot ning keluarga iki enteng,1,Dadi anak bontot ning keluarga iki padha kaya nggendong kapas sak genggem,1,,,1,
Ngelakoni urip dadi santri ana wae ceritane senajan nentremake,Ngelakoni urip dadi santri ana wae ceritane senajan gawe usrek,0,Ngelakoni urip dadi santri ana wae ceritane senajan umpama surya wayah sore,1,,,1,
Ngelakoni urip dadi santri ana wae ceritane senajan nentremake,Ngelakoni urip dadi santri ana wae ceritane senajan gawe usrek,1,Ngelakoni urip dadi santri ana wae ceritane senajan umpama kesasar ning alas roban,1,,,1,1
Bapake yen kerja sampe pol-polan,Bapake yen kerja sampe males-malesan,0,Bapake yen kerja sampe kaya adol tangan karo sikil,1,,,1,
Bapake yen kerja sampe pol-polan,Bapake yen kerja sampe males-malesan,1,Bapake yen kerja sampe kaya adol omongan,1,,,1,
Nuruti dhawuh e wong tuwa dadi ragu-ragu,Nuruti dhawuh e wong tuwa dadi kukuh,0,Nuruti dhawuhe wong tuwa dadi umpama nggenggem bara geni,1,,,1,
Nuruti dhawuh e wong tuwa dadi ragu-ragu,Nuruti dhawuh e wong tuwa dadi kukuh,1,Nuruti dhawuhe wong tuwa dadi umpama nggenggem tembaga wesi,1,,,1,
Tenangane wong kuwi kuat banget,Tenangane wong kuwi lemes banget,0,Tenangane wong kuwi kaya ngangkat kebo limo,1,,,1,
Tenangane wong kuwi kuat banget,Tenangane wong kuwi lemes banget,1,Tenangane wong kuwi kaya kambrukan wulu,1,,,1,
Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,0,Enteke dhuwit gajiku umpama ngetutke miline banyu,1,,,1,
Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,1,Enteke dhuwit gajiku umpama dipendhem nggo mangsa ketelu,1,,,1,
Urip ning perkampungan Jakarta guyub,Urip ning perkampungan Jakarta akeh gelut,0,Urip ning perkampungan Jakarta kaya tinemu sadulur tunggal getih,1,,,1,
Urip ning perkampungan Jakarta guyub,Urip ning perkampungan Jakarta akeh gelut,1,Urip ning perkampungan Jakarta kaya ngorbanake getih,1,,,1,
"Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe gedhe","Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe cilik",0,"Nek gawe pegawe kantor iki, keputusan mau isuk kaya gong tinabuh",1,,,1,
"Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe gedhe","Nek gawe pegawe kantor iki, keputusan mau isuk pengaruhe cilik",1,"Nek gawe pegawe kantor iki, keputusan mau isuk kaya nabuh kenong",1,,,1,
Keputusan sing digawe Bu Dwi wis teguh,Keputusan sing digawe Bu Dwi wis ora teguh,0,Keputusan sing digawe Bu Dwi wis kaya kayu jati ngadeg-jejeg,1,,,1,
Keputusan sing digawe Bu Dwi wis teguh,Keputusan sing digawe Bu Dwi wis ora teguh,1,Keputusan sing digawe Bu Dwi wis kaya wedi ning pinggir segara,1,,,1,
Lia lan adhine rukun,Lia lan adhine musuhan,0,Lia lan adhine kaya kopi dibanjur susu,1,,1,,
Lia lan adhine rukun,Lia lan adhine musuhan,1,Lia lan adhine kaya lenga karo banyu,1,1,,,
Didikan keluargane disiplin,Didikan keluargane sekarepe dewe,0,Didikan keluargane umpama prajurit Jepang arep tempur,1,,,1,
Didikan keluargane disiplin,Didikan keluargane sekarepe dewe,1,Didikan keluargane umpama cul-culane kuthuk,1,,,1,
Bener jare wong kene yen Bu Lurah tumindake nglarani ati,Bener jare wong kene yen Bu Lurah tumindake nyenengke ati,0,Bener jare wong kene yen Bu Lurah tumindake kaya pucuk kertas nyeset driji,1,,,1,
Bener jare wong kene yen Bu Lurah tumindake nglarani ati,Bener jare wong kene yen Bu Lurah tumindake nyenengke ati,1,Bener jare wong kene yen Bu Lurah tumindake kaya nyiram madu,1,,,1,
Doni karo Yanti pancen cocok sesandhingan,Doni karo Yanti pancen ora cocok sesandhingan,0,Doni karo Yanti pancen kaya Rama Sinta ing pewayangan,1,,,,1
Doni karo Yanti pancen cocok sesandhingan,Doni karo Yanti pancen ora cocok sesandhingan,1,Doni karo Yanti pancen kaya Rahwana Sinta ing pewayangan,1,,,,1
Nyawang esemmu rasane adem,Nyawang esemmu rasane panas,0,Nyawang esemmu rasane kaya angin semilir,1,,,1,
Nyawang esemmu rasane adem,Nyawang esemmu rasane panas,1,Nyawang esemmu rasane kaya panase neraka,1,,,1,
Sepur iku suarane mbrebegi,Sepur iku suarane sepi,0,Sepur iku suarane kaya manuk pentet,1,1,,,
Sepur iku suarane mbrebegi,Sepur iku suarane sepi,1,Sepur iku suarane kaya manuk dares,1,1,,,
Awakmu iku atos,Awakmu iku empuk,0,Awakmu iku kaya wesi,1,1,,,
Awakmu iku atos,Awakmu iku empuk,1,Awakmu iku kaya kapuk,1,1,,,
Kucing kuwi obahe cepet,Kucing kuwi obahe alon,0,Kucing kuwi obah kaya sepur,1,1,,,
Kucing kuwi obahe cepet,Kucing kuwi obahe alon,1,Kucing kuwi obah kaya becak,1,1,,,
Sinden dangdut suarane merdu,Sinden dangdut suarane elek,0,Sinden dangdut suarane kaya manuk kutilang,1,,,,1
Sinden dangdut suarane merdu,Sinden dangdut suarane elek,1,Sinden dangdut suarane kaya bebek,1,,,1,
Kelekmu mambu bosok,Kelekmu mambu wangi,0,Kelekmu mambu kaya telek pithik,1,1,,,
Kelekmu mambu bosok,Kelekmu mambu wangi,1,Kelekmu mambu kaya kembang melati,1,1,,,
Manuk dara mabure cepet,Manuk dara mabure alon,0,Manuk dara mabur kaya montor mabur,1,1,,,
Manuk dara mabure cepet,Manuk dara mabure alon,1,Manuk dara mabur kaya keong,1,1,,,
Ngenteni awakmu rasane suwi,Ngenteni awakmu rasane cepet,0,Ngenteni awakmu teka rasane kaya sewu tahun,1,,,1,
Ngenteni awakmu rasane suwi,Ngenteni awakmu rasane cepet,1,Ngenteni awakmu teka rasane kaya limang detik,1,,,1,
Gawe kowe percaya iku gampang,Gawe kowe percaya iku angel,0,Gawe kowe percaya iku kaya malik dlamaan tangan,1,,,1,
Gawe kowe percaya iku gampang,Gawe kowe percaya iku angel,1,Gawe kowe percaya iku kaya munggah gunung lawu,1,,,1,
Sega ing warung iku rasane atos,Sega ing warung iku rasane pulen,0,Sega warung iku rasane kaya mangan watu,1,1,,,
Sega ing warung iku rasane atos,Sega ing warung iku rasane pulen,1,Sega warung iku rasane kaya mangan bubur,1,1,,,
Berita iku ditampa hal sing angel,Berita iku ditampa hal sing gampang,0,Berita iku ditampa kaya ngeleg obat,1,,,1,
Berita iku ditampa hal sing angel,Berita iku ditampa hal sing gampang,1,Berita iku ditampa kaya ngeleg idu,1,,,1,
Wong iku leh mlaku cepet banget,Wong iku leh mlaku alon banget,0,Wong iku leh mlaku kaya numpak montor mabur,1,1,,,
Wong iku leh mlaku cepet banget,Wong iku leh mlaku alon banget,1,Wong iku leh mlaku kaya numpak keong,1,1,,,
Rupane wingi peteng,Rupane wingi ceta,0,Rupane wingi kaya peteng wayah bengi,1,,1,,
Rupane wingi peteng,Rupane wingi ceta,1,Rupane wingi kaya srengenge tengah hari,1,,1,,
Omongane bu guru landhep,Omongane bu guru alus,0,Omongane bu guru kaya landhep pedang,1,1,,,
Omongane bu guru landhep,Omongane bu guru alus,1,Omongane bu guru kaya kethul karet,1,1,,,
Wayah esuk hawane adem,Wayah esuk hawane panas,0,Wayah esuk hawane kaya es,1,1,,,
Wayah esuk hawane adem,Wayah esuk hawane panas,1,Wayah esuk hawane kaya geni,1,1,,,
Banjir sasi wingi duwur banget,Banjir sasi wingi cekak banget,0,Banjir sasi wingi duwure kaya tugu monas,1,1,,,
Banjir sasi wingi duwur banget,Banjir sasi wingi cekak banget,1,Banjir sasi wingi duwure kaya tungkak,1,1,,,
Omongane iso marai ribut,Omongane iso marai ayem,0,Omongane isa kaya korek gas,1,1,,,
Omongane iso marai ribut,Omongane iso marai ayem,1,Omongane isa kaya banyu adem,1,1,,,
Tembok omah iku dicet werna peteng,Tembok omah iku dicet werna terang,0,Temok omah iku dicet werna areng,1,,1,,
Tembok omah iku dicet werna peteng,Tembok omah iku dicet werna terang,1,Temok omah iku dicet werna pupur,1,,1,,
Bantal iki rasane alus,Bantal iki rasane athos,0,Bantal iki rasane kaya kapuk,1,1,,,
Bantal iki rasane alus,Bantal iki rasane athos,1,Bantal iki rasane kaya watu,1,1,,,
Apel iku rasane asem,Apel iku rasane legi,0,Apel iku rasane kaya asem,1,1,,,
Apel iku rasane asem,Apel iku rasane legi,1,Apel iku rasane kaya tebu,1,1,,,
Mangsa ngarep wong iku kebak pangarep,Mangsa ngarep wong iku kebak kuciwo,0,Mangsa ngarep wong iku ibarat padhang esuk,1,,,1,
Mangsa ngarep wong iku kebak pangarep,Mangsa ngarep wong iku kebak kuciwo,1,Mangsa ngarep wong iku ibarat mangsa surup,1,,,1,
Mripatku yen yah mene dinggo ndelok kaya cetha,Mripatku yen yah mene dinggo ndelok kaya kabur,0,Mripatku yen yah mene dinggo ndelok kaya bening kaca,1,,1,,
Mripatku yen yah mene dinggo ndelok kaya cetha,Mripatku yen yah mene dinggo ndelok kaya kabur,1,Mripatku yen yah mene dinggo ndelok kaya buthek banyu,1,,1,,
Werna wulu kucing iku ireng,Werna wulu kucing iku putih,0,Werno wulu kucing iku kaya areng,1,,1,,
Werna wulu kucing iku ireng,Werna wulu kucing iku putih,1,Werno wulu kucing iku kaya salju,1,,1,,
Cah loro iku keletan,Cah loro iku pisahan,0,Cah loro iku kelet kaya tluth,1,,,1,
Cah loro iku keletan,Cah loro iku pisahan,1,Cah loro iku pisahan kaya padu,1,,,1,
Fahmi mangan sega kaya wong keluwen,Fahmi mangan sega kaya wong kewaregen,0,Fahmi mangan sega kaya ora mangan limang dina,1,,,1,
Fahmi mangan sega kaya wong keluwen,Fahmi mangan sega kaya wong kewaregen,1,Fahmi mangan sega kaya kewaregen bubar prasmanan,1,,,1,
Keluargaku saben dina mangan apa anane,Keluargaku saben dina mangan apa wae ana,0,Keluargaku saben dina mangan telo,1,,,1,
Keluargaku saben dina mangan apa anane,Keluargaku saben dina mangan apa wae ana,1,Keluargaku saben dina mangan iwak,1,,,1,
Raihan mambune wangi,Raihan mambune bosok,0,Raihan mambune kaya kembang,1,1,,,
Raihan mambune wangi,Raihan mambune bosok,1,Raihan mambune kaya mayit,1,1,,,
Omahe Jokowi amba banget,Omahe Jokowi sempit banget,0,Omahe Jokowi ambane kaya laut kidul,1,,,,1
Omahe Jokowi amba banget,Omahe Jokowi sempit banget,1,Omahe Jokowi ambane kaya gang tikus,1,1,,,
Kowe takdongakne dawa umure,Kowe takdongakne cekak umure,0,Kowe takdongakne kaya penyu laut,1,1,,,
Kowe takdongakne dawa umure,Kowe takdongakne cekak umure,1,Kowe takdongakne kaya jengklong,1,1,,,
Ambune awakmu prengus,Ambune awakmu wangi,0,Ambune awakmu wes kaya wedhus,1,1,,,
Ambune awakmu prengus,Ambune awakmu wangi,1,Ambune awakmu wes kaya kembang melati,1,1,,,
Tresnaku marang sliramu iku gede,Tresnaku marang sliramu iku cilik,0,Tresnaku marang sliramu iku kaya gajah,1,1,,,
Tresnaku marang sliramu iku gede,Tresnaku marang sliramu iku cilik,1,Tresnaku marang sliramu iku kaya semut,1,1,,,
Banyu omah iki rasane adem,Banyu omah iki rasane anget,0,Banyu omah iki rasane kaya banyu es,1,1,,,
Banyu omah iki rasane adem,Banyu omah iki rasane anget,1,Banyu omah iki rasane kaya wedhang ronde,1,1,,,
Nyawang esemme mantan rasane legi,Nyawang esemme mantan rasane pait,0,Nyawang esemme mantan rasane kaya tebu,1,1,,,
Nyawang esemme mantan rasane legi,Nyawang esemme mantan rasane pait,1,Nyawang esemme mantan rasane kaya godhong kates,1,1,,,
Omah iku kaya mewah,Omah iku kaya murah,0,Omah iku kaya digawe saka emas,1,1,,,
Omah iku kaya mewah,Omah iku kaya murah,1,Omah iku kaya digawe saka kayu,1,1,,,
Montor iku kuat,Montor iku ringkih,0,Montor iku digawe seka wesi,1,1,,,
Montor iku kuat,Montor iku ringkih,1,Montor iku digawe seka kayu,1,1,,,
Rasane panganan iki gurih,Rasane panganan iki raono rasane,0,Rasane panganan iki kaya iwak pithik,1,1,,,
Rasane panganan iki gurih,Rasane panganan iki raono rasane,1,Rasane panganan iki kaya tempe godhog,1,1,,,
Tresnaku marang awakmu amba,Tresnaku marang awakmu sempit,0,Tresnaku marang awakmu seamba laut biru,1,,,1,
Tresnaku marang awakmu amba,Tresnaku marang awakmu sempit,1,Tresnaku marang awakmu sesempit bolongan dom,1,,,1,
Ngenteni Surya adus iku suwi,Ngenteni Surya adus iku cepet,0,Ngenteni Surya adus iku kaya satus tahun,1,,,1,
Ngenteni Surya adus iku suwi,Ngenteni Surya adus iku cepet,1,Ngenteni Surya adus iku kaya limang menit,1,,,1,
Febri jajan kaya wong sugih,Febri jajan kaya wong kere,0,Febri jajan kaya tanggal nom,1,,,1,
Febri jajan kaya wong sugih,Febri jajan kaya wong kere,1,Febri jajan kaya tanggal tuwa,1,,,1,
Jaka urip ing panggonan kang cukup,Jaka urip ing panggonan kan kurang,0,Jaka urip ing omah tembok,1,1,,,
Jaka urip ing panggonan kang cukup,Jaka urip ing panggonan kan kurang,1,Jaka urip ing omah kardus,1,1,,,
Adi rewel merga keluwen,Adi rewel merga kewaregen,0,Adi rewel merga wetenge muni,1,,,1,
Adi rewel merga keluwen,Adi rewel merga kewaregen,1,Adi rewel merga wetenge wareg,1,,,1,
Gambar iku apik banget,Gambar iku elek banget,0,Gambar iku kaya langit kebak bintang,1,,1,,
Gambar iku apik banget,Gambar iku elek banget,1,Gambar iku kaya langit kemeluk,1,,1,,
Wong kaya kowe iku ono akeh,Wong kaya kowe iku langka,0,Wong kaya kowe iku kaya pasir pantai,1,,,1,
Wong kaya kowe iku ono akeh,Wong kaya kowe iku langka,1,Wong kaya kowe iku kaya watu akik,1,,,1,
Polisi iku sifate kasar,Polisi iku sifate alus,0,Polisi iku sifate kaya asu galak,1,,,1,
Polisi iku sifate kasar,Polisi iku sifate alus,1,Polisi iku sifate kaya anak kucing,1,,,1,
Raimu taksawang-sawang ayu,Raimu taksawang-sawang medeni,0,Raimu tak sawang-sawang kaya Luna Maya,1,,,,1
Raimu taksawang-sawang ayu,Raimu taksawang-sawang medeni,1,Raimu tak sawang-sawang kaya Mak Lampir,1,,,,1
Bapak tuku kacang kaya duite akeh,Bapak tuku kacang kaya duite sithik,0,Bapak tuku kacang kaya dompete kandel,1,,,1,
Bapak tuku kacang kaya duite akeh,Bapak tuku kacang kaya duite sithik,1,Bapak tuku kacang kaya dompete tipis,1,,,1,
