ending1	ending2	labels	startphrase	valid	Obj	Vis	Soc	Cul
Youtuber itu makan nasi padang dengan porsi sedikit.	Youtuber itu makan nasi padang dengan porsi sangat banyak.	1	Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet.	1			1	
Bulu harimau itu sangat indah.	Bulu harimau itu sangat buruk.	0	Harimau itu memiliki bulu bagai lukisan abstrak yang estetik.	1		1		
Bulu harimau itu sangat indah.	Bulu harimau itu sangat buruk.	1	Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar.	1		1		
Resesi 2023 menyeramkan.	Resesi 2023 sepele.	0	Resesi 2023 seperti petani yang mengalami gagal panen.	1			1	
Resesi 2023 menyeramkan.	Resesi 2023 sepele.	1	Resesi 2023 seperti anak SD yang kehilangan sebiji permen.	1			1	
Nyanyian Geisha memukau bagi penonton.	Nyanyian Geisha menjijikkan bagi penonton.	0	Ketika Geisha menyanyi, dia seolah membius semua penonton.	1			1	
Nyanyian Geisha memukau bagi penonton.	Nyanyian Geisha menjijikkan bagi penonton.	1	Ketika Geisha menyanyi, dia seolah menghantui semua penonton.	1			1	
Banyak destinasi wisata di Indonesia yang masih alami.	Banyak destinasi wisata di Indonesia yang sudah terekspos.	0	Indonesia memiliki banyak destinasi wisata yang masih perawan.	0			1	
Banyak destinasi wisata di Indonesia yang masih alami.	Banyak destinasi wisata di Indonesia yang sudah terekspos.	1	Indonesia memiliki banyak destinasi wisata yang sudah terjamah.	0			1	
Rambutnya bergelombang indah.	Rambutnya kaku takterawat.	0	Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari.	1		1		
Rambutnya bergelombang indah.	Rambutnya kaku takterawat.	1	Rambutnya bagai sapu ijuk.	1	1			
Bagi Nouval, harta adalah sumber kebahagiaan.	Bagi Nouval, harta adalah sumber kesengsaraan.	0	Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. .	1			1	
Bagi Nouval, harta adalah sumber kebahagiaan.	Bagi Nouval, harta adalah sumber kesengsaraan.	1	Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. .	1			1	
Anak laki-laki dalam adat Jawa dinilai sangat berharga.	Anak laki-laki dalam adat Jawa dinilai tidak berharga.	0	Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja.	1	1			
Anak laki-laki dalam adat Jawa dinilai sangat berharga.	Anak laki-laki dalam adat Jawa dinilai tidak berharga.	1	Anak laki-laki dalam adat Jawa adalah beban keluarga.	1			1	
Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.	Peran perempuan dalam adat Jawa sangat berpengaruh.	0	Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih.	1		1		
Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.	Peran perempuan dalam adat Jawa sangat berpengaruh.	1	Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih.	1		1		
Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.	Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.	0	Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia.	1			1	
Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.	Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.	1	Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia.	1			1	
Belajar matematika itu menakutkan.	Belajar matematika itu menyenangkan.	0	Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun.	1			1	
Belajar matematika itu menakutkan.	Belajar matematika itu menyenangkan.	1	Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung.	1			1	
Minum kopi saat senja itu rasanya melegakan.	Minum kopi saat senja itu rasanya membawa penyesalan.	0	Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama.	1			1	1
Minum kopi saat senja itu rasanya melegakan.	Minum kopi saat senja itu rasanya membawa penyesalan.	1	Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga.	1			1	1
Sepak bola adalah hal yang serius bagi masyarakat Indonesia.	Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.	0	Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian.	1			1	
Sepak bola adalah hal yang serius bagi masyarakat Indonesia.	Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.	1	Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja.	1			1	
Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.	Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.	0	Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah.	1	1			
Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.	Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.	1	Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang.	1	1			
Menuntut ilmu itu adalah hal yang melelahkan.	Menuntut ilmu itu adalah menyenangkan.	0	Menuntut ilmu itu ibarat pendakian panjang yang melelahkan.	1			1	
Menuntut ilmu itu adalah hal yang melelahkan.	Menuntut ilmu itu adalah menyenangkan.	1	Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari.	1			1	
Pegunungan berjajar dengan rapi.	Pegunungan berjajar dengan semrawut.	0	Pegunungan berjajar seperti pasukan paskibraka.	1				1
Pegunungan berjajar dengan rapi.	Pegunungan berjajar dengan semrawut.	1	Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta.	1			1	
Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.	Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.	0	Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan.	1	1			
Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.	Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.	1	Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara.	1	1			
Warna baju lebaran keluargaku di tahun ini adalah hijau muda.	Warna baju lebaran keluargaku di tahun ini adalah hijau tua.	0	Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek.	1		1		
Warna baju lebaran keluargaku di tahun ini adalah hijau muda.	Warna baju lebaran keluargaku di tahun ini adalah hijau tua.	1	Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab.	1		1		
Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.	Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.	0	Kata-katanya saat mewawancarai narasumber seperti silet.	1	1			
Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.	Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.	1	Kata-katanya saat mewawancarai narasumber seperti gunting kuku.	1	1			
Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.	Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.	0	Kepercayaan itu ibarat gelas kaca.	1	1			
Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.	Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.	1	Kepercayaan itu ibarat gelas plastik.	1	1			
Orang tua adalah yang membimbing anak-anaknya pada kebaikan.	Orang tua adalah yang membimbing anak-anaknya pada keburukan.	0	Orang tua adalah malaikat untuk anak-anaknya.	1				1
Orang tua adalah yang membimbing anak-anaknya pada kebaikan.	Orang tua adalah yang membimbing anak-anaknya pada keburukan.	1	Orang tua adalah iblis untuk anak-anaknya.	1				1
Minum es cendol dawet di siang hari itu sangat menyegarkan.	Minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.	0	Siang hari minum es cendol dawet ibarat meneguk air dari sumber mata air di pegunungan.	1	1			
Minum es cendol dawet di siang hari itu sangat menyegarkan.	Minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.	1	Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci.	1	1			
Di kampung saya, permainan bulu tangkis itu adalah untuk gengsi.	Di kampung saya, permainan bulu tangkis itu adalah untuk fungsi.	0	Di kampung saya, main bulu tangkis itu adalah penentu status sosial seseorang di masyarakat.	1			1	
Di kampung saya, permainan bulu tangkis itu adalah untuk gengsi.	Di kampung saya, permainan bulu tangkis itu adalah untuk fungsi.	1	Di kampung saya, main bulu tangkis itu adalah untuk melepas penat dan memyehatkan badan.	1			1	
Mencuci dengan detergen A membuat mencuci terasa ringan.	Mencuci dengan detergen A membuat mencuci terasa berat.	0	Mencuci dengan detergen A seperti mengusap debu tipis di kaca jendela.	1			1	
Mencuci dengan detergen A membuat mencuci terasa ringan.	Mencuci dengan detergen A membuat mencuci terasa berat.	1	Mencuci dengan detergen A seperti menggosok ubin berlumut yang sudah puluhan tahun tidak dibersihkan.	1			1	
Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.	Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.	0	Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai kelelawar yang bermata tajam.	1	1			
Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.	Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.	1	Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai si buta dari gua hantu.	1				1
Candi Borobudur jika dilihat dari atas berbentuk seperti kubah.	Candi Borobudur jika dilihat dari atas berbentuk seperti kerucut.	0	Candi Borobudur jika dilihat dari atas bagaikan mangkuk yang terbalik.	1	1			
Candi Borobudur jika dilihat dari atas berbentuk seperti kubah.	Candi Borobudur jika dilihat dari atas berbentuk seperti kerucut.	1	Candi Borobudur jika dilihat dari atas bagaikan langseng yang terbalik.	1	1			
Diskusi hari ini berat.	Diskusi hari ini santai.	0	Diskusi hari ini menguras pikiran.	1	1			
Diskusi hari ini berat.	Diskusi hari ini santai.	1	Diskusi hari ini menenangkan pikiran.	1	1			
Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas macet.	Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas lancar.	0	Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang tersumbat.	1	1			
Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas macet.	Perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas lancar.	1	Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang mengalir deras.	1	1			
Malam ini cuaca begitu dingin.	Malam ini cuaca begitu panas.	0	Malam ini cuacanya bagaikan merasuk melalui pori-pori hingga menusuk tulang.	1	1			
Malam ini cuaca begitu dingin.	Malam ini cuaca begitu panas.	1	Malam ini cuacanya bagaikan berdiam di dalam kelas sekolah negeri yang minim ventilasi dan fasilitas seperti kipas angin.	1	1			
Skrisi bagi sebagian mahasiswa adalah hal menakutkan yang dihindari.	Skrisi bagi sebagian mahasiswa adalah sesuatu yang harus dihadapi agar bisa melanjutkan hidup ke level yang lebih tinggi.	0	Skripsi bagi sebagian besar mahasiswa adalah kuntilanak yang membuat mereka kabur menjauhinya.	1			1	1
Skrisi bagi sebagian mahasiswa adalah hal menakutkan yang dihindari.	Skrisi bagi sebagian mahasiswa adalah sesuatu yang harus dihadapi agar bisa melanjutkan hidup ke level yang lebih tinggi.	1	Skripsi bagi sebagian besar mahasiswa adalah anak tangga yang harus dilalui untuk naik ke anak tangga selanjutnya.	1	1			
Sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.	Sopan santun itu boleh diabaikan bagi orang Jawa.	0	Sopan santun itu ibarat baju bagi orang Jawa. .	1	1			
Sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.	Sopan santun itu boleh diabaikan bagi orang Jawa.	1	Sopan santun itu ibarat keset bagi orang Jawa. .	1	1			
Bekerjalah dengan keras.	Bekerjalah dengan biasa-biasa saja.	0	Bekerjalah seakan resesi 2023 akan benar-benar terjadi.	1			1	
Bekerjalah dengan keras.	Bekerjalah dengan biasa-biasa saja.	1	Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu.	1			1	
Setelah acara aqiqah, kepala keponakanku jadi plontos.	Setelah acara aqiqah, kepala keponakanku jadi jabrik.	0	Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti lampu taman yang bulat dan licin.	1	1			
Setelah acara aqiqah, kepala keponakanku jadi plontos.	Setelah acara aqiqah, kepala keponakanku jadi jabrik.	1	Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti buah rambutan yang masih muda.	1	1			
Daniar anak orang kaya. Tingkahnya sombong.	Daniar anak orang kaya. Tingkahnya sederhana.	0	Daniar itu anak orang kaya. Ia bertingkah seolah Roro Jonggrang yang keinginannya harus dipenuhi dalam satu malam.	1				1
Daniar anak orang kaya. Tingkahnya sombong.	Daniar anak orang kaya. Tingkahnya sederhana.	1	Daniar itu anak orang kaya. Ia bertingkah seolah Puteri Kadita yang melepaskan kemewahan dan memilih bertapa di laut selatan Jawa.	1				1
Suwito adalah orang yang bermartabat.	Suwito adalah orang yang urakan.	0	Suwito bagaikan emas di kubangan air got.	0	1			
Suwito adalah orang yang bermartabat.	Suwito adalah orang yang urakan.	1	Suwito bagaikan sampah di tumpukan berlian.	0	1			
Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah cantik.	Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah menyeramkan.	0	Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan purnama tanggal 15 yang bulat, penuh, dan bercahaya. .	1	1	1		
Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah cantik.	Paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah menyeramkan.	1	Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan awan gelap yang mengungkung angkasa, memerangkap cahaya bintang dan bulan. .	1	1	1		
Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat ketagihan.	Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat kapok.	0	Makanan khas Sunda, yaitu seblak kian naik daun karena rasanya yang ibarat pedas-pedas cabai.	1	1			
Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat ketagihan.	Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat kapok.	1	Makanan khas Sunda, yaitu seblak kian naik daun karena rasanya yang ibarat pahit-pahit sambilata.	1	1			
Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang jahat.	Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang baik hati.	0	Tokoh Rahwana dalam Hikayat Rama Sinta adalah keangkaramurkaan yang membawa kesengsaraan dan perpisahan bagi banyak orang.	1			1	
Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang jahat.	Tokoh Rahwana dari Hikayat Rama Sinta adalah tokoh yang baik hati.	1	Tokoh Rahwana dalam Hikayat Rama Sinta adalah anugerah abadi yang muncul untuk menghibur hati yang lara.	1			1	
Kebakaran hutan kemarin sore terjadi dengan sangat berkobar-kobar.	Kebakaran hutan kemarin sore terjadi dengan sangat redup.	0	Kebakaran hutan kemarin sore bagai amukan Banaspati yang mengibaskan lidah panjangnya ke segala penjuru.	1				1
Kebakaran hutan kemarin sore terjadi dengan sangat berkobar-kobar.	Kebakaran hutan kemarin sore terjadi dengan sangat redup.	1	Kebakaran hutan kemarin sore bagai nyala lampu minyak yang sumbunya hampir habis terbakar.	1	1			
Ia sabar dan ikhlas menghadapi hujatan yang penuh penghinaan.	Ia sabar dan ikhlas menghadapi hujatan yang penuh hikmah.	0	Hujatan demi hujatan yang bagaikan lemparan air comberan busuk di wajahnya ia lalui dengan sabar dan ikhlas.	1	1			
Ia sabar dan ikhlas menghadapi hujatan yang penuh penghinaan.	Ia sabar dan ikhlas menghadapi hujatan yang penuh hikmah.	1	Hujatan demi hujatan yang bagaikan tetesan embun pagi di wajahnya ia lalui dengan sabar dan ikhlas.	1	1			
Bagi orang zaman dahulu, bersekolah itu penuh perjuangan.	Bagi orang zaman dahulu, bersekolah itu bersantai-santai saja.	0	Bagi orang zaman dahulu, bersekolah itu ibarat walau harus dilakukan sambil berjalanan merangkak, selama mata masih membuka, mereka akan tetap berusaha untuk berangkat.	1			1	
Bagi orang zaman dahulu, bersekolah itu penuh perjuangan.	Bagi orang zaman dahulu, bersekolah itu bersantai-santai saja.	1	Bagi orang zaman dahulu, bersekolah itu ibarat juragan kontrakan 20 pintu yang tinggal ongkang-ongkang kaki menunggu uang sewa.	1			1	
Program Bantuan Langsung Tunai dari pemerintah ini dianggap percuma.	Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna.	0	Program pemerintah Bantuan Langsung Tunai itu ibarat memberi ikan kepada rakyat.	1			1	
Program Bantuan Langsung Tunai dari pemerintah ini dianggap percuma.	Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna.	1	Program pemerintah Bantuan Langsung Tunai itu ibarat memberi kail kepada rakyat.	1			1	
Perpisahan adalah hal yang menyakitkan.	Perpisahan adalah hal yang menyenangkan.	0	Perpisahan adalah luka dalam yang terus membekas dalam ingatan.	1			1	
Perpisahan adalah hal yang menyakitkan.	Perpisahan adalah hal yang menyenangkan.	1	Perpisahan adalah tegukan air dingin di siang hari yang kerontang.	1			1	
Rezeki setelah menikah itu melimpah.	Rezeki setelah menikah itu berkekurangan.	0	Rezeki setelah menikah itu bagaikan hujan deras yang jatuh ke bumi dan mengalir sampai jauh ke sungai-sungai.	1	1			
Rezeki setelah menikah itu melimpah.	Rezeki setelah menikah itu berkekurangan.	1	Rezeki setelah menikah itu bagaikan musim paceklik dan kemarau yang melanda desa.	1	1			
Pandemi Covid-19 membuat gaya hidup masyarakat kekurangan.	Pandemi Covid-19 membuat gaya hidup masyarakat stabil.	0	Pandemi Covid-19 membuat gaya hidup masyarakat bagai besar pasak daripada tiang.	1	1			
Pandemi Covid-19 membuat gaya hidup masyarakat kekurangan.	Pandemi Covid-19 membuat gaya hidup masyarakat stabil.	1	Pandemi Covid-19 membuat gaya hidup masyarakat bagai timbangan yang bergerak sejajar.	1	1			
Kriteria tulisan untuk bisa diterima koran nasional itu sangat sulit.	Kriteria tulisan untuk bisa diterima koran nasional itu sangat mudah.	0	Kriteria tulisan yang diterima di koran nasional itu bagaikan menemukan huruf N di bungkus permen Yosan.	1				1
Kriteria tulisan untuk bisa diterima koran nasional itu sangat sulit.	Kriteria tulisan untuk bisa diterima koran nasional itu sangat mudah.	1	Kriteria tulisan yang diterima di koran nasional itu bagaikan menemukan air di lautan.	1			1	
Perempuan menjawab dengan presisi ketika ditanya "mau makan apa" itu sangatlah mustahil.	Perempuan menjawab dengan presisi ketika ditanya "mau makan apa" itu sangatlah mungkin.	0	Perempuan menjawab dengan presisi ketika ditanya "mau makan apa" itu bagaikan menunggu hujan emas.	1	1			
Perempuan menjawab dengan presisi ketika ditanya "mau makan apa" itu sangatlah mustahil.	Perempuan menjawab dengan presisi ketika ditanya "mau makan apa" itu sangatlah mungkin.	1	Perempuan menjawab dengan presisi ketika ditanya "mau makan apa" itu bagaikan menunggu hujan saat langit sedang mendung.	1	1			
Melahirkan itu sangat sakit.	Melahirkan itu biasa saja.	0	Melahirkan itu ibarat tulang belulang di dalam tubuh dipatahkan secara bersamaan.	1			1	
Melahirkan itu sangat sakit.	Melahirkan itu biasa saja.	1	Melahirkan itu ibarat bersin sampai keluar ingus.	1			1	
Cita-cita itu harus dirawat.	Cita-cita itu dibiarkan begitu saja.	0	Cita-cita itu bagaikan benang yang harus dipintal untuk menjadikannya sebagai lembaran-lembaran kain.	1	1			
Cita-cita itu harus dirawat.	Cita-cita itu dibiarkan begitu saja.	1	Cita-cita itu bagaikan asap yang dibiarkan hilang dengan sendirinya.	1	1			
Keluarga itu memberikan kenyamanan.	Keluarga itu memberikan kerunyaman.	0	Keluarga adalah rumah tempat kita kembali saat lelah selepas bekerja, penat selepas belajar di sekolah, lelah setelah bermain di luar, dan berlindung saat sedang tertimpa musibah.	1			1	
Keluarga itu memberikan kenyamanan.	Keluarga itu memberikan kerunyaman.	1	Keluarga adalah neraka yang tidak ingin ditinggali sedetik pun.	1			1	
Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya tinggi.	Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya rendah.	0	Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya meroket sampai puncak Gunung Jayawijaya.	1			1	
Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya tinggi.	Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya rendah.	1	Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya jongkok.	1			1	
Bukan bermaksud menghakimi, tapi dia berbicara seolah paling benar.	Bukan bermaksud menghakimi, tapi dia berbicara seolah lemah lembut.	0	Bukan bermaksud menghakimi, tapi dia berbicara seolah hanya dia yang paham bahwa 1+1=2.	1			1	
Bukan bermaksud menghakimi, tapi dia berbicara seolah paling benar.	Bukan bermaksud menghakimi, tapi dia berbicara seolah lemah lembut.	1	Bukan bermaksud menghakimi, tapi dia berbicara seolah putri keraton yang luhur budi pekertinya.	1			1	
Sastra adalah karya yang menyenangkan.	Sastra adalah karya yang memuakkan.	0	Sastra adalah suguhan bagi jiwa-jiwa yang ingin sejenak kabur dari realitas.	1			1	
Sastra adalah karya yang menyenangkan.	Sastra adalah karya yang memuakkan.	1	Sastra adalah debat panas antara calon pemimpin saat kampanye.	1			1	
Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dipersulit.	Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dimudahkan.	0	Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit bagaikan bertarung dengan harimau di hutan belantara.	1			1	
Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dipersulit.	Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dimudahkan.	1	Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit bagaikan membalikkan telapak tangan.	1			1	
Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.	Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.	0	Berbelanja bagi sebagian besar perempuan itu seperti masuk surga dengan segala hal yang indah-indah di sekelilingnya.	1			1	
Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.	Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.	1	Berbelanja bagi sebagian besar perempuan itu seperti masuk neraka dengan bara api yang berkobar menakutkan.	1			1	
Tujuan hidup itu harus ditentukan.	Tujuan hidup itu asal.	0	Tujuan hidup itu bagaikan memilih pisau yang tepat untuk memotong bahan masakan yang mau diolah.	1			1	
Tujuan hidup itu harus ditentukan.	Tujuan hidup itu asal.	1	Tujuan hidup itu bagaikan menciduk air di kolam.	1			1	
Matahari hari ini sangat panas.	Matahari hari ini redup.	0	Matahari hari ini seolah hanya sejengkal dari atas ubun-ubun kepala.	1			1	
Matahari hari ini sangat panas.	Matahari hari ini redup.	1	Matahari hari ini seolah hidup segan mati tak mau.	1			1	
Ibarat pengayom masyarakat, itulah pemerintah kita.	Ibarat pembuat onar, itulah pemerintah kita.	0	Ibarat payung yang rela basah demi melindungi orang di bawahnya, itulah pemerintah kita.	1			1	
Ibarat pengayom masyarakat, itulah pemerintah kita.	Ibarat pembuat onar, itulah pemerintah kita.	1	Ibarat pembuang sampah di sungai, itulah pemerintah kita.	1			1	
Semakin dewasa, sosial media menjadi tidak penting.	Semakin dewasa, sosial media menjadi berharga.	0	Semakin dewasa, sosial media seperti daun yang jatuh di halaman.	1	1			
Semakin dewasa, sosial media menjadi tidak penting.	Semakin dewasa, sosial media menjadi berharga.	1	Semakin dewasa, sosial media seperti lembar uang 50 ribuan yang ditemukan di pinggir jalan.	1	1			
Mertua dan menantu di Indonesia itu kontradiktif.	Mertua dan menantu di Indonesia itu harmonis.	0	Mertua dan menantu di Indonesia itu bagaikan cerita rakyat Bawang Merah & Bawang Putih.	1				1
Mertua dan menantu di Indonesia itu kontradiktif.	Mertua dan menantu di Indonesia itu harmonis.	1	Mertua dan menantu di Indonesia itu bagaikan Jembatan Suramadu yang menghubungkan Pulau Madura dengan Pulau Jawa bagian timur.	1				1
Bahagia itu bersifat material.	Bahagia itu bersifat nonmaterial.	0	Bahagia itu adalah ketika kita dapat uang kaget 100 Milyar Rupiah tanpa harus dipotong pajak.	1			1	
Bahagia itu bersifat material.	Bahagia itu bersifat nonmaterial.	1	Bahagia itu adalah berkumpul bersama keluarga tersayang.	1			1	
Pembawaan suami saya dingin.	Pembawaan suami saya hangat.	0	Suami saya seperti air kendi.	1	1			
Pembawaan suami saya dingin.	Pembawaan suami saya hangat.	1	Suami saya seperti suhu ruangan saat siang hari di musim kemarau.	1	1			
Kekayaannya sangat melimpah.	Kekayaannya sangat kurang.	0	Kekayaannya bisa digunakan untuk melunasi hutang negara dan bahkan masih ada kembaliannya.	1			1	
Kekayaannya sangat melimpah.	Kekayaannya sangat kurang.	1	Kekayaannya tidak cukup untuk memberi makan dirinya sendiri.	1			1	
Nilai tukar rupiah dibanding dolar lemah.	Nilai tukar rupiah dibanding dolar kuat.	0	Nilau tukar rupiah di banding dolar ibarat Bujang Bungkuk yang tidak percaya diri.	1			1	
Nilai tukar rupiah dibanding dolar lemah.	Nilai tukar rupiah dibanding dolar kuat.	1	Nilau tukar rupiah di banding dolar ibarat kesaktian Angling Darma melawan Nyi Pelet.	1				1
Seusai persidangan itu selesai, terdakwa bersikap meminta maaf.	Seusai persidangan itu selesai, terdakwa bersikap pongah.	0	Seusai persidangan itu selesai, terdakwa bersikap seolah baru turun dari masjid di hari raya Idul Fitri.	1			1	1
Seusai persidangan itu selesai, terdakwa bersikap meminta maaf.	Seusai persidangan itu selesai, terdakwa bersikap pongah.	1	Seusai persidangan itu selesai, terdakwa bersikap seolah keluar dari mobil mewah dengan wajah mendongak.	1			1	
Cara berpikirmu buruk.	Cara berpikirmu baik.	0	Cara berpikirmu seperti tidak pernah mengenyam bangku sekolah.	1			1	
Cara berpikirmu buruk.	Cara berpikirmu baik.	1	Cara berpikirmu seperti lulusan sarjana hebat.	1			1	
Sikap serakah itu membuat selalu merasa kurang.	Sikap serakah itu membuat cukup.	0	Sikap serakah itu ibarat meredakan haus dengan minum air lautan.	1			1	
Sikap serakah itu membuat selalu merasa kurang.	Sikap serakah itu membuat cukup.	1	Sikap serakah itu ibarat menghentikan makan saat perut sudah kenyang.	1			1	
