ending1 (string),ending2 (string),labels,startphrase (string),valid,category,obj,vis,soc,cul
Samani hii ni ya kweli.,Samani hii ni ya bandia.,1,Samani hii ni kama saa.,1,obj,1,0,0,0
Mwanafunzi alikuwa akinong'ona.,Mwanafunzi alikuwa akipiga kelele.,0,Mwanafunzi alikuwa kama pumzi za upepo mdogo.,1,obj,1,0,0,0
Mwanafunzi alikuwa akinong'ona.,Mwanafunzi alikuwa akipiga kelele.,1,Mwanafunzi alikuwa kama kupasuka kwa volkano.,1,obj,1,0,0,0
Upepo ulikuwa thabiti.,Upepo haukuwa thabiti.,0,Upepo ulikuwa kama nguzo.,1,vis,0,1,0,0
Upepo ulikuwa thabiti.,Upepo haukuwa thabiti.,1,Upepo ulikuwa kama jicho likitazama jua.,1,vis,0,1,0,0
Alikuwa na mapenzi kubwa kwake.,Alikuwa na chuki kali kwake.,0,Alikuwa kama malaika mlezi.,1,soc,0,0,1,0
Alikuwa na mapenzi kubwa kwake.,Alikuwa na chuki kali kwake.,1,Alikuwa kama mbegu iliyoanguka kwenye mawe.,1,soc,0,0,1,0
Shati lake ni jeupe.,Shati lake ni jeusi.,0,Shati lake ni chumvi.,1,vis,0,1,0,0
Shati lake ni jeupe.,Shati lake ni jeusi.,1,Shati lake ni shimo la makaa ya mawe.,1,vis,0,1,0,0
Walikubaliana juu ya jambo hilo.,Walitofautiana juu ya jambo hilo.,0,Wao ni kama kengele na mlio wake.,1,soc,0,0,1,0
Walikubaliana juu ya jambo hilo.,Walitofautiana juu ya jambo hilo.,1,Wao ni kama moto na maji.,1,soc,0,0,1,0
Sakafu hii inateleza.,Sakafu hii ni kavu.,0,Sakafu hii ni kama nyoka.,1,obj,1,0,0,0
Sakafu hii inateleza.,Sakafu hii ni kavu.,1,Sakafu hii ni kama ukweli wa kisukuku.,1,obj,1,0,0,0
Uchaguzi huu ni wa haki.,Uchaguzi huu si wa haki.,0,Uchaguzi huu ni nadhiri za bikira.,1,soc,0,0,1,0
Uchaguzi huu ni wa haki.,Uchaguzi huu si wa haki.,1,Uchaguzi huu ni kumpa hakimu hekima kwa sababu tu amevalia tofauti na wanaume wengine.,1,soc,0,0,1,0
Mchezaji alikuwa fiti kwa mchezo.,Mchezaji alikuwa hafai kwa mchezo.,0,Mchezaji alikuwa kama viatu vya jumapili.,1,obj,1,0,0,0
Mchezaji alikuwa fiti kwa mchezo.,Mchezaji alikuwa hafai kwa mchezo.,1,Mchezaji alikuwa kama dhahabu safi kwa mzunguko.,1,obj,1,0,0,0
Polisi walikuwa waadilifu.,Polisi hawakuwa waadilifu.,0,Polisi walikuwa kama heshima sawa.,1,obj,1,0,0,0
Polisi walikuwa waadilifu.,Polisi hawakuwa waadilifu.,1,Polisi walikuwa kama waamuzi wa historia ya mipaka kwanza humunyonga mfungwa na kisha kumjaribu.,1,obj,1,0,0,0
Mbwa huyu ni shujaa.,Mbwa huyu ni mwoga.,0,Mbwa huyu ni simba.,1,obj,1,0,0,0
Mbwa huyu ni shujaa.,Mbwa huyu ni mwoga.,1,Mbwa huyu ni kunguru.,1,obj,1,0,0,0
Alikuwa na afya njema.,Alikuwa na afya mbovu.,0,Alikuwa kama asubuhi ya mei.,1,vis,0,1,0,0
Alikuwa na afya njema.,Alikuwa na afya mbovu.,1,Alikuwa kama ini la bukini linalokusudiwa kulwa.,1,vis,0,1,0,0
Yeye ni mwenye huruma.,Yeye si mwenye huruma.,0,Yeye ni mti mtukufu ambao umejeruhiwa wakati unatoa zeri.,1,soc,0,0,1,0
Yeye ni mwenye huruma.,Yeye si mwenye huruma.,1,Yeye ni kaisari.,1,soc,0,0,1,0
Eneo la benki limelindwa.,Eneo la benki ni dhahiri.,0,Eneo la benki ni kama mkuu katika ngome lake.,1,vis,0,1,0,0
Eneo la benki limelindwa.,Eneo la benki ni dhahiri.,1,Eneo la benki ni kama nyota kwenye usiku tupu.,1,vis,0,1,0,0
Majengo yale ni ya kisasa.,Majengo yale ni ya zamani.,0,Majengo yale ni safu ya mwanga.,1,obj,1,0,0,0
Majengo yale ni ya kisasa.,Majengo yale ni ya zamani.,1,Majengo yale ni umri wa jiwe.,1,obj,1,0,0,0
Dereva alikuwa kiasi.,Dereva alikuwa mlevi.,0,Dereva alikuwa kama hakimu.,1,obj,1,0,0,0
Dereva alikuwa kiasi.,Dereva alikuwa mlevi.,1,Dereva alikuwa kama Lutu wa bibilia.,1,obj,1,0,0,0
Ilikuwa zabuni.,Ilikuwa ngumu.,0,Ilikuwa kama ndoto ya mama ya mtoto wake.,1,obj,1,0,0,0
Ilikuwa zabuni.,Ilikuwa ngumu.,1,Ilikuwa kama ngozi.,1,obj,1,0,0,0
Msichana yule amebarikiwa.,Msichana yule amelaaniwa.,0,Msichana yule ni Daudi.,1,obj,1,0,0,0
Msichana yule amebarikiwa.,Msichana yule amelaaniwa.,1,Msichana yule ni hekalu takatifu lenye limeibiwa.,1,obj,1,0,0,0
Hali ya hewa ni shwari.,Hali ya hewa ni ya dhoruba.,0,Hali ya hewa ni kama mito ya kina kirefu.,1,vis,0,1,0,0
Hali ya hewa ni shwari.,Hali ya hewa ni ya dhoruba.,1,Hali ya hewa ni kama kimbunga kamili.,1,vis,0,1,0,0
Alipewa faraja baada ya tukio.,Alipewa majonzi baada ya tukio.,0,Alipewa faraja kama mtoto mchanga.,1,soc,0,0,1,0
Alipewa faraja baada ya tukio.,Alipewa majonzi baada ya tukio.,1,Alipewa majonzi kama mafuriko yalioinuliwa kwenye vijito vidogo na mvua ya ghafla.,1,soc,0,0,1,0
Alihama karibu na shangazi.,Alihama mbali na shangazi.,0,Alihama kama sekunde moja hadi nyingine.,1,vis,0,1,0,0
Alihama karibu na shangazi.,Alihama mbali na shangazi.,1,Alihama kama wema ulivyo juu ya ubaya.,1,vis,0,1,0,0
Nyumba hii ni safi.,Nyumba hii ni chafu.,0,Nyumba hii ni pamba.,1,vis,0,1,0,0
Nyumba hii ni safi.,Nyumba hii ni chafu.,1,Nyumba hii ni dampo.,1,vis,0,1,0,0
Barua yake ilikuwa ya hisia.,Barua yake haikuwa ya hisia.,0,Barua yake ilikuwa kama mama na mwanawe.,1,soc,0,0,1,0
Barua yake ilikuwa ya hisia.,Barua yake haikuwa ya hisia.,1,Barua ilikuwa kama pambano lililogandishwa.,1,soc,0,0,1,0
Safari ilikuwa na starehe.,Safari haikuwa na starehe.,0,Safari ilikuwa kama jua baada ya mvua.,1,soc,0,0,1,0
Safari ilikuwa na starehe.,Safari haikuwa na starehe.,1,Safari ilikuwa kama jogoo ndani ya bwawa.,1,soc,0,0,1,0
Kijana huyu ni mwenye kiburi.,Kijana huyu ni mwenye aibu.,0,Kijana huyu ni kama nyumbu wa serikali.,1,obj,1,0,0,0
Kijana huyu ni mwenye kiburi.,Kijana huyu ni mwenye aibu.,1,Kijana huyu ni kama kitu cha hatia.,1,obj,1,0,0,0
Alikuwa mkarimu kwake.,Alikuwa na wivu kwake.,0,Alikuwa kama jua katika chemchemi.,1,obj,1,0,0,0
Alikuwa mkarimu kwake.,Alikuwa na wivu kwake.,1,Alikuwa kama paka.,1,obj,1,0,0,0
Chumba kilikuwa tupu.,Chumba kilikuwa kimejaa.,0,Chumba kilikuwa kama upepo.,1,vis,0,1,0,0
Chumba kilikuwa tupu.,Chumba kilikuwa kimejaa.,1,Chumba kilikuwa kama kupe.,1,vis,0,1,0,0
Kijana alikuwa jasiri.,Kijana aliogopa.,0,Kijana alikuwa kama mpiga grenadi.,1,obj,1,0,0,0
Kijana alikuwa jasiri.,Kijana aliogopa.,1,Kijana alikuwa kama panzi.,1,obj,1,0,0,0
Sauti yake ilikuwa ya muziki.,Sauti yake haikuwa ya muziki.,0,Sauti yake ilikuwa kama mvua inavyoshuka kwenye paa.,1,obj,1,0,0,0
Sauti yake ilikuwa ya muziki.,Sauti yake haikuwa ya muziki.,1,Sauti yake ilikuwa kama ndoto ya usiku ya bubu aliyeshiba wimbo.,1,obj,1,0,0,0
Yeye ni muangalifu sana.,Yeye ni mzembe sana.,0,Yeye ni mlinzi mzuri wa nyumba.,1,vis,0,1,0,0
Yeye ni muangalifu sana.,Yeye ni mzembe sana.,1,Yeye ni upepo.,1,vis,0,1,0,0
Alikuwa mtu wa imani.,Alikuwa mtu wa hofu.,0,Alikuwa kama Abrahamu.,1,obj,1,0,0,0
Alikuwa mtu wa imani.,Alikuwa mtu wa hofu.,1,Alikuwa kama nzige.,1,obj,1,0,0,0
Walikusanyika njiani.,Walitawanyika njiani.,0,Wao walikuwa mchwa.,1,obj,1,0,0,0
Walikusanyika njiani.,Walitawanyika njiani.,1,Wao walikuwa makapi mbele ya upepo.,1,obj,1,0,0,0
Aliketi mbele.,Aliketi nyuma.,0,Aliketi kama kiongozi wa ngamia.,1,vis,0,1,0,0
Aliketi mbele.,Aliketi nyuma.,1,Aliketi kama kitabu cha kiebrania.,1,vis,0,1,0,0
Jamii ilikuwa changa.,Jamii ilikuwa ya zamani.,0,Jamii ilikuwa kama saa.,1,obj,1,0,0,0
Jamii ilikuwa changa.,Jamii ilikuwa ya zamani.,1,Jamii ilikuwa kama uumbaji.,1,obj,1,0,0,0
Mlinzi alikuwa macho.,Mlinzi alikuwa amelala.,0,Mlinzi alikuwa bahari inayotikiswa na tufani kuu.,1,obj,1,0,0,0
Mlinzi alikuwa macho.,Mlinzi alikuwa amelala.,1,Mlinzi alikuwa ndoto kaburini.,1,obj,1,0,0,0
Kaka yangu alicheka.,Kaka yangu alilia.,0,Kaka yangu alikuwa kama kasuku kwa mpiga filimbi.,1,obj,1,0,0,0
Kaka yangu alicheka.,Kaka yangu alilia.,1,Kaka yangu alikuwa kama mtoto anayechapwa.,1,obj,1,0,0,0
Yule ni mtu mwema.,Yule ni mtu mwovu.,0,Yule ni ukweli mtakatifu.,1,soc,0,0,1,0
Yule ni mtu mwema.,Yule ni mtu mwovu.,1,Yule ni bahari iliyochafuka.,1,soc,0,0,1,0
Walikimbia juu ya kilima.,Walikimbia chini ya kilima.,0,Walikimbia kama moshi ya tanuru.,1,vis,0,1,0,0
Walikimbia juu ya kilima.,Walikimbia chini ya kilima.,1,Walikimbia kama nyasi mbele ya komeo.,1,vis,0,1,0,0
Chumba hiki ni kimya.,Chumba hiki kina sauti kubwa.,0,Chumba hiki ni sanamu.,1,obj,1,0,0,0
Chumba hiki ni kimya.,Chumba hiki kina sauti kubwa.,1,Chumba hiki ni sauti ya dalali.,1,obj,1,0,0,0
Baba ana shughuli nyingi.,Baba yuko bila kazi.,0,Baba ni nyuki.,1,obj,1,0,0,0
Baba ana shughuli nyingi.,Baba yuko bila kazi.,1,Baba ni saa sita mchana.,1,obj,1,0,0,0
Mahali hapa ni kimya sana.,Mahali hapa pana kelele mingi.,0,Mahali hapa ni kama makaburi.,1,vis,0,1,0,0
Mahali hapa ni kimya sana.,Mahali hapa pana kelele mingi.,1,Mahali hapa ni kama sokoni.,1,vis,0,1,0,0
Nyumba hii ni imara.,Nyumba hii si imara.,0,Nyumba hii ni kama dunia.,1,obj,1,0,0,0
Nyumba hii ni imara.,Nyumba hii si imara.,1,Nyumba hii ni kama upepo.,1,obj,1,0,0,0
Mifugo wote wako hai.,Mifugo wote wamefariki.,0,Mifugo wote wako hai kama maono ya maisha kuwa.,1,obj,1,0,0,0
Mifugo wote wako hai.,Mifugo wote wamefariki.,1,Mifugo wote wako hai kama jana.,1,obj,1,0,0,0
Yeye ni mwenye nguvu.,Yeye ni dhaifu.,0,Yeye ni Samsoni.,1,obj,1,0,0,0
Yeye ni mwenye nguvu.,Yeye ni dhaifu.,1,Yeye ni mwanzi.,1,obj,1,0,0,0
alihisi vizuri alipomuona mpenzi wake,alihisi vibaya rohoni alipomuona adui wake,0,alipomuona mpenzi wake roho yake ilimetameta,1,vis,0,1,0,0
alihisi vizuri alipomuona mpenzi wake,alihisi vibaya rohoni alipomuona adui wake,1,alipomuona adui wake roho yake haikumetameta,1,vis,0,1,0,0
wakili wake ni gwiji sana,wakili wake si gwiji,0,wakili wake ni papa,1,obj,1,0,0,0
wakili wake ni gwiji sana,wakili wake si gwiji,1,wakili wake si papa,1,obj,1,0,0,0
akili yake iko na bidii kama tarakilishi,akili yake haina bidii sana,0,akili yake ni tarakilishi,1,obj,1,0,0,0
akili yake iko na bidii kama tarakilishi,akili yake haina bidii sana,1,akili yake si tarakilishi,1,obj,1,0,0,0
nampenda sana rafiki yangu,simpendi adui yangu,0,rafiki yangu ni hazina,1,soc,0,0,1,0
nampenda sana rafiki yangu,simpendi adui yangu,1,adui yangu si hazina,1,soc,0,0,1,0
inaashiria upendo ni kitu kizuri ,inaashiria chuki ni kitu kibaya,0,upendo ni maua,1,obj,1,0,0,0
inaashiria upendo ni kitu kizuri ,inaashiria chuki ni kitu kibaya,1,chuki si maua,1,obj,1,0,0,0
nafuata nyayo zake ili kufaulu,ananielekeza pabaya maishani,0,yeye ni mwangaza wa maisha yangu,1,vis,0,1,0,0
nafuata nyayo zake ili kufaulu,ananielekeza pabaya maishani,1,yeye ni giza katika maisha yangu,1,vis,0,1,0,0
ni mkongwe sana,ni kijana shupavu,0,Mzee yule ni moto unaozima,1,soc,0,0,1,0
ni mkongwe sana,ni kijana shupavu,1,kijana yule ni moto unaongaa,1,soc,0,0,1,0
inaashiria dunia ni mahala pa mambo mengi,inaashiria dunia ni mahala padogo,0,dunia nzima ni jukwaa,1,obj,1,0,0,0
inaashiria dunia ni mahala pa mambo mengi,inaashiria dunia ni mahala padogo,1,dunia nzima si jukwaa,1,obj,1,0,0,0
kompyuta yake inafanya kazi kwa haraka,kompyuta yake inafanya kazi polepole,0,kompyuta yake ni umeme,1,soc,0,0,1,0
kompyuta yake inafanya kazi kwa haraka,kompyuta yake inafanya kazi polepole,1,kompyuta yake si umeme,1,soc,0,0,1,0
anayoyatamka ni chanzo cha furaha,anayoyatamka si chanzo ya furaha,0,kinywa chake ni chemchemi ya furaha,1,soc,0,0,1,0
anayoyatamka ni chanzo cha furaha,anayoyatamka si chanzo ya furaha,1,kinywa chake si chemichemi ya furaha,1,soc,0,0,1,0
walimuona kama rafiki wa bandia,walimuona kama rafiki wa kweli,0,marafiki wake walimuona kama kigaga,1,soc,0,0,1,0
walimuona kama rafiki wa bandia,walimuona kama rafiki wa kweli,1,marafiki wake hawakumuona kama kigaga,1,soc,0,0,1,0
yeye ni mtu hatari sana,yeye si mtu hatari,0,"kaa mbali na bwana yule,ni mtego wa panya",1,obj,1,0,0,0
yeye ni mtu hatari sana,yeye si mtu hatari,1,"usikae mbali naye,si mtego wa panya",1,obj,1,0,0,0
jua lilikataa kuzama kwa wakati wake,jua lilizama kwa wakati wake,0,jua lilikuwa mtoto mdogo aliyekataa usingizi,1,vis,0,1,0,0
jua lilikataa kuzama kwa wakati wake,jua lilizama kwa wakati wake,1,jua halikuwa mtoto mdogo aliyekataa usingizi,1,vis,0,1,0,0
mawazo yangu ni ya maono mema,mawazo yangu hayana maono,0,mawazo yangu ni nyota ,1,obj,1,0,0,0
mawazo yangu ni ya maono mema,mawazo yangu hayana maono,1,mawazo yangu si nyota,1,obj,1,0,0,0
inaashiria makumbusho huja kighafla,inaashiria makumbusho hayaji kighafla,0,kumbukumbu ni kama risasi,1,obj,1,0,0,0
inaashiria makumbusho huja kighafla,inaashiria makumbusho hayaji kighafla,1,kumbukumbu si kama risasi,1,obj,1,0,0,0
inamaanisha matamanio yake hayawezi timizika,inamaanisha matamanio yake yanaweza timizika,0,matamanio yake ni miiba,1,obj,1,0,0,0
inamaanisha matamanio yake hayawezi timizika,inamaanisha matamanio yake yanaweza timizika,1,matamanio yake si miiba,1,obj,1,0,0,0
inaashiria kuna matatizo kwenye ndoa yangu,inaashiria ndoa yangu ipo imara,0,ndoa yangu imekuwa jangwa,1,obj,1,0,0,0
inaashiria kuna matatizo kwenye ndoa yangu,inaashiria ndoa yangu ipo imara,1,ndoa yangu si jangwa,1,obj,1,0,0,0
matumaini yamekuwa rahisi kupata,matumaini yangu yamekuwa magumu kupata,0,matumaini yangu yamekuwa manyoya,1,obj,1,0,0,0
matumaini yamekuwa rahisi kupata,matumaini yangu yamekuwa magumu kupata,1,matumaini yangu yamekuwa mawe,1,obj,1,0,0,0
hatuskizani vyema,tupo vyema ,0,Ali amekuwa mwiba kwangu,1,obj,1,0,0,0
hatuskizani vyema,tupo vyema ,1,Ali hajakuwa mwiba kwangu,1,obj,1,0,0,0
ni jambo lisilopendeza kulisikia,ni jambo nzuri masikioni mwangu,0,hiyo ni ngoma kwa masikio yangu,1,obj,1,0,0,0
ni jambo lisilopendeza kulisikia,ni jambo nzuri masikioni mwangu,1,hiyo si ngoma kwa masikio yangu,1,obj,1,0,0,0
inaashiria wema ulipwa na wema,inaashiria wema haulipwi kwa wema,0,uzuri ni ua linalofifia,1,soc,0,0,1,0
inaashiria wema ulipwa na wema,inaashiria wema haulipwi kwa wema,1,uzuri si ua lisilofifia,1,soc,0,0,1,0
namdhamini sana,simdhamini kwa vyovyote,0,yeye ni almasi ya marquise kwangu,1,obj,1,0,0,0
namdhamini sana,simdhamini kwa vyovyote,1,yeye si almasi ya marquise kwangu,1,obj,1,0,0,0
inaashiria upendo wa dhati juu yako,inaashiria hakuna upendo wowote juu yako,0,"moyo wangu ni stereo,unapiga juu yako",1,soc,0,0,1,0
inaashiria upendo wa dhati juu yako,inaashiria hakuna upendo wowote juu yako,1,"moyo si stereo,haupigi juu yako",1,soc,0,0,1,0
inaashiria mambo yangu yako mrama,inaashiria niko vyema na najiweza,0,mimi ni kivuli juu ya ardhi,1,obj,1,0,0,0
inaashiria mambo yangu yako mrama,inaashiria niko vyema na najiweza,1,mimi si kivuli juu ya ardhi,1,obj,1,0,0,0
mtu umpenda yeyote anayemtamani,mtu hampendi yeyote,0,mapenzi ni mlango wazi,1,soc,0,0,1,0
mtu umpenda yeyote anayemtamani,mtu hampendi yeyote,1,mapenzi si mlango wazi,1,soc,0,0,1,0
maisha ni ya dhamani,maisha si ya dhamani,0,maisha ni kupanda,1,cul,0,0,0,1
maisha ni ya dhamani,maisha si ya dhamani,1,maisha si kupanda,1,cul,0,0,0,1
inaashiria vitabu ni kurunzi ya maisha,inaashiria vitabu si kurunzi ya maisha,0,vitabu ni kioo cha roho,1,soc,0,0,1,0
inaashiria vitabu ni kurunzi ya maisha,inaashiria vitabu si kurunzi ya maisha,1,vitabu si kioo cha roho,1,soc,0,0,1,0
amerika ni dunia kubwa ya kutajika,amerika si dunia kubwa ya kutajika,0,amerika ni sufuria kubwa ya kuyeyeka duniani,1,soc,0,0,1,0
amerika ni dunia kubwa ya kutajika,amerika si dunia kubwa ya kutajika,1,amerika si sufuria kubwa ya kuyeyeka duniani,1,soc,0,0,1,0
kifo ni kama jangwa la simanzi,kifo si kama jangwa la simanzi,0,kufa ni usiku wa porini,1,soc,0,0,1,0
kifo ni kama jangwa la simanzi,kifo si kama jangwa la simanzi,1,kufa si usiku wa porini,1,soc,0,0,1,0
inaashiria wakati ni kila kitu,inaashiria wakati si kila kitu,0,wakati ni taswira inayosonga milele,1,soc,0,0,1,0
inaashiria wakati ni kila kitu,inaashiria wakati si kila kitu,1,wakati si taswira inayosonga milele,1,soc,0,0,1,0
alikuwa mtu mbaya ndani ya familia ,alikuwa mtu mwenye nia nzuri ndani ya familia,0,alikuwa kondoo mweusi kwa familia ,1,obj,1,0,0,0
alikuwa mtu mbaya ndani ya familia ,alikuwa mtu mwenye nia nzuri ndani ya familia,1,hakuwa kondoo mweusi kwa familia,1,obj,1,0,0,0
alikuwa hana uwezo wa kuishi,alikuwa yuko na uwezo wa kuishi,0,alikuwa samaki nje ya maji,1,obj,1,0,0,0
alikuwa hana uwezo wa kuishi,alikuwa yuko na uwezo wa kuishi,1,hakuwa samaki nje ya maji,1,obj,1,0,0,0
yeye ni mwangaza kwa maisha yake,yeye si mwangaza kwa maisha yake,0,yeye ni kurunzi ya maisha yake,1,vis,0,1,0,0
yeye ni mwangaza kwa maisha yake,yeye si mwangaza kwa maisha yake,1,yeye si kurunzi ya maisha yake,1,vis,0,1,0,0
yuko na utu na roho njema,hana utu na roho njema,0,ana roho ya dhahabu,1,obj,1,0,0,0
yuko na utu na roho njema,hana utu na roho njema,1,hana roho ya dhahabu,1,obj,1,0,0,0
inaashiria nikiwa nyumbani mwangu nina furaha,inaashiria nikiwa nyumbani mwangu sina furaha,0,nyumba yangu ni ngome yangu,1,soc,0,0,1,0
inaashiria nikiwa nyumbani mwangu nina furaha,inaashiria nikiwa nyumbani mwangu sina furaha,1,nyumba yangu si ngome yangu,1,soc,0,0,1,0
inaashiria kufurahi inasaidia kwa maisha,inaashiria kufurahi haisaidii kwa vyovyote,0,kicheko ni dawa,1,obj,1,0,0,0
inaashiria kufurahi inasaidia kwa maisha,inaashiria kufurahi haisaidii kwa vyovyote,1,kicheko si dawa,1,obj,1,0,0,0
amefurahi sana,hana furaha yoyote,0,kuna bustani usoni mwake,1,vis,0,1,0,0
amefurahi sana,hana furaha yoyote,1,hakuna bustani usoni mwake,1,vis,0,1,0,0
inaashiria familia yetu haina furaha ,inaashiria familia yetu iko shwari na yenye furaha,0,familia yetu ni pamba ya viraka,1,obj,1,0,0,0
inaashiria familia yetu haina furaha ,inaashiria familia yetu iko shwari na yenye furaha,1,familia yetu si pamba ya viraka,1,obj,1,0,0,0
anaishi kwa bahati,anaishi vizuri kwa raha zake,0,amekuwa akiishi kwenye mapovu,1,vis,0,1,0,0
anaishi kwa bahati,anaishi vizuri kwa raha zake,1,hajakuwa hakiishi kwenye mapovu,1,vis,0,1,0,0
hoja yako si ya maana sana ,hoja yako iko na maana sana,0,hoja yako ni ya utelezi,1,soc,0,0,1,0
hoja yako si ya maana sana ,hoja yako iko na maana sana,1,hoja yako si ya utelezi,1,soc,0,0,1,0
inaashiria muda ni wa maana sana,inaashiria muda si wa maana sana,0,muda ni dawa,1,obj,1,0,0,0
inaashiria muda ni wa maana sana,inaashiria muda si wa maana sana,1,muda si dawa,1,obj,1,0,0,0
inaashiria yeye anajihisi yeye anajiweza pekee yake,inaashiria yeye hajihisi yeye anajiweza kivyake,0,yule mtu ni kisiwa,1,obj,1,0,0,0
inaashiria yeye anajihisi yeye anajiweza pekee yake,inaashiria yeye hajihisi yeye anajiweza kivyake,1,yule mtu si kisiwa,1,obj,1,0,0,0
yuko mvumilivu sana,hana uvumilivu wowote,0,ana roho ya jiwe,1,obj,1,0,0,0
yuko mvumilivu sana,hana uvumilivu wowote,1,hana roho ya jiwe,1,obj,1,0,0,0
inaashiria maisha yanaenda upesi,inaashiria maisha yanaenda polepole,0,maisha ni mbio,1,obj,1,0,0,0
inaashiria maisha yanaenda upesi,inaashiria maisha yanaenda polepole,1,maisha si mbio,1,obj,1,0,0,0
mapenzi ni kitu chema rohoni,mapenzi si kitu chema ,0,mapenzi ni kama divai nzuri,1,obj,1,0,0,0
mapenzi ni kitu chema rohoni,mapenzi si kitu chema ,1,mapenzi si kama ndivai nzuri,1,obj,1,0,0,0
inaashiria darasa limekuwa lenye mienendo mibovu,inaashiria darasa liko taratibu kulingana na kanuni zake,0,darasa lao limekuwa mbuga la wanyama ,1,obj,1,0,0,0
inaashiria darasa limekuwa lenye mienendo mibovu,inaashiria darasa liko taratibu kulingana na kanuni zake,1,darasa lao halijakuwa mbuga la wanyama,1,obj,1,0,0,0
inaashiria lazima ufanye mazoezi,inaashiria si lazima ufanye mazoezi,0,piga mwendo au utakuwa kama viazi vya kitanda,1,obj,1,0,0,0
inaashiria lazima ufanye mazoezi,inaashiria si lazima ufanye mazoezi,1,piga mwendo au hautakuwa kama viazi vya kitanda,1,obj,1,0,0,0
alikuwa na mbio sana,hakuwa na mbio sana,0,alikuwa duma mbioni,1,obj,1,0,0,0
alikuwa na mbio sana,hakuwa na mbio sana,1,hakuwa duma mbioni,1,obj,1,0,0,0
alihuzunika baada ya habari hiyo,hakuhuzunika baada ya habari hizo,0,roho yake ilishuka baada ya habari hiyo,1,soc,0,0,1,0
alihuzunika baada ya habari hiyo,hakuhuzunika baada ya habari hizo,1,roho yake haikushuka baada ya habari hiyo,1,soc,0,0,1,0
alikuwa mwenye huzuni sana,alikuwa hana huzuni wowote,0,alikuwa anazama kwa huzuni,1,soc,0,0,1,0
alikuwa mwenye huzuni sana,alikuwa hana huzuni wowote,1,alikuwa hazami kwa huzuni,1,soc,0,0,1,0
Yuko na roho mbaya,Yuko na roho ya utu,0,Yeye ni mnyama,1,obj,1,0,0,0
Yuko na roho mbaya,Yuko na roho ya utu,1,Yeye ni malaika,1,obj,1,0,0,0
Alikuwa mrembo sana,Alikuwa si mrembo sana,0,Msichana alikuwa kipepeo,1,obj,1,0,0,0
Alikuwa mrembo sana,Alikuwa si mrembo sana,1,Msichana alikuwa kienyeji,1,obj,1,0,0,0
Ni mahali pazuri sana,Ni mahali pabaya sana,0,Kenya ni paradiso,1,obj,1,0,0,0
Ni mahali pazuri sana,Ni mahali pabaya sana,1,Kenya ni jehanamu,1,obj,1,0,0,0
Ni mtu mwema,Ni mtu mbaya sana,0,Moyo wake ni mkubwa,1,obj,1,0,0,0
Ni mtu mwema,Ni mtu mbaya sana,1,Moyo wake ni mdogo,1,obj,1,0,0,0
Sipendi kazi yangu,Naipenda kazi yangu,0,Kazi yangu ni shida,1,soc,0,0,1,0
Sipendi kazi yangu,Naipenda kazi yangu,1,Kazi yangu ni raha,1,soc,0,0,1,0
Ninampenda sana,Simpendi kabisa,0,Nina wazimu juu yake,1,soc,0,0,1,0
Ninampenda sana,Simpendi kabisa,1,Nina kijicho juu yake,1,soc,0,0,1,0
Kitu kipya sana,Kitu kizee,0,Mradi huo ni mchanga,1,obj,1,0,0,0
Kitu kipya sana,Kitu kizee,1,Mradi huo ni mkongwe,1,obj,1,0,0,0
Ni jasiri sana,Ni mnyonge sana,0,Ana roho ya simba,1,obj,1,0,0,0
Ni jasiri sana,Ni mnyonge sana,1,Ni mpole kama kobe,1,obj,1,0,0,0
nakutegemea sana kwa maisha yangu,Sikutegemei kwa lolote,0,Wewe ni nyota yangu,1,vis,0,1,0,0
nakutegemea sana kwa maisha yangu,Sikutegemei kwa lolote,1,Wewe ni giza yangu,1,vis,0,1,0,0
Unapoazima kitu ni rahisi kufanaya hivyo,Unapoazimwa kufanyia mtu jambo ni vigumu,0,Kukopa arusi,1,cul,0,0,0,1
Unapoazima kitu ni rahisi kufanaya hivyo,Unapoazimwa kufanyia mtu jambo ni vigumu,1,kulipa matanga,1,cul,0,0,0,1
ana tabia njema,ana tabia mbaya,0,Mgeni ni kuku mweupe,1,obj,1,0,0,0
ana tabia njema,ana tabia mbaya,1,Mgeni ni kuku mweusi,1,obj,1,0,0,0
Ni mjanja sana,Yeye si mjanja,0,Rafiki yake ni sungura,1,obj,1,0,0,0
Ni mjanja sana,Yeye si mjanja,1,Rafiki yake ni kondoo,1,obj,1,0,0,0
ana kimo kirefu sana,ana kimo kifupi sana,0,Yeye ni mrefu kama twiga,1,obj,1,0,0,0
ana kimo kirefu sana,ana kimo kifupi sana,1,Yeye ni mfupi kama mbilikimo,1,obj,1,0,0,0
aliwachwa na upweke,alipatana naye,0,Aliwachwa mataani na yule ndugu,1,soc,0,0,1,0
aliwachwa na upweke,alipatana naye,1,Alipatana naye hadharani,1,soc,0,0,1,0
ana mbio sana,ana mwendo wa polepole,0,Yeye ni chui,1,obj,1,0,0,0
ana mbio sana,ana mwendo wa polepole,1,yeye ni kobe,1,obj,1,0,0,0
anatoa siri zetu nje,siri zetu zipo imara,0,Kuna panya kati yetu,1,obj,1,0,0,0
anatoa siri zetu nje,siri zetu zipo imara,1,kuna pamba kati yetu,1,obj,1,0,0,0
anahisi vizuri,anahisi vibaya,0,Kicheko ni dawa,1,soc,0,0,1,0
