String 1,String 2,Start Phrase
ಅದು ಐತಿಹಾಸಿಕ ನಗರ,ಅದು ಐತಿಹಾಸಿಕ ನಗರವಲ್ಲ,  ಅದು (ದ್ವಾರಕೆಯಂತೆ/ ಬೆಂಗಳೂರಿನಂತೆ) ಐತಿಹಾಸಿಕ ನಗರ
ಆ ವಸ್ತು ಭಾರವಿಲ್ಲ ,ಆ ವಸ್ತು ಭಾರವಿದೆ,  ಆ ವಸ್ತು (ಹತ್ತಿಯಂತೆ/ ಕಲ್ಲಿನಂತೆ) ನಿರ್ಭಾರವಾಗಿದೆ
ಅಂದು ಕತ್ತಲಾಗಿತ್ತು ,ಅಂದು ಕತ್ತಲಾಗಿರಲಿಲ್ಲ,ಅಂದು (ರಾತ್ರಿಯಷ್ಟು/ ಬೆಳಗ್ಗೆ ಯಷ್ಟು) ಕತ್ತಲಾಗಿತ್ತು
ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿದೆ ,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿಲ್ಲ,  ಅವರ (ಜ್ಞಾನ ಸಮುದ್ರದಷ್ಟು /ಸ್ವಿಮ್ಮಿಂಗ್ ಪೂಲ್ ನಷ್ಟು) ಆಳವಾಗಿದೆ
ಪ್ರಯಾಣದರ ಹಗ್ಗವಾಗಿತ್ತು ,ಪ್ರಯಾಣದರ ದುಬಾರಿ ಯಾಗಿತ್ತು, ಪ್ರಯಾಣ ದರವು (ಕ್ಯಾಬ್ ರೈಡ್ ನಷ್ಟು /ಫ್ಲೈಟ್ ಟಿಕೆಟ್ ನಷ್ಟು )ಮಿತವ್ಯಯವಾಗಿತ್ತು
ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಹೆಚ್ಚು ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿದೆ,ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಹೆಚ್ಚು ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿಲ್ಲ, ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ (ಸ್ಪ್ರಿಂಗ್ ನಂತೆ/  ದಾರದಂತೆ )ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿದೆ.
ಈ ಕೆಲಸ ಗೊಂದಲಮಯವಾಗಿದೆ ,ಈ ಕೆಲಸ ಗೊಂದಲವಾಗಿಲ್ಲ,  ಈ ಕೆಲಸವು (ಕೋಡಿಂಗ್ ನಂತೆ /ಟೈಪಿಂಗ್ ನಂತೆ) ಗೊಂದಲವಾಗಿದೆ
ಕತ್ತಲು ಗಾಢವಾಗಿತ್ತು ,ಕತ್ತಲು ಗಾಢವಾಗಿರಲಿಲ್ಲ, ರಾತ್ರಿಯ ಕತ್ತಲು( ಅಮಾವಾಸ್ಯೆಯಂತೆ /ಹುಣ್ಣಿಮೆಯಂತೆ )ಗಾಢವಾಗಿತ್ತು
ಬೆಂಗಳೂರು ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿದೆ,ಬೆಂಗಳೂರು ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿಲ್ಲ,  ಬೆಂಗಳೂರು( ದ್ವೀಪದಂತೆ /ನಗರದಂತೆ) ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿದೆ
ಆ ಗ್ರಹವು ವಾಸಿಸಲು ಯೋಗ್ಯ,ಆ ಗ್ರಹವು ವಾಸಿಸಲು ಯೋಗ್ಯವಲ್ಲ, ಆ ಗ್ರಹವು( ಭೂಮಿಯಂತೆ /ಶುಕ್ರ ಗ್ರಹದಂತೆ )ವಾಸಿಸಬಹುದಾಗಿದೆ
ನಮ್ಮ ಹೊಲದ ಮಣ್ಣು ಫಲವತ್ತಾಗಿದೆ, ನಮ್ಮ ಹೊಲದ ಮಣ್ಣು ಫಲವತ್ತಾಗಿಲ್ಲ,   ನಮ್ಮ ಹೊಲದ ಮಣ್ಣು( ಕಪ್ಪು ಮಣ್ಣಿನಂತೆ /ಮರುಭೂಮಿಯಂತೆ) ಫಲವತ್ತಾಗಿದೆ
ನೀ ತಯಾರಿಸಿದ ಆಹಾರ ಆರೋಗ್ಯಕರವಾಗಿದೆ ,ನೀ ತಯಾರಿಸಿದ ಆಹಾರ ಆರೋಗ್ಯಕರವಿಲ್ಲ,ನೀ ತಯಾರಿಸಿದ ಆಹಾರವು (ಮನೆಯಲ್ಲಿ ಮಾಡಿದ ಆಹಾರದಂತೆ /ಹೋಟೆಲ್ ಆಹಾರದಂತೆ )ಆರೋಗ್ಯಕರವಾಗಿದೆ
ಕಲ್ಲಂಗಡಿ ಆಕಾರ ದುಂಡಾಗಿದೆ ,ಕಲ್ಲಂಗಡಿ ಆಕಾರ ದುಂಡಾಗಿಲ್ಲ ,  ಕಲ್ಲಂಗಡಿಯ ಆಕಾರ (ನಿಂಬೆ ಹಣ್ಣಿನಂತೆ/ ಬಾಳೆಹಣ್ಣಿನಂತೆ) ದುಂಡಾಗಿದೆ
ಆ ಕೆಲಸವು ಕಷ್ಟ ,ಆ ಕೆಲಸವು ಸುಲಭ, ಈ ಕೆಲಸವು (ಪರ್ವತ ಏರಿದಷ್ಟು ರಸ್ತೆಯಲ್ಲಿ ನಡೆದಷ್ಟು) ಕಷ್ಟವಾಗಿದೆ
ಆ ವಸ್ತು ಫ್ಲೆಕ್ಸಿಬಲ್ ಆಗಿದೆ ,ಆ ವಸ್ತು ಫ್ಲೆಕ್ಸಿಬಲ್ ಇಲ್ಲ, ಈ ವಸ್ತುವೂ( ರಬ್ಬರ್ನಂತೆ / ಕಲ್ಲಿನಂತೆ) ಫ್ಲೆಕ್ಸಿಬಲ್ ಗುಣ ಹೊಂದಿದೆ
ಈ ಪ್ರದೇಶದಲ್ಲಿ ಹೆಚ್ಚು ಜನ ಇದ್ದಾರೆ ,ಈ ಪ್ರದೇಶದಲ್ಲಿ ಕಡಿಮೆ  ಜನ ಇದ್ದಾರೆ ,  ಈ ಪ್ರದೇಶವು( ಮಾರ್ಕೆಟ್ನಂತೆ/ ಗ್ರಂಥಾಲಯದಂತೆ )ಜನನಿ ಬಿಡವಾಗಿದೆ
ಆ ಆಟದ ಅವಧಿ ಹೆಚ್ಚು ,ಆಟದ ಅವಧಿ ಕಡಿಮೆ,   ಆಟದ ಅವಧಿಯು (ಕ್ರಿಕೆಟ್ನಂತೆ /ಫುಟ್ಬಾಲ್ ನಂತೆ) ದೀರ್ಘವಾಗಿದೆ
ಹೊಸ ಬಟ್ಟೆ ಮೃದುವಾಗಿದೆ,ಹೊಸ ಬಟ್ಟೆ ಮೃದುವಾಗಿಲ್ಲ,  ನನ್ನ ಹೊಸ ಬಟ್ಟೆಯೂ (ವುಲನ್ ನಂತೆ/ ಕಲ್ಲಿನಂತೆ) ಮೃದುವಾಗಿದೆ
ನಿಂಬೆಹಣ್ಣು ಉಳಿಯಾಗಿದೆ ,ನಿಂಬೆಹಣ್ಣು ಉಳಿಯಾಗಿಲ್ಲ, ನಿಂಬೆಹಣ್ಣು (ಹುಣಸೇ ಹಣ್ಣಿನಂತೆ /ಸೇಬಿನಂತೆ) ಹುಳಿಯಾಗಿದೆ
ನನ್ನ ತಮ್ಮ ಡ್ಯಾನ್ಸ್ ಮಾಡುತ್ತಾನೆ ,ನನ್ನ ತಮ್ಮ ಡಾನ್ಸ್ ಮಾಡುವುದಿಲ್ಲ,ನನ್ನ ತಮ್ಮ (ಮೈಕಲ್ ಜಾಕ್ಸನ್ /ಮಿಸ್ಟರ್ ಬೀನ್ ನಂತೆ )ಡ್ಯಾನ್ಸ್ ಮಾಡುತ್ತಾನೆ
ಅವನ ದೃಷ್ಟಿ ತೀಕ್ಷ್ಣವಾಗಿದೆ,ಅವನ ದೃಷ್ಟಿ ತೀಕ್ಷ್ಣವಾಗಿಲ್ಲ ,   ಅವನು (ಹದ್ದಿನಂತೆ/ಕಾಗೆಯಂತೆ) ತೀಕ್ಷ್ಣವಾದ ದೃಷ್ಟಿ ಹೊಂದಿದ್ದಾನೆ
ಆ ಪ್ರಾಣಿಯು ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ,ಆ ಪ್ರಾಣಿಯು ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿಲ್ಲ,  ಆ ಪ್ರಾಣಿಯು (ನರಿಯಂತೆ/ನಾಯಿಯಂತೆ) ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ
ನನ್ನ ಮುದ್ದಿನ ಬೆಕ್ಕು ಪ್ರಾಮಾಣಿಕವಾಗಿದೆ ,ನನ್ನ ಮುದ್ದಿನ ಬೆಕ್ಕು ಪ್ರಾಮಾಣಿಕವಾಗಿಲ್ಲ ,  ನನ್ನ ಮುದ್ದಿನ ಬೆಕ್ಕು (ನಾಯಿಯಂತೆ /ನರಿಯಂತೆ) ಪ್ರಾಮಾಣಿಕವಾಗಿದೆ
ಅವನು ಧೈರ್ಯಶಾಲಿ,ಅವನು ಧೈರ್ಯಶಾಲಿ,  ಅವನು (ಸಿಂಹದಂತೆ/ನರಿಯಂತೆ) ಧೈರ್ಯಶಾಲಿಯಾಗಿದ್ದಾನೆ
ಆ ಪ್ರಾಣಿ ಶಕ್ತಿಶಾಲಿ ,ಆ ಪ್ರಾಣಿ ಶಕ್ತಿಶಾಲಿ ,  ಆ ಪ್ರಾಣಿಯು (ಎತ್ತಿನಂತೆ/ಜಿಂಕೆಯಂತೆ) ಶಕ್ತಿಶಾಲಿಯಾಗಿದೆ
ಅವನು ರಾತ್ರಿ ಇಡೀ ಎಚ್ಚರವಿರುತ್ತಾನೆ,ಅವನು ಇಡೀ ರಾತ್ರಿ ಎಚ್ಚರವಿರುವುದಿಲ್ಲ, ಅವನು (ಗೂಬೆಯಂತೆ /ಗಿಣಿಯಂತೆ) ರಾತ್ರಿ ಇಡೀ ಎಚ್ಚರ ಇರುತ್ತಾನೆ
ಅವನು ಕೋಪದಲ್ಲಿ ಉರಿಯುತ್ತಿದ್ದ,ಅವನು ಶಾಂತಿಯಿಂದ ಇದ್ದನು, ಅವನು ಕೋಪದಲ್ಲಿ (ಜ್ವಾಲಾಮುಖಿಯಂತೆ /ಐಸ್ನಂತೆ) ಉರಿಯುತ್ತಿದ್ದ
ಅವಳು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,ಅವಳು ಎತ್ತರ ಹಾರುವುದಿಲ್ಲ,ಅವಳು (ಪಕ್ಷಿಯಂತೆ/ಪ್ರಾಣಿಯಂತೆ) ಬಹು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ
: ಆ ಪ್ರಾಣಿಯ ಘರ್ಜಿಸುತ್ತದೆ ,ಆ ಪ್ರಾಣಿ ಘರ್ಜಿಸುವುದಿಲ್ಲ,ಈ ಪ್ರಾಣಿಯು (ಸಿಂಹದಂತೆ/ನಾಯಿ ಅಂತೆ) ಗರ್ಜಿಸುತ್ತದೆ
ದೋಸೆ ಪ್ರಸಿದ್ಧ ಉಪಹಾರ ,ದೋಸೆ ಪ್ರಸಿದ್ಧ ಉಪಹಾರವಲ್ಲ,  ದೋಸೆಯ (ಇಡ್ಲಿ ಅಷ್ಟೇ/ಸ್ಯಾಂಡ್ವಿಚ್ನಷ್ಟೇ) ಪ್ರಸಿದ್ಧ ಉಪಹಾರವಾಗಿದೆ
ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಬಲ್ಲದು ,"ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಲಾರದು,",   ಈ ಪ್ರದೇಶವು (ಡ್ಯಾಮ್ ನಂತೆ/ಥ್ಯಾಂಕ್ ನಂತೆ) ಜಾಸ್ತಿ ನೀರನ್ನು ಹಿಡಿಯಬಲ್ಲದು
ಸಮುದ್ರದಲ್ಲಿ ಹೆಚ್ಚು ಜೀವಿಗಳು ವಾಸಿಸುತ್ತವೆ ,ಸಮುದ್ರದಲ್ಲಿ ಕಡಿಮೆ ಜೀವಿಗಳು ವಾಸಿಸುತ್ತವೆ,  ಜೀವಿಗಳು (ಸಮುದ್ರದಲ್ಲಿ/ಬಾವಿಯಲ್ಲಿ) ಹೆಚ್ಚು ವಾಸಿಸುತ್ತವೆ.
ಆ ನೀರು ಉಪ್ಪಾಗಿದೆ ,ಆ ನೀರು ಉಪ್ಪಾಗಿಲ್ಲ,  ಆ ನೀರು (ಸಮುದ್ರದಂತೆ/ನಲ್ಲಿ ನೀರಿನಂತೆ) ಉಪ್ಪಾಗಿದೆ
ಆ ಹುಡುಗ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುವುದಿಲ್ಲ,  ಆ ಹುಡುಗನು (ಕೋತಿಯಂತೆ/ಆನೆಯಂತೆ) ಹಾರುತ್ತಾನೆ
ಗಾತ್ರದಲ್ಲಿ ದೊಡ್ಡದಾಗಿದೆ ,ಗಾತ್ರದಲ್ಲಿ ಸಣ್ಣದು,  ಗಾತ್ರದಲ್ಲಿ (ಆನೆಯಷ್ಟು/ಕೋತಿಯಷ್ಟು) ದೊಡ್ಡದಾಗಿದೆ
ಅವನು ತುಂಬಾ ವೇಗ ,ಅವನು ನಿಧಾನ,ಅವನು (ಕಂಪ್ಯೂಟರ್ನಂತೆ /ಕೈಲೆಕ್ಕದಂತೆ) ತುಂಬಾ ವೇಗ
ಆ ಜಾಗ ಎತ್ತರದಲ್ಲಿದೆ ,ಆ ಜಾಗ ಎತ್ತರದಲ್ಲಿಲ್ಲ,   ಆ ಜಾಗವು (ಫ್ಲೈ ಓವರ್ ನಂತೆ/ಸುರಂಗದಂತೆ) ಎತ್ತರವಾಗಿತ್ತು
ಈ ತಿನಿಸು ಗಟ್ಟಿಯಾಗಿದೆ ,ಈ ತಿನ್ನಿಸು ಗಟ್ಟಿ ಇಲ್ಲ,  ಈ ತಿನಿಸು (ಡೊನಟ್ ನಂತೆ/ಪ್ಯಾನ್ ಕೇಕ್ ನಂತೆ) ಗಟ್ಟಿಯಾಗಿತ್ತು
ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿತ್ತು,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿಲ್ಲ,ಅದು (ಸೋಪ್ ನಂತೆ/ಸೀಗೆಕಾಯಿಯಂತೆ) ನಯವಾಗಿತ್ತು
ಆತನನ್ನು ನೋಡಿದಾಗ ಹೆಮ್ಮೆಯಾಗುತ್ತದೆ ,ಆತನನ್ನು ನೋಡಿದಾಗ ಹೆಮ್ಮೆ  ಆಗುವುದಿಲ್ಲ,ಆತನನ್ನು ಕಂಡಾಗ (ಸೈನಿಕನನ್ನು/ಉಗ್ರಗಾಮಿಯನ್ನು) ನೋಡಿದಷ್ಟು ಹೆಮ್ಮೆಯಾಗುತಿತ್ತು
ಆ ವಸ್ತು ತುಂಬಾ ಸೂಕ್ಷ್ಮ ,ಆ ವಸ್ತು ತುಂಬಾ ಗಟ್ಟಿ,  ಆ ವಸ್ತುವು (ಗಾಜಿನಂತೆ/ತಾಮ್ರದಂತೆ) ಸೂಕ್ಷ್ಮವಾಗಿತ್ತು
ಖಾದ್ಯವು ಶುಚಿಯಾಗಿತ್ತು,ಖಾದ್ಯವು ಶುಚಿಯಾಗಿಲ್ಲ, ಆ ಖಾದ್ಯವು (ಮನೆಯಲ್ಲಿ ಮಾಡಿರುವ/ರಸ್ತೆ ಬದಿಯ) ತಿಂಡಿಯಂತೆ ಶುಚಿಯಾಗಿತ್ತು
ಅಡುಗೆ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು ,ಅಡುಗೆಯ ಅನಾರೋಗ್ಯಕರವಾಗಿತ್ತು,  ಆ ಅಡುಗೆಯು (ಸೇಬಿನಂತೆ /ಪಾಸ್ತದಂತೆ) ಆರೋಗ್ಯಕರವಾಗಿತ್ತು
ಈ ತಿನಿಸು  ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿಲ್ಲ, ಈ ತಿನಿಸು (ಹಾಗಲಕಾಯಿಯಂತೆ /ಮಾವಿನ ಹಣ್ಣಿನಂತೆ) ಸಿಹಿಯಾಗಿದೆ
ಆ ಜಾಗವು ಆಳವಾಗಿದೆ ,ಆ ಜಾಗವು ಆಳವಾಗಿಲ್ಲ ,  ಈ ಜಾಗವು (ಬೋರ್ ವೆಲ್ ನಂತೆ /ಮನೆಯ ಟ್ಯಾಂಕ್ ನಂತೆ) ಆಳವಾಗಿದೆ
ಆ ಮೀನಿನ ಆಕಾರ ಬೃಹದಾಕಾರ ,ಆ ಮೀನಿನಾಕಾರ ಸಣ್ಣದು, ಈ ಮೀನು (ಸ್ಟಾರ್ ಮೀನಿನಂತೆ /ತಿಮಿಂಗಲದಂತೆ) ಬೃಹದಾಕಾರವಾಗಿದೆ
  ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿತ್ತು, ಅವನ ಗೆಲುವು ಸಿಹಿಯಾಗಿರಲಿಲ್ಲ ,  ಅವನ ಗೆಲುವು  (ಬೆಲ್ಲದಂತೆ/ ಬೇವಿನಂತೆ ) ಇತ್ತು
ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದಲ್ಲ,  ಅವನ ಧೈರ್ಯವು (ಉತ್ತರಕುಮಾರನಂತೆ /ರಾಣಿ ಚೆನ್ನಮ್ಮನಂತೆ) ಇತ್ತು
ಆ ತಿಂಡಿಯು ಚಪ್ಪಟ್ಟೆಯಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ಚಪ್ಪಟ್ಟೆಯಾಗಿರಲಿಲ್ಲ,  ಆ ತಿಂಡಿಯು (ಬ್ರೆಡ್ ನಂತೆ /ಪಫ್ ನಂತೆ) ಚಪ್ಪಟ್ಟೆಯಾಗಿತ್ತು
ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿತ್ತು ,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿರಲಿಲ್ಲ, ಅವರು ನೀಡಿದ್ದ ನೀರು (ಸಮುದ್ರದ ನೀರಿನಂತೆ /ಬಾವಿಯ ನೀರಿನಂತೆ) ಉಪ್ಪಾಗಿತ್ತು
ಅವಳು ಹೊಳೆಯುತ್ತಿದ್ದಳು ,ಅವಳು ಹೊಳೆಯುತ್ತಿರಲಿಲ್ಲ, ಅವಳು (ಹುಣ್ಣಿಮೆಯ ಚಂದ್ರನಂತೆ/ ಅಮಾವಾಸ್ಯೆಯ ಕತ್ತಲೆಯಂತೆ) ಹೊಳೆಯುತ್ತಿದ್ದಳು
ಅದು ತುಂಬಾ ಬಿಸಿಯಾಗಿತ್ತು ,ಅದು ತಣ್ಣಗಿತ್ತು,   ಅದು (ತಣ್ಣನೆಯ ತಂಗಾಳಿಯಂತೆ /ಬಿರುಗಾಳಿಯಂತೆ) ಬಿಸಿಯಾಗಿತ್ತು
ಆಕೆ ಹೆಚ್ಚು ಅಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು,ಆಕೆ ಕಡಿಮೆ ಅಲಂಕಾರ ಮಾಡಿದ್ದಳು ,  ಆಕೆ (ಮಾಡೆಲ್ ನಂತೆ/ ಹಳ್ಳಿ ಹೆಂಗಸಿನಂತೆ) ಆಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು
ಊಟ ಆರೋಗ್ಯಕರವಾಗಿತ್ತು ,ಊಟ ಆರೋಗ್ಯಕರವಾಗಿರಲಿಲ್ಲ,ಆ ಊಟವು (ರಾಗಿಮುದ್ದೆಯಂತೆ /ಬರ್ಗರ್ ನಂತೆ) ಆರೋಗ್ಯಕರವಾಗಿತ್ತು
ಆ ಪ್ರಾಣಿ ಕಡಿಮೆ ನಿದ್ದೆ ಮಾಡುತ್ತಿತ್ತು,ಆ ಪ್ರಾಣಿ ಕಡಿಮೆ ನಿದ್ದೆ ಮಾಡುತ್ತಿತ್ತು,ಆ ಪ್ರಾಣಿಯು (ಕೋಲಾನಂತೆ/ ಕಪ್ಪೆಯಂತೆ) ಅತಿಯಾದ ನಿದ್ರೆ ಮಾಡುತ್ತಿತ್ತು
ಆ ಹೆಂಗಸು ಸುಂದರವಾಗಿದ್ದಳು ,ಆ ಹೆಂಗಸು ಕುರೂಪಿಯಾಗಿದ್ದಳು, ಆ ಹೆಂಗಸು (ರಂಬೆಯಂತೆ /ಶೂರ್ಪಣಕಿಯಂತೆ) ಸುಂದರವಾಗಿದ್ದಳು
ಆ ಚಾದರ ಮೃದುವಾಗಿತ್ತು,ಆ ಚಾದರ ಮೃದುವಾಗಿರಲಿಲ್ಲ, ಆ ಚಾದರವು (ಹಾಸಿಗೆಯಂತೆ /ಗಟ್ಟಿ ನೆಲದಂತೆ) ಮೃದುವಾಗಿತ್ತು
ಆ ಜಾಗದ ಅಗಲವಾಗಿತ್ತು, ಆ ಜಾಗ ಅಗಲವಾಗಿರಲಿಲ್ಲ,  ಅದು (ಕೆರೆಯಂತೆ/ ನದಿಯಂತೆ) ಅಗಲವಾಗಿತ್ತು
ಆಟ ರೋಚಕವಾಗಿತ್ತು ,ಆಟ ರೋಚಕವಾಗಿರಲಿಲ್ಲ,   ಆ ಆಟವು (ಸ್ಕೈ ಡ್ರೈವ್ ನಂತೆ/ ನಡಿಗೆಯಂತೆ )ರೋಚಕವಾಗಿತ್ತು
ಆ ವ್ಯಕ್ತಿ ತಮಾಷೆ ಮಾಡುತ್ತಿದ್ದ,ಆ ವ್ಯಕ್ತಿ ತಮಾಷೆ ಮಾಡುತ್ತಿರಲಿಲ್ಲ,  ಆ ವ್ಯಕ್ತಿಯು (ಬರಹಗಾರನಂತೆ/ ಹಾಸ್ಯಗಾರನಂತೆ )ತಮಾಷೆಯಾಗಿದ್ದನು
ಆ ವಸ್ತು ತಣ್ಣಗಿತ್ತು ,ಆ ವಸ್ತು ತಣ್ಣಗಿರಲಿಲ್ಲ, ಇದು (ಐಸ್ ಕ್ರೀಮ್ ನಂತೆ/ ಸೂಪ್ ನಂತೆ) ತಣ್ಣಗಿತ್ತು
ಅದು ಗರಿಗರಿಯಾಗಿತ್ತು,ಅದು ಗರಿಗರಿಯಾಗಿರಲಿಲ್ಲ,  ಅದು (ಇಡ್ಲಿಯಂತೆ/ದೋಸೆಯಂತೆ) ಗರಿಗರಿಯಾಗಿತ್ತು
ಅವಳ ಒಡವೆ ತುಂಬಾ ಗಟ್ಟಿ ಇತ್ತು ,ಅವಳ ಒಡವೆ ತುಂಬಾ ಟಳ್ಳಾಗಿತ್ತು,ಅವಳು ಹಾಕಿದ್ದ  ಒಡವೆಯು (ಚಿನ್ನದಂತೆ /ವಜ್ರದಂತೆ) ಗಟ್ಟಿಯಾಗಿತ್ತು
ಆಕೆಯ ಉಡುಪು ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು,ಆಕೆಯ ಉಡುಪು ಆಕರ್ಷಕ ಬಣ್ಣಗಳನ್ನು ಹೊಂದಿರಲಿಲ್ಲ, ಆಕೆಯ ಉಡುಪು (ಕಾಮನ ಬಿಲ್ಲಿನಂತೆ /ಬಿಳಿ ಹಲಗೆಯಂತೆ )ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು
ಆ ಮನೆ ಹಳೆಯದು ,ಆ ಮನೆ ಹೊಸದು, ಈ ಮನೆಯು (ಹೊಸ ಕಟ್ಟಡದಂತೆ /ಹಳೆಯ ಸ್ಮಾರಕದಂತೆ) ಹಳೆಯದು
ಆತ ಮಾತನಾಡುವುದು ಕರ್ಕಶವಾಗಿದೆ,ಆತ ಮಾತಾಡುವುದು ಇಂಪಾಗಿದೆ,  ಆತ ಮಾತನಾಡುವುದು( ಪಿಸುಮಾತಿನಂತೆ/ ಜೋರುಮಾತಿನಂತೆ )ಕರ್ಕಶವಾಗಿದೆ
ಇವನು ಮುದ್ದಾಗಿದ್ದಾನೆ ಇವನು ಮುದ್ದಾಗಿಲ್ಲ,ಇವನು ಮುದ್ದಾಗಿಲ್ಲ,   ಇವನು (ಅಜ್ಜಿಯಂತೆ/ ನವಜಾತ ಶಿಶುವಿನಂತೆ ಮುದ್ದಾಗಿದ್ದಾನೆ)
ಅಂದು ಕಗ್ಗತ್ತಲು ಕವಿದಿತ್ತು ,ಅಂದು ಕಗ್ಗತ್ತಲು ಕವಿದಿರಲಿಲ್ಲ,ಅಂದು (ಹುಣ್ಣಿಮೆಯ ದಿನದಂತೆ/ ಅಮಾವಾಸ್ಯೆಯ ದಿನದಂತೆ )ಕಗ್ಗತ್ತಲು ಕವಿದಿತ್ತು
ಅವನು ಕಿರಿಯವನಾಗಿದ್ದಾನೆ,ಅವನು ಕಿರಿಯವನಾಗಿಲ್ಲ, ಅವನು ( ಶಿಶುವಿನಂತೆ/ ಅಜ್ಜನಂತೆ) ಕಿರಿಯವನಾಗಿದ್ದಾನೆ
ಆತನ ದಿರಿಸು ಶುಚಿಯಾಗಿತ್ತು,ಆತನ ದಿರಿಸು ಶುಚಿಯಾಗಿಲ್ಲ,ಆತನ ದಿರಿಸು (ಅಧಿಕಾರಿಯಂತೆ/ ಭಿಕ್ಷುಕನಂತೆ) ಶುಚಿಯಾಗಿತ್ತು
 ಆ ತಿಂಡಿಯು ತೆಳುವಾಗಿತ್ತು, ಆ ತಿಂಡಿಯು ತೆಳುವಾಗಿಲ್ಲ,   ಆ ತಿಂಡಿಯು (ಬ್ರೆಡ್ ನಂತೆ/ ಬರ್ಗರ್ ನಂತೆ) ತೆಳುವಾಗಿತ್ತು
ಆ ಜಾಗವು  ಎತ್ತರವಾಗಿತ್ತು,ಆ ಜಾಗವು  ಎತ್ತರವಾಗಿಲ್ಲ, ಆ ಜಾಗವು (ಆಕಾಶದಂತೆ/ ಭೂಮಿಯಂತೆ) ಎತ್ತರವಾಗಿತ್ತು
ಅದರ ಆಕಾರವು ವಕ್ರವಾಗಿದೆ,ಅದರ ಆಕಾರವು ವಕ್ರವಾಗಿಲ್ಲ,  ಅದರ ಆಕಾರವು( ಚೌಕದಂತೆ/ ವೃತ್ತದಂತೆ) ವಕ್ರವಾಗಿದೆ
ಅದು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿಲ್ಲ, ಅದು (ಹಡಗಿಯಷ್ಟು/ ದೋಣಿಯಷ್ಟು )ದೊಡ್ಡದಾಗಿದೆ
ಆಕೆಯ ರಾಗವು ಇಂಪಾಗಿದೆ,ಆಕೆಯ ರಾಗವು ಇಂಪಾಗಿಲ್ಲ, ಆಕೆಯ ರಾಗವು( ಹಾಡುಗಾರ್ತಿಯಷ್ಟು/ ನೃತ್ಯಗಾರನಷ್ಟು )ಇಂಪಾಗಿದೆ
ಆತನ ಅರಿವು,, ಆತನ ಅರಿವು (ದ್ವಾರಪಾಲಕನಷ್ಟು/ ಪ್ರಾಧ್ಯಾಪಕನಷ್ಟು) ಇದೆ
ಈ ವಾಹನವು ವೇಗವಾಗಿದೆ,ಈ ವಾಹನವು ವೇಗವಾಗಿಲ್ಲ,   ಈ ವಾಹನವು (ಎತ್ತಿನಗಾಡಿಯಂತೆ/ ಜೆಟ್ ನಂತೆ )ವೇಗವಾಗಿದೆ
ಇವನು ಖುಷಿಯಾಗಿದ್ದಾನೆ,ಇವನು ಖುಷಿಯಾಗಿಲ್ಲ,ಇವನು (ಮಗುವಿನಷ್ಟು/ ವಯಸ್ಕನಷ್ಟು )ಖುಷಿಯಾಗಿದ್ದಾನೆ
